area_id,area_name,b01001b001,b01001b001_moe,b01001b002,b01001b002_moe,b01001b003,b01001b003_moe,b01001b004,b01001b004_moe,b01001b005,b01001b005_moe,b01001b006,b01001b006_moe,b01001b007,b01001b007_moe,b01001b008,b01001b008_moe,b01001b009,b01001b009_moe,b01001b010,b01001b010_moe,b01001b011,b01001b011_moe,b01001b012,b01001b012_moe,b01001b013,b01001b013_moe,b01001b014,b01001b014_moe,b01001b015,b01001b015_moe,b01001b016,b01001b016_moe,b01001b017,b01001b017_moe,b01001b018,b01001b018_moe,b01001b019,b01001b019_moe,b01001b020,b01001b020_moe,b01001b021,b01001b021_moe,b01001b022,b01001b022_moe,b01001b023,b01001b023_moe,b01001b024,b01001b024_moe,b01001b025,b01001b025_moe,b01001b026,b01001b026_moe,b01001b027,b01001b027_moe,b01001b028,b01001b028_moe,b01001b029,b01001b029_moe,b01001b030,b01001b030_moe,b01001b031,b01001b031_moe
1,Rogers Park,16419,1491,7533,821,638,186,398,158,551,181,447,193,153,101,590,220,551,183,840,251,957,255,1337,303,654,205,364,142,49,54,4,45,8886,906,475,185,736,240,640,189,489,168,222,147,668,206,721,205,760,211,1453,290,1260,262,834,216,339,123,166,88,123,105
2,West Ridge,8310,1366,4100,750,492,215,413,212,400,200,64,63,184,161,232,149,167,117,237,138,663,234,571,218,568,196,95,70,11,51,3,49,4210,754,358,188,317,144,420,180,220,124,102,83,203,128,208,111,416,176,470,175,616,212,475,162,293,193,83,82,29,58
3,Uptown,11336,1192,6365,772,358,167,348,129,382,279,285,146,58,75,210,126,639,222,401,174,862,233,1578,408,974,246,217,147,5,48,48,76,4971,690,359,176,311,156,213,127,35,61,62,63,160,95,358,142,471,180,836,240,938,218,707,251,359,184,84,66,78,61
4,Lincoln Square,1898,540,970,292,98,84,51,61,28,53,37,64,0,40,42,54,96,81,60,68,193,136,165,95,163,103,37,46,0,40,0,40,928,308,56,76,64,72,0,40,14,43,12,42,53,58,75,87,119,87,53,52,391,160,66,50,0,40,12,39,13,41
5,North Center,556,199,289,142,18,48,0,43,43,67,0,43,2,40,64,84,43,61,0,43,13,42,19,51,34,63,53,76,0,43,0,43,267,111,11,45,26,49,0,43,6,42,16,50,0,43,69,66,12,45,61,61,31,48,16,45,9,44,10,45,0,43
6,Lake View,3638,595,2054,426,50,105,17,69,69,77,16,69,61,85,373,238,322,168,123,98,342,146,236,132,274,133,126,90,45,75,0,66,1584,353,42,85,35,71,36,74,17,70,66,105,353,182,162,143,69,79,197,105,304,132,180,102,41,73,14,68,68,86
7,Lincoln Park,2802,455,1458,295,35,64,47,67,82,83,60,61,72,68,105,81,48,63,192,123,266,134,213,116,175,96,117,83,24,53,22,54,1344,286,97,79,33,62,62,60,24,62,112,81,178,98,147,106,45,58,134,86,167,77,129,67,50,61,121,70,45,57
8,Near North Side,7679,881,3468,470,319,178,262,200,214,168,139,94,46,67,208,128,382,167,111,88,330,163,497,184,507,176,283,145,143,92,27,57,4211,633,156,104,296,238,497,222,45,70,186,98,337,149,512,210,266,141,431,158,492,176,447,174,387,135,114,74,45,63
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,332,210,188,144,2,37,0,39,79,132,0,39,21,42,0,39,0,39,45,55,10,38,17,35,3,36,0,39,11,36,0,39,144,90,21,50,0,39,0,39,16,43,0,39,0,39,32,40,1,37,39,72,2,34,6,37,2,36,14,42,11,36
