area_id,area_name,b01001f001,b01001f001_moe,b01001f002,b01001f002_moe,b01001f003,b01001f003_moe,b01001f004,b01001f004_moe,b01001f005,b01001f005_moe,b01001f006,b01001f006_moe,b01001f007,b01001f007_moe,b01001f008,b01001f008_moe,b01001f009,b01001f009_moe,b01001f010,b01001f010_moe,b01001f011,b01001f011_moe,b01001f012,b01001f012_moe,b01001f013,b01001f013_moe,b01001f014,b01001f014_moe,b01001f015,b01001f015_moe,b01001f016,b01001f016_moe,b01001f017,b01001f017_moe,b01001f018,b01001f018_moe,b01001f019,b01001f019_moe,b01001f020,b01001f020_moe,b01001f021,b01001f021_moe,b01001f022,b01001f022_moe,b01001f023,b01001f023_moe,b01001f024,b01001f024_moe,b01001f025,b01001f025_moe,b01001f026,b01001f026_moe,b01001f027,b01001f027_moe,b01001f028,b01001f028_moe,b01001f029,b01001f029_moe,b01001f030,b01001f030_moe,b01001f031,b01001f031_moe
1,Rogers Park,5102,1173,3199,778,432,217,290,190,275,173,106,75,115,153,347,185,364,188,357,194,652,250,191,127,30,55,40,54,0,48,0,48,1903,527,276,139,262,157,133,88,143,104,36,52,114,95,266,172,145,101,259,134,150,113,86,64,19,49,4,46,10,50
2,West Ridge,5407,1295,2802,676,212,135,261,142,334,150,103,106,93,115,418,181,119,129,440,211,486,233,138,116,0,51,147,158,17,57,34,80,2605,705,272,161,229,140,71,83,127,104,107,79,333,182,253,152,221,132,305,154,234,131,166,122,186,160,93,123,8,53
3,Uptown,2632,719,1647,471,33,61,72,86,31,59,21,52,32,67,260,126,389,216,53,67,312,175,267,121,133,112,35,58,9,45,0,48,985,351,95,97,31,59,0,48,40,79,23,60,117,93,161,105,93,100,162,127,107,59,35,59,93,90,21,55,7,48
4,Lincoln Square,3560,1083,1700,636,343,230,154,125,92,105,5,39,49,72,155,127,257,154,106,100,161,116,138,130,202,97,27,58,11,42,0,40,1860,565,170,150,266,174,59,98,124,110,75,91,188,91,172,118,167,120,258,153,189,106,114,75,56,64,4,39,18,46
5,North Center,776,309,389,169,25,50,18,51,4,42,0,43,0,43,52,62,78,64,16,48,46,47,35,51,98,86,17,45,0,43,0,43,387,189,0,43,8,43,16,44,0,43,0,43,65,87,67,55,28,57,45,60,129,88,22,47,0,43,7,43,0,43
6,Lake View,1407,333,729,212,86,87,9,67,0,66,0,66,0,66,85,83,159,102,92,77,109,111,116,92,46,73,0,66,27,71,0,66,678,212,34,75,39,68,22,67,22,73,21,74,112,91,112,92,145,130,73,78,46,72,38,82,14,68,0,66,0,66
7,Lincoln Park,1013,318,528,207,45,66,0,51,37,65,27,63,53,66,75,76,84,122,7,51,83,80,37,56,30,69,42,62,8,51,0,51,485,195,7,51,61,91,17,54,17,55,51,66,97,100,16,55,62,69,36,62,40,55,28,60,14,54,8,53,31,59
8,Near North Side,1505,535,700,316,30,61,9,56,0,54,0,54,0,54,111,127,170,142,171,145,70,97,44,72,68,100,0,54,27,69,0,54,805,365,62,80,0,54,0,54,0,54,5,53,170,120,342,277,94,95,0,54,69,72,0,54,63,96,0,54,0,54
9,Edison Park,60,46,20,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,8,25,0,25,0,25,12,26,0,25,0,25,40,39,0,25,0,25,0,25,0,25,0,25,0,25,0,25,15,31,0,25,14,29,11,26,0,25,0,25,0,25
10,Norwood Park,1472,581,656,302,69,74,9,40,27,55,28,47,0,39,149,99,0,39,172,147,64,70,79,64,37,67,12,38,10,41,0,39,816,313,6,39,27,55,27,46,1,36,28,42,151,94,21,43,80,94,188,125,201,106,45,67,20,47,11,37,10,41
11,Jefferson Park,1645,617,820,309,63,82,41,45,146,111,36,65,14,36,58,63,39,50,77,95,156,107,143,99,14,36,19,32,14,32,0,29,825,363,70,78,131,117,26,46,0,29,0,29,121,105,119,102,129,118,96,80,109,84,14,35,10,31,0,29,0,29
12,Forest Glen,1056,418,462,205,0,29,80,80,42,56,0,29,59,53,30,44,20,43,45,57,72,70,58,59,26,40,0,29,30,55,0,29,594,233,66,69,128,92,0,29,23,47,51,49,17,39,92,76,36,45,106,86,23,47,25,40,0,29,27,49,0,29
13,North Park,1986,677,1016,374,88,86,63,67,95,99,71,83,79,86,48,88,67,77,153,140,166,110,70,83,70,63,19,38,27,41,0,27,970,357,113,97,114,91,91,79,47,63,0,27,43,58,75,68,65,64,231,134,43,49,89,75,30,53,29,50,0,27
14,Albany Park,19926,2169,11151,1307,1354,393,902,264,770,246,536,184,447,176,982,322,1385,395,1224,287,2019,436,929,250,526,189,77,71,0,45,0,45,8775,1209,878,285,932,315,864,260,434,183,337,152,494,211,911,293,973,253,1351,334,946,236,357,174,136,128,107,80,55,88
15,Portage Park,15749,1677,7710,918,640,229,856,284,824,253,380,160,231,124,706,231,850,272,537,186,1189,301,790,215,471,152,205,135,15,52,16,53,8039,1009,694,247,668,213,496,186,464,180,298,159,636,208,788,242,642,195,1471,309,1104,283,527,190,171,123,60,73,20,57
16,Irving Park,12021,1735,6386,1029,442,183,531,218,383,164,278,151,295,162,260,161,745,235,991,321,936,329,783,260,380,169,253,137,109,108,0,47,5635,912,583,211,482,199,453,218,350,153,85,107,357,165,908,285,403,185,880,271,414,162,469,170,112,84,96,100,43,67
17,Dunning,3673,838,1957,515,221,118,149,109,206,118,154,94,110,97,143,101,64,65,128,91,326,155,287,128,61,69,34,64,74,62,0,40,1716,422,9,39,157,98,161,119,256,140,41,66,191,123,84,66,94,81,278,120,211,123,142,88,14,40,78,65,0,40
18,Montclare,3285,662,1656,372,121,88,183,104,217,128,112,87,24,40,118,83,125,91,214,109,275,111,213,119,37,28,0,23,17,31,0,23,1629,371,195,103,173,114,222,100,51,51,43,52,44,45,166,112,180,109,219,99,151,96,43,55,51,50,85,79,6,22
19,Belmont Cragin,39444,2616,19607,1471,1726,344,1479,304,2084,419,936,248,938,258,1935,396,1458,310,1836,343,3027,447,2476,370,1226,265,405,134,52,75,29,68,19837,1429,1663,333,2236,370,1893,349,1062,254,573,202,1431,287,1844,363,1743,308,2885,410,2526,366,1198,241,565,177,171,94,47,75
20,Hermosa,14846,1428,7477,840,586,201,763,236,602,165,558,169,203,109,709,224,429,192,575,174,1434,295,829,206,441,142,285,139,55,50,8,31,7369,790,785,234,596,175,609,190,349,118,324,134,550,200,356,146,541,165,1227,238,885,211,644,178,335,131,108,75,60,66
21,Avondale,6839,1317,3983,833,300,127,238,116,235,131,195,109,64,56,523,236,539,207,447,175,650,203,357,198,366,157,47,84,10,40,12,41,2856,605,97,76,234,120,369,186,50,47,66,61,322,128,405,201,258,114,402,163,261,141,194,103,185,128,13,43,0,38
22,Logan Square,5437,948,2616,525,79,80,229,115,157,100,107,82,38,58,184,91,279,133,278,185,325,128,481,166,286,124,130,91,38,66,5,57,2821,530,137,101,166,115,253,116,137,88,113,97,166,93,229,106,212,107,527,188,380,147,198,104,233,119,70,73,0,57
23,Humboldt Park,15091,1729,7441,994,782,239,672,225,784,217,462,177,444,185,422,159,484,186,514,183,942,235,991,238,645,166,223,102,76,82,0,51,7650,942,535,184,641,238,612,186,495,171,327,153,883,266,607,167,590,178,938,225,990,199,645,176,214,104,157,99,16,52
