area_id,area_name,b05003001,b05003001_moe,b05003002,b05003002_moe,b05003003,b05003003_moe,b05003004,b05003004_moe,b05003005,b05003005_moe,b05003006,b05003006_moe,b05003007,b05003007_moe,b05003008,b05003008_moe,b05003009,b05003009_moe,b05003010,b05003010_moe,b05003011,b05003011_moe,b05003012,b05003012_moe,b05003013,b05003013_moe,b05003014,b05003014_moe,b05003015,b05003015_moe,b05003016,b05003016_moe,b05003017,b05003017_moe,b05003018,b05003018_moe,b05003019,b05003019_moe,b05003020,b05003020_moe,b05003021,b05003021_moe,b05003022,b05003022_moe,b05003023,b05003023_moe
1,Rogers Park,57559,2198,28924,1321,5775,629,4984,559,791,324,81,82,710,321,23149,1059,14853,881,8296,885,2437,370,5859,814,28635,1429,5750,658,5088,623,662,225,85,103,577,214,22885,1150,15937,957,6948,751,2715,447,4233,623
2,West Ridge,73705,2596,35910,1568,9195,880,7969,826,1226,330,166,99,1060,318,26715,1146,11160,776,15555,1129,7529,623,8026,977,37795,1547,9857,914,8355,817,1502,431,212,120,1290,421,27938,1077,12934,769,15004,1007,7862,655,7142,873
3,Uptown,54995,1710,28924,1226,3701,526,3493,523,208,133,55,58,153,126,25223,1075,18601,902,6622,715,2587,379,4035,649,26071,1112,2860,488,2553,470,307,153,126,97,181,130,23211,928,16588,856,6623,644,3649,441,2974,478
4,Lincoln Square,38622,1335,19164,857,3187,481,2881,403,306,206,0,40,306,206,15977,663,11184,568,4793,555,2334,379,2459,411,19458,886,3144,470,2837,430,307,154,47,45,260,151,16314,654,11335,605,4979,517,2773,375,2206,381
5,North Center,33418,1097,16660,754,3239,338,3161,333,78,77,42,63,36,61,13421,656,11612,640,1809,270,1209,211,600,171,16758,773,3004,429,2973,428,31,47,23,46,8,44,13754,556,11857,524,1897,317,1246,232,651,209
6,Lake View,96539,1732,47268,1391,4629,526,4458,515,171,112,41,75,130,108,42639,1274,37260,1242,5379,571,2459,389,2920,433,49271,1439,5172,480,4921,470,251,135,106,84,145,124,44099,1282,38330,1271,5769,539,3407,403,2362,372
7,Lincoln Park,64631,1722,31551,1169,4617,472,4449,463,168,95,31,65,137,85,26934,1024,23883,1030,3051,373,1356,227,1695,306,33080,1212,4269,534,3917,518,352,155,150,102,202,124,28811,1012,25780,1015,3031,380,1787,298,1244,241
8,Near North Side,80516,1818,36893,1356,2932,434,2755,420,177,116,37,79,140,101,33961,1255,27085,1180,6876,734,3039,461,3837,592,43623,1397,2960,512,2848,511,112,94,53,83,59,70,40663,1251,33672,1210,6991,694,3845,484,3146,506
9,Edison Park,11135,498,5169,358,1053,188,1053,188,0,25,0,25,0,25,4116,299,3455,333,661,215,470,141,191,167,5966,353,1213,206,1127,193,86,120,86,120,0,25,4753,286,4050,327,703,185,614,167,89,64
10,Norwood Park,37429,1230,18197,777,3978,489,3808,490,170,107,68,65,102,90,14219,606,10690,609,3529,421,2453,326,1076,242,19232,855,3458,478,3335,467,123,103,31,46,92,100,15774,598,11286,594,4488,489,3112,378,1376,304
