area_id,area_name,b05003f001,b05003f001_moe,b05003f002,b05003f002_moe,b05003f003,b05003f003_moe,b05003f004,b05003f004_moe,b05003f005,b05003f005_moe,b05003f006,b05003f006_moe,b05003f007,b05003f007_moe,b05003f008,b05003f008_moe,b05003f009,b05003f009_moe,b05003f010,b05003f010_moe,b05003f011,b05003f011_moe,b05003f012,b05003f012_moe,b05003f013,b05003f013_moe,b05003f014,b05003f014_moe,b05003f015,b05003f015_moe,b05003f016,b05003f016_moe,b05003f017,b05003f017_moe,b05003f018,b05003f018_moe,b05003f019,b05003f019_moe,b05003f020,b05003f020_moe,b05003f021,b05003f021_moe,b05003f022,b05003f022_moe,b05003f023,b05003f023_moe
1,Rogers Park,5102,1173,3199,778,1103,391,879,327,224,175,0,48,224,175,2096,525,411,161,1685,487,282,150,1403,465,1903,527,814,298,581,244,233,127,32,69,201,116,1089,289,219,127,870,248,155,99,715,221
2,West Ridge,5407,1295,2802,676,910,345,817,326,93,108,8,52,85,105,1892,479,457,191,1435,443,272,163,1163,404,2605,705,699,258,650,245,49,94,0,51,49,94,1906,501,471,194,1435,473,516,223,919,424
3,Uptown,2632,719,1647,471,157,116,147,115,10,50,0,48,10,50,1490,427,769,291,721,293,120,78,601,281,985,351,166,157,126,105,40,79,0,48,40,79,819,270,196,105,623,259,249,123,374,214
4,Lincoln Square,3560,1083,1700,636,594,356,447,273,147,176,0,40,147,176,1106,359,161,97,945,344,412,207,533,221,1860,565,619,346,489,300,130,120,0,40,130,120,1241,350,331,164,910,302,280,139,630,271
5,North Center,776,309,389,169,47,57,47,57,0,43,0,43,0,43,342,154,247,136,95,88,68,81,27,54,387,189,24,50,15,44,9,43,9,43,0,43,363,184,185,106,178,120,74,76,104,101
6,Lake View,1407,333,729,212,95,90,95,90,0,66,0,66,0,66,634,190,289,131,345,142,62,74,283,135,678,212,117,86,95,83,22,67,0,66,22,67,561,188,359,164,202,106,127,95,75,77
7,Lincoln Park,1013,318,528,207,109,104,109,104,0,51,0,51,0,51,419,171,234,143,185,104,66,64,119,93,485,195,102,104,96,103,6,51,6,51,0,51,383,145,315,135,68,69,36,59,32,61
8,Near North Side,1505,535,700,316,39,62,39,62,0,54,0,54,0,54,661,299,353,220,308,174,39,69,269,168,805,365,62,80,62,80,0,54,0,54,0,54,743,349,568,330,175,115,68,72,107,105
9,Edison Park,60,46,20,27,0,25,0,25,0,25,0,25,0,25,20,27,12,26,8,25,8,25,0,25,40,39,0,25,0,25,0,25,0,25,0,25,40,39,40,39,0,25,0,25,0,25
10,Norwood Park,1472,581,656,302,133,88,106,79,27,55,0,39,27,55,523,255,228,157,295,160,188,104,107,87,816,313,61,58,61,58,0,39,0,39,0,39,755,300,292,136,463,260,180,109,283,233
