area_id,area_name,b05004001,b05004001_moe,b05004002,b05004002_moe,b05004003,b05004003_moe,b05004004,b05004004_moe,b05004005,b05004005_moe,b05004006,b05004006_moe,b05004007,b05004007_moe,b05004008,b05004008_moe,b05004009,b05004009_moe,b05004010,b05004010_moe,b05004011,b05004011_moe,b05004012,b05004012_moe,b05004013,b05004013_moe,b05004014,b05004014_moe,b05004015,b05004015_moe
1,Rogers Park,393,17,395,18,396,27,360,15,368,20,357,27,489,22,465,42,511,32,608,47,585,80,611,47,437,34,394,46,460,47
2,West Ridge,511,18,492,26,532,25,380,25,359,33,425,39,625,28,603,42,647,31,713,31,713,45,722,41,528,54,536,46,547,57
3,Uptown,404,9,401,11,408,15,384,11,389,15,377,16,468,23,432,38,498,33,563,33,560,68,561,40,399,29,377,39,415,36
4,Lincoln Square,393,10,395,13,389,13,366,10,372,13,359,15,495,37,489,36,506,65,564,65,548,86,603,75,415,48,435,58,421,60
5,North Center,301,7,301,9,301,10,289,6,292,9,287,7,429,42,396,37,474,53,485,40,450,54,501,50,333,44,314,54,394,73
6,Lake View,672,9,707,15,644,14,660,10,692,16,628,13,827,65,807,56,957,120,1147,110,1057,114,1132,154,737,45,730,44,784,95
7,Lincoln Park,533,9,530,15,530,13,519,12,518,17,520,14,656,36,691,65,631,59,816,85,914,95,751,132,600,37,610,58,588,58
8,Near North Side,716,21,713,40,720,24,711,29,726,48,712,34,706,42,709,73,737,54,898,56,914,85,858,79,623,62,684,61,668,121
9,Edison Park,87,3,87,4,87,5,83,4,83,5,81,7,102,20,99,14,121,26,113,18,118,19,113,29,95,24,55,1,127,49
10,Norwood Park,307,9,292,12,321,13,283,12,271,16,307,15,363,15,357,22,361,18,391,16,393,26,389,20,279,45,276,44,305,52
11,Jefferson Park,239,10,223,15,251,13,217,15,193,21,237,23,271,16,265,20,269,22,298,20,313,25,293,22,246,20,228,20,258,34
12,Forest Glen,122,7,120,8,124,8,106,6,105,6,106,13,156,9,161,13,152,10,161,11,163,17,157,13,139,51,162,44,114,60
13,North Park,154,9,147,10,160,12,127,14,118,16,136,17,174,15,169,13,186,19,198,19,193,39,201,24,175,41,148,22,178,24
14,Albany Park,350,9,350,10,351,14,267,19,266,30,267,27,420,19,406,22,440,27,521,26,491,42,550,36,381,18,388,24,369,36
15,Portage Park,513,14,490,22,536,17,422,24,399,31,440,31,613,27,598,29,649,31,680,35,650,49,709,39,554,32,542,46,556,55
16,Irving Park,523,14,529,16,516,22,461,18,460,25,460,25,641,42,631,39,662,61,767,51,769,75,786,62,564,36,563,42,566,60
17,Dunning,454,13,423,20,485,17,384,22,334,32,439,28,532,19,509,34,544,27,566,29,551,36,562,39,484,31,459,80,521,27
18,Montclare,72,6,68,6,75,8,56,5,54,6,58,6,91,7,85,8,95,5,100,6,98,14,98,9,82,6,80,10,87,9
19,Belmont Cragin,528,16,524,22,537,22,348,23,357,30,350,27,708,21,701,25,718,23,850,27,834,45,841,45,660,18,642,22,679,27
20,Hermosa,183,9,182,12,185,15,128,14,119,17,136,17,249,15,248,13,260,25,314,21,301,35,340,42,225,10,236,16,220,20
21,Avondale,312,10,308,15,320,12,250,14,235,22,260,19,394,24,377,23,430,29,490,38,461,59,532,44,355,21,351,18,364,37
22,Logan Square,718,14,720,18,722,20,656,15,664,25,655,22,942,43,941,45,961,59,1131,90,1139,120,1206,135,882,54,887,68,915,88
23,Humboldt Park,330,14,329,23,330,16,284,16,276,32,289,21,457,26,459,37,444,47,565,43,590,44,518,79,400,24,402,40,399,35
24,West Town,892,14,898,20,891,17,841,15,851,24,838,19,1219,61,1183,77,1252,78,1351,107,1362,121,1466,197,1143,57,1100,91,1208,123
25,Austin,142,11,129,14,158,15,136,21,120,24,144,10,172,21,167,31,168,24,212,65,191,61,223,89,145,18,147,24,152,17
28,Near West Side,459,10,456,16,463,24,462,13,459,19,453,21,505,35,494,36,494,46,567,69,517,97,627,114,477,38,498,37,444,37
29,North Lawndale,66,15,67,18,60,20,54,11,53,15,52,12,95,19,98,31,94,11,98,5,102,13,82,93,88,41,79,53,94,13
30,South Lawndale,514,14,517,19,522,24,325,15,327,25,320,25,726,23,710,30,754,34,957,44,945,39,981,75,649,23,629,50,682,34
31,Lower West Side,332,13,328,15,345,24,249,14,261,17,236,27,460,23,440,23,496,28,576,37,588,50,572,37,403,27,416,37,432,34
32,Loop,150,5,153,7,144,8,152,7,158,12,145,8,147,24,150,57,145,29,197,81,177,85,220,55,141,5,150,14,136,7
33,Near South Side,107,3,101,10,108,5,105,5,99,11,105,5,118,9,116,27,121,13,176,96,183,79,136,76,111,9,111,17,111,17
34,Armour Square,176,15,157,20,194,11,128,15,125,22,134,14,209,19,176,54,219,14,257,14,260,21,253,21,172,44,147,39,182,30
35,Douglas,104,7,96,9,104,6,112,8,110,12,116,18,85,6,85,9,84,21,106,37,104,51,130,124,80,7,80,5,82,14
36,Oakland,64,4,52,9,64,5,63,4,50,9,64,5,109,33,80,29,110,18,99,23,79,52,93,39,116,63,75,24,117,33
39,Kenwood,112,8,107,12,122,13,112,12,98,13,119,13,135,18,140,17,137,32,178,43,191,34,142,45,116,23,115,24,125,25
41,Hyde Park,303,13,279,22,311,14,303,20,281,26,319,22,313,23,304,33,318,40,370,64,382,65,389,70,279,23,288,20,275,34
42,Woodlawn,87,8,84,10,90,9,85,9,80,12,88,14,95,9,116,24,98,25,113,21,137,78,108,34,90,13,108,16,94,23
43,South Shore,44,5,41,6,45,5,44,6,41,6,45,6,44,8,40,6,47,40,59,42,84,46,59,56,40,7,37,9,44,32
45,Avalon Park,43,3,40,7,44,5,43,3,39,7,45,6,39,6,44,18,38,6,57,28,57,50,90,101,37,6,44,16,35,4
46,South Chicago,249,19,240,21,256,21,222,18,220,22,231,27,366,27,322,49,358,33,467,34,411,78,476,68,310,31,295,51,311,42
48,Calumet Heights,82,7,73,9,93,7,80,7,72,9,93,9,91,19,95,36,91,26,102,23,103,46,96,32,64,44,61,53,88,60
50,Pullman,40,7,40,12,40,10,39,7,40,12,39,10,50,19,50,24,47,23,60,17,60,34,52,26,40,29,49,43,40,41
51,South Deering,58,8,53,17,59,7,41,6,40,6,48,9,88,9,87,14,88,9,96,14,96,16,105,27,82,15,75,12,84,12
52,East Side,194,16,191,21,197,19,133,14,131,16,137,22,254,15,255,20,257,14,306,22,298,26,320,26,224,13,217,16,235,15
53,West Pullman,33,7,31,5,37,10,29,6,27,5,32,12,41,4,40,10,42,6,56,14,56,13,24,70,41,4,33,12,42,6
55,Hegewisch,74,7,65,9,82,9,70,5,57,14,78,9,92,17,90,16,91,23,104,22,103,13,105,43,74,15,81,13,66,15
56,Garfield Ridge,307,12,307,15,313,16,261,14,271,27,253,21,403,21,388,35,420,25,415,28,410,38,431,37,378,42,363,61,392,40
57,Archer Heights,154,17,159,16,157,17,102,13,100,17,104,14,217,11,219,18,220,19,266,17,261,21,284,23,186,19,191,25,187,27
58,Brighton Park,277,17,276,16,285,21,171,9,171,13,175,20,407,11,406,17,406,14,496,17,488,21,502,39,375,16,370,20,382,19
59,McKinley Park,164,7,159,7,174,14,114,11,106,16,124,19,223,10,218,12,226,14,250,19,250,23,244,26,202,13,197,16,208,23
60,Bridgeport,348,14,343,19,359,18,285,16,288,22,283,21,452,22,435,28,462,22,497,27,484,33,497,34,385,28,387,50,408,44
61,New City,273,11,288,15,268,13,192,15,197,23,201,24,371,26,378,35,349,38,474,83,488,75,458,79,340,20,330,28,338,27
62,West Elsdon,127,7,122,11,131,7,81,9,73,10,96,15,163,9,162,9,164,19,185,15,175,19,197,21,152,9,148,17,157,8
63,Gage Park,219,10,218,15,220,17,130,8,129,9,135,14,314,12,312,18,321,23,387,19,377,29,398,14,290,13,282,21,297,15
64,Clearing,247,17,249,15,254,12,223,14,226,28,219,20,323,38,298,36,338,37,375,33,366,49,398,35,268,40,266,40,265,45
65,West Lawn,186,6,178,10,193,11,124,10,116,10,138,21,244,11,248,10,246,9,280,13,271,15,277,18,228,10,235,13,222,13
66,Chicago Lawn,223,11,213,15,234,14,171,10,153,12,182,12,331,25,321,28,341,39,431,31,464,41,409,34,302,21,298,23,300,52
70,Ashburn,196,10,187,15,208,11,169,10,151,16,184,19,258,22,263,16,263,33,302,31,293,33,274,39,232,26,239,50,226,19
72,Beverly,42,4,43,2,39,6,40,5,43,3,37,6,55,30,44,35,75,48,66,20,62,11,75,45,37,12,30,31,37,111
74,Mount Greenwood,77,5,73,5,80,6,74,5,71,6,78,7,91,17,97,19,92,46,100,35,108,28,86,66,77,38,70,23,115,63
75,Morgan Park,45,3,43,6,48,3,45,3,43,8,48,4,52,12,50,8,53,46,56,29,51,13,89,28,46,4,47,20,45,27
76,O'Hare,120,8,123,12,117,10,105,10,108,21,98,18,129,20,129,22,141,34,155,15,140,41,164,14,98,13,103,19,94,20
77,Edgewater,625,20,632,23,645,38,634,25,622,29,628,36,682,43,676,40,732,69,933,56,862,79,961,77,561,37,597,53,569,46
