area_id,area_name,b06004d001,b06004d001_moe,b06004d002,b06004d002_moe,b06004d003,b06004d003_moe,b06004d004,b06004d004_moe,b06004d005,b06004d005_moe
1,Rogers Park,3936,995,963,356,311,173,85,73,2577,870
2,West Ridge,17135,2022,3560,672,375,162,514,450,12686,1594
3,Uptown,6425,763,1114,317,564,220,113,84,4634,611
4,Lincoln Square,4027,722,1054,320,295,122,45,56,2633,531
5,North Center,1400,341,273,123,276,121,62,78,789,227
6,Lake View,6710,799,1505,331,1348,317,108,83,3749,539
7,Lincoln Park,3728,536,1191,313,696,174,8,51,1833,323
8,Near North Side,8780,965,1131,273,1676,365,196,158,5777,798
9,Edison Park,242,176,9,27,0,25,23,40,210,154
10,Norwood Park,1761,541,555,304,55,65,35,60,1116,283
11,Jefferson Park,2537,748,629,215,62,69,38,67,1808,640
12,Forest Glen,2269,411,799,240,138,118,0,29,1332,244
13,North Park,5261,745,1388,297,77,57,36,46,3760,577
14,Albany Park,6733,1070,1167,312,282,134,49,60,5235,853
15,Portage Park,2878,697,771,259,137,93,38,64,1932,576
16,Irving Park,4057,775,1047,278,213,136,24,51,2773,592
17,Dunning,1665,451,426,164,61,65,10,40,1168,311
18,Montclare,552,317,181,115,5,18,0,23,366,240
19,Belmont Cragin,1124,396,198,152,20,60,38,63,868,314
20,Hermosa,111,79,56,58,0,29,0,29,55,53
21,Avondale,1311,448,382,184,41,43,9,40,879,324
22,Logan Square,2146,383,753,266,366,122,66,86,961,204
23,Humboldt Park,147,121,46,75,11,54,0,51,90,72
24,West Town,3356,499,1049,235,805,231,75,86,1427,302
25,Austin,351,184,11,67,30,66,0,61,310,162
26,West Garfield Park,18,41,0,35,0,35,0,35,18,41
27,East Garfield Park,92,61,39,48,16,40,0,38,37,49
28,Near West Side,8035,797,1847,371,824,241,135,116,5229,650
29,North Lawndale,72,86,18,51,0,43,6,43,48,71
30,South Lawndale,115,80,21,50,25,59,5,47,64,64
31,Lower West Side,390,162,108,81,114,90,42,64,126,75
32,Loop,4362,672,735,212,702,347,96,110,2829,526
33,Near South Side,3692,698,628,226,748,277,35,51,2281,572
34,Armour Square,9179,755,2078,412,416,160,120,87,6565,605
35,Douglas,2335,497,180,83,119,77,37,52,1999,459
36,Oakland,57,65,0,19,0,19,0,19,57,65
37,Fuller Park,11,19,0,16,0,16,0,16,11,19
38,Grand Boulevard,68,64,8,43,19,49,0,43,41,53
39,Kenwood,1065,300,103,79,147,106,0,31,815,231
40,Washington Park,9,28,0,27,0,27,0,27,9,28
41,Hyde Park,2847,448,330,117,582,172,15,40,1920,353
42,Woodlawn,598,165,38,48,200,88,5,36,355,129
43,South Shore,85,77,16,44,23,55,0,44,46,67
44,Chatham,23,42,0,37,1,35,0,37,22,43
45,Avalon Park,34,42,13,25,0,19,0,19,21,37
46,South Chicago,86,102,0,37,35,61,26,52,25,53
47,Burnside,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,0,27,0,27,0,27,14,31
49,Roseland,217,152,37,50,48,64,0,41,132,92
50,Pullman,39,53,14,20,0,19,0,19,25,38
51,South Deering,49,58,0,25,0,25,0,25,49,58
52,East Side,101,109,46,59,0,29,0,29,55,64
53,West Pullman,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,34,57,0,19,0,19,0,19,34,57
56,Garfield Ridge,647,310,180,124,16,48,7,40,444,234
57,Archer Heights,212,178,82,83,6,27,61,79,63,55
58,Brighton Park,2756,498,770,207,1,40,59,65,1926,359
59,McKinley Park,2675,437,666,183,60,50,66,42,1883,327
60,Bridgeport,10772,980,2602,416,169,85,144,84,7857,765
61,New City,563,153,186,92,0,47,14,49,363,95
62,West Elsdon,322,174,93,93,0,27,0,27,229,118
63,Gage Park,471,240,140,114,62,69,0,41,269,148
64,Clearing,186,231,23,35,0,31,0,31,163,229
65,West Lawn,95,88,17,40,0,34,0,34,78,85
66,Chicago Lawn,439,304,49,71,0,49,0,49,390,283
67,West Englewood,41,65,0,48,0,48,0,48,41,65
68,Englewood,21,40,3,35,0,36,0,36,18,38
69,Greater Grand Crossing,25,50,6,38,0,38,0,38,19,44
70,Ashburn,121,99,21,43,0,41,17,47,83,83
71,Auburn Gresham,77,126,20,56,0,46,0,46,57,93
72,Beverly,61,59,0,29,7,29,0,29,54,50
73,Washington Heights,2,30,0,33,0,33,0,33,2,30
74,Mount Greenwood,169,172,56,79,25,31,0,25,88,94
75,Morgan Park,124,91,35,51,1,29,0,31,88,79
76,O'Hare,1173,435,77,76,80,75,80,135,936,370
77,Edgewater,6849,934,826,253,669,230,90,65,5264,826
