area_id,area_name,b07004a001,b07004a001_moe,b07004a002,b07004a002_moe,b07004a003,b07004a003_moe,b07004a004,b07004a004_moe,b07004a005,b07004a005_moe,b07004a006,b07004a006_moe
1,Rogers Park,29672,1698,22149,1499,4779,764,414,162,1588,313,742,395
2,West Ridge,40046,2245,35384,2144,3072,820,114,104,518,318,958,472
3,Uptown,32295,1320,25192,1226,5033,612,350,129,1403,307,317,183
4,Lincoln Square,27414,1189,22296,1161,3820,646,260,156,895,244,143,108
5,North Center,29122,1072,23379,1061,4682,598,238,132,755,228,68,63
6,Lake View,81579,1749,56856,1747,15702,1117,2163,490,5926,638,932,347
7,Lincoln Park,55174,1703,39387,1662,9851,941,1314,303,3996,583,626,247
8,Near North Side,60579,1661,45792,1617,8115,843,1530,409,4493,735,649,241
9,Edison Park,10593,548,9913,528,483,202,0,25,185,161,12,27
10,Norwood Park,32518,1126,30662,1054,1541,596,90,74,150,85,75,54
11,Jefferson Park,21223,1241,19296,1104,1372,425,52,63,345,395,158,194
12,Forest Glen,14252,684,13223,716,725,254,92,77,171,104,41,45
13,North Park,10639,846,9619,836,658,278,117,73,138,84,107,87
14,Albany Park,22457,1374,18862,1295,2385,609,325,179,695,235,190,97
15,Portage Park,41298,1698,38114,1638,2363,620,195,211,513,276,113,99
16,Irving Park,36485,1839,31525,1756,4044,761,197,114,472,240,247,175
17,Dunning,35283,1333,33400,1336,1623,384,84,71,108,75,68,64
18,Montclare,7760,732,7133,680,507,253,46,55,44,43,30,38
19,Belmont Cragin,30668,2160,28313,2050,2094,746,0,52,25,56,236,152
20,Hermosa,9186,1052,8090,993,909,363,119,185,33,60,35,46
21,Avondale,30095,1869,26130,1824,3548,792,113,73,149,75,155,123
22,Logan Square,58178,1960,48034,1958,7987,968,391,154,1461,342,305,170
23,Humboldt Park,13966,1279,12434,1271,1316,423,28,48,133,105,55,70
24,West Town,61967,1818,47613,1684,10834,1030,1078,257,2215,368,227,107
25,Austin,8103,817,7699,779,268,129,57,90,42,74,37,74
26,West Garfield Park,324,153,269,135,55,63,0,35,0,35,0,35
27,East Garfield Park,840,239,667,223,98,71,54,58,9,40,12,41
28,Near West Side,24911,1132,18062,1004,4406,554,936,238,1293,262,214,117
29,North Lawndale,1447,342,1224,313,118,78,76,67,29,50,0,43
30,South Lawndale,46494,2222,40279,2192,5357,847,168,86,471,190,219,161
31,Lower West Side,17655,1477,14663,1419,2451,534,194,97,275,110,72,62
32,Loop,17196,1233,10974,900,2916,671,970,364,2039,568,297,154
33,Near South Side,9643,895,7419,817,1510,487,31,34,637,351,46,43
34,Armour Square,1818,318,1555,314,176,131,19,37,64,62,4,26
35,Douglas,2560,397,1534,283,344,158,99,66,436,147,147,104
36,Oakland,251,160,245,161,0,19,6,19,0,19,0,19
37,Fuller Park,85,62,84,62,1,11,0,16,0,16,0,16
38,Grand Boulevard,982,328,841,297,125,122,0,43,15,47,1,41
39,Kenwood,3593,437,2492,327,564,277,144,126,283,110,110,70
40,Washington Park,59,59,53,58,5,26,0,27,0,27,1,29
41,Hyde Park,13095,924,9244,734,1756,327,141,71,1617,320,337,103
42,Woodlawn,1796,294,1264,236,226,111,69,54,201,96,36,41
43,South Shore,781,219,670,191,110,79,0,44,1,43,0,44
44,Chatham,196,110,167,104,29,52,0,37,0,37,0,37
45,Avalon Park,169,176,168,176,1,11,0,19,0,19,0,19
46,South Chicago,5625,780,4931,698,576,332,0,37,92,133,26,54
47,Burnside,20,31,20,31,0,11,0,11,0,11,0,11
48,Calumet Heights,241,90,232,89,8,26,0,27,1,25,0,27
49,Roseland,610,178,432,145,117,99,12,42,49,50,0,41
50,Pullman,864,190,825,204,34,43,0,19,5,17,0,19
