area_id,area_name,b07012001,b07012001_moe,b07012002,b07012002_moe,b07012003,b07012003_moe,b07012004,b07012004_moe,b07012005,b07012005_moe,b07012006,b07012006_moe,b07012007,b07012007_moe,b07012008,b07012008_moe,b07012009,b07012009_moe,b07012010,b07012010_moe,b07012011,b07012011_moe,b07012012,b07012012_moe,b07012013,b07012013_moe,b07012014,b07012014_moe,b07012015,b07012015_moe,b07012016,b07012016_moe,b07012017,b07012017_moe,b07012018,b07012018_moe,b07012019,b07012019_moe,b07012020,b07012020_moe,b07012021,b07012021_moe,b07012022,b07012022_moe,b07012023,b07012023_moe,b07012024,b07012024_moe
1,Rogers Park,54137,2090,14585,1625,6532,1082,33020,1652,41932,1997,9625,1347,5416,1012,26891,1555,8622,1295,3310,818,749,251,4563,867,405,168,225,134,15,52,165,108,1753,366,579,227,224,131,950,251,1425,575,846,430,128,106,451,369
2,West Ridge,71540,2501,14135,2040,9509,1641,47896,2234,61561,2469,11434,1826,7981,1513,42146,2159,7297,1317,1883,807,1187,562,4227,867,397,321,272,303,0,51,125,117,763,360,97,84,46,89,620,318,1522,551,449,282,295,275,778,394
3,Uptown,53021,1667,13391,1303,4674,707,34956,1525,41812,1633,9904,1152,3672,644,28236,1401,7953,833,2502,521,700,219,4751,626,553,167,201,104,63,77,289,131,2084,493,426,222,156,92,1502,435,619,244,358,193,83,100,178,129
4,Lincoln Square,37536,1312,4601,912,3490,764,29445,1160,30593,1364,3270,734,2777,695,24546,1238,5355,913,1120,581,588,353,3647,558,275,161,38,46,12,43,225,156,1113,285,127,74,101,65,885,274,200,122,46,67,12,44,142,108
5,North Center,32736,1077,2117,428,1121,293,29498,1067,26634,1104,1467,352,751,221,24416,1078,4969,630,385,227,258,173,4326,568,257,135,66,78,6,42,185,115,780,231,164,122,99,76,517,180,96,86,35,56,7,43,54,60
6,Lake View,95086,1705,11244,997,4311,711,79531,1760,66622,1792,5131,684,2955,633,58536,1740,17890,1213,3438,542,802,228,13650,1051,2465,521,347,142,212,186,1906,470,6613,674,1594,325,307,149,4712,545,1496,444,734,361,35,77,727,234
7,Lincoln Park,60818,1635,7487,775,1975,363,51356,1655,44074,1672,3597,493,1286,273,39191,1663,10995,1021,2508,473,333,147,8154,865,1178,296,255,123,12,52,911,266,3870,570,924,283,256,150,2690,472,701,258,203,108,88,140,410,199
8,Near North Side,78204,1752,10597,1082,2973,519,64634,1709,59140,1800,7315,949,2060,385,49765,1706,10633,983,1659,402,448,227,8526,888,1671,427,320,177,99,125,1252,346,5231,843,936,301,173,113,4122,785,1529,419,367,206,193,183,969,318
9,Edison Park,11091,497,330,159,348,143,10413,494,10379,470,281,139,302,135,9796,488,506,206,0,25,46,55,460,201,9,27,0,25,0,25,9,27,185,161,49,76,0,25,136,97,12,27,0,25,0,25,12,27
10,Norwood Park,36418,1156,1938,472,1876,606,32604,1256,34191,1136,1769,460,1537,526,30885,1251,1834,630,115,85,330,299,1389,522,107,82,27,53,0,39,80,74,183,91,10,35,9,40,164,89,103,59,17,38,0,39,86,60
11,Jefferson Park,26376,1215,1871,448,2467,624,22038,1349,23977,1171,1728,442,2075,571,20174,1268,1776,520,96,83,382,258,1298,400,52,63,0,29,0,29,52,63,345,395,2,27,10,32,333,395,226,207,45,68,0,29,181,197
