area_id,area_name,b07201001,b07201001_moe,b07201002,b07201002_moe,b07201003,b07201003_moe,b07201004,b07201004_moe,b07201005,b07201005_moe,b07201006,b07201006_moe,b07201007,b07201007_moe,b07201008,b07201008_moe,b07201009,b07201009_moe,b07201010,b07201010_moe,b07201011,b07201011_moe,b07201012,b07201012_moe,b07201013,b07201013_moe,b07201014,b07201014_moe
1,Rogers Park,56603,2181,43326,2038,11807,1396,9613,1327,8664,1292,949,245,1926,350,1099,286,827,223,141,104,74,70,67,82,127,128,1470,580
2,West Ridge,72552,2514,62321,2478,8705,1408,7898,1359,7347,1341,551,202,782,363,472,294,310,169,11,53,11,53,0,51,14,55,1526,551
3,Uptown,54415,1671,42880,1621,10916,998,8688,861,7653,822,1035,246,2055,487,1477,437,578,179,61,59,41,49,20,55,112,84,619,244
4,Lincoln Square,38023,1318,30894,1370,6929,971,5799,931,5061,816,738,450,1054,283,732,239,322,163,63,55,53,54,10,42,13,43,200,122
5,North Center,32766,1079,26664,1106,6006,666,5233,627,4730,617,503,171,720,224,489,193,231,120,32,55,32,55,0,43,21,56,96,86
6,Lake View,95272,1709,66716,1795,27060,1428,20104,1292,16933,1189,3171,560,6549,685,4674,603,1875,341,282,113,220,109,62,74,125,85,1496,444
7,Lincoln Park,63827,1706,45373,1706,17663,1318,13233,1123,10728,987,2505,467,4205,582,2462,418,1743,392,187,189,150,187,37,56,38,57,791,262
8,Near North Side,79778,1764,60156,1813,18071,1329,12193,1069,9806,917,2387,525,5439,840,3854,670,1585,532,346,205,113,101,233,183,93,123,1551,424
9,Edison Park,11091,497,10379,470,700,294,506,206,405,192,101,73,194,161,58,77,136,97,0,25,0,25,0,25,0,25,12,27
10,Norwood Park,36936,1175,34613,1168,2220,647,2030,635,1505,513,525,393,149,76,96,65,53,49,12,41,11,41,1,37,29,61,103,59
11,Jefferson Park,26468,1226,24046,1184,2196,641,1818,524,1733,520,85,81,378,396,111,84,267,390,0,29,0,29,0,29,0,29,226,207
12,Forest Glen,18314,638,16808,695,1403,374,1200,348,1020,330,180,123,180,107,110,85,70,60,21,36,12,33,9,31,2,25,103,81
13,North Park,18492,980,15966,1025,2318,569,2115,556,1771,514,344,258,130,78,50,48,80,67,19,36,19,36,0,27,54,58,208,114
14,Albany Park,53106,2030,43437,2101,9192,1352,8268,1342,7576,1311,692,319,827,246,587,219,240,112,37,55,7,43,30,54,60,89,477,179
15,Portage Park,62786,1791,56305,1929,6244,1026,5470,969,5061,962,409,196,673,343,219,184,454,284,63,114,0,47,63,114,38,54,237,152
16,Irving Park,55598,1934,47937,2002,7302,1038,6320,921,5684,878,636,301,892,469,500,330,392,339,83,93,39,75,44,72,7,42,359,199
17,Dunning,41635,1223,39069,1232,2429,496,2249,485,1809,447,440,163,154,95,44,49,110,80,2,37,1,39,1,39,24,51,137,102
18,Montclare,12263,827,10863,810,1264,432,1190,431,993,396,197,146,73,63,58,58,15,31,1,16,1,16,0,23,0,23,136,99
