area_id,area_name,b08105g001,b08105g001_moe,b08105g002,b08105g002_moe,b08105g003,b08105g003_moe,b08105g004,b08105g004_moe,b08105g005,b08105g005_moe,b08105g006,b08105g006_moe,b08105g007,b08105g007_moe
1,Rogers Park,832,235,296,120,104,78,364,169,39,53,13,50,16,53
2,West Ridge,479,196,360,176,8,52,87,78,3,51,0,51,21,59
3,Uptown,747,259,170,117,13,50,407,187,39,66,0,48,118,111
4,Lincoln Square,428,153,202,107,11,42,148,93,8,40,9,41,50,68
5,North Center,351,110,173,76,11,45,105,67,38,58,24,56,0,43
6,Lake View,881,220,192,107,45,75,547,180,82,102,6,66,9,67
7,Lincoln Park,535,173,250,135,13,54,204,106,19,51,7,51,42,65
8,Near North Side,571,192,81,74,38,70,143,101,274,146,0,54,35,66
9,Edison Park,94,87,56,75,0,25,0,25,21,40,13,28,4,24
10,Norwood Park,248,138,183,116,19,47,0,39,0,39,0,39,46,80
11,Jefferson Park,219,104,180,99,0,29,13,36,19,34,7,30,0,29
12,Forest Glen,122,70,76,62,20,33,15,34,0,29,0,29,11,33
13,North Park,213,124,92,60,0,27,63,90,46,65,0,27,12,29
14,Albany Park,817,236,374,137,176,131,191,82,35,56,16,46,25,48
15,Portage Park,799,244,436,172,265,133,97,86,0,47,0,47,1,46
16,Irving Park,608,184,277,116,71,86,227,124,0,47,33,52,0,47
17,Dunning,212,101,173,94,32,46,7,40,0,40,0,40,0,40
18,Montclare,66,56,23,36,0,23,43,52,0,23,0,23,0,23
19,Belmont Cragin,640,256,415,166,199,157,7,51,19,58,0,52,0,52
20,Hermosa,188,94,111,79,23,44,33,47,0,29,0,29,21,34
21,Avondale,283,111,144,85,12,38,108,74,11,41,0,38,8,39
22,Logan Square,654,166,286,119,18,59,288,107,6,57,18,58,38,71
23,Humboldt Park,355,164,200,113,65,88,69,79,10,51,5,51,6,48
24,West Town,884,206,397,146,36,69,281,127,67,82,51,72,52,72
25,Austin,148,96,81,75,14,64,33,66,5,61,15,65,0,61
26,West Garfield Park,23,40,0,35,0,35,0,35,0,35,10,36,13,39
27,East Garfield Park,16,40,0,38,0,38,16,40,0,38,0,38,0,38
28,Near West Side,727,173,298,108,52,67,142,86,161,112,33,56,41,65
29,North Lawndale,69,56,29,47,13,46,17,49,5,42,5,42,0,43
30,South Lawndale,150,98,46,52,65,78,24,50,0,48,15,56,0,48
31,Lower West Side,481,186,125,83,100,93,207,114,25,56,3,40,21,51
32,Loop,288,133,56,49,35,58,44,75,125,85,13,35,15,36
33,Near South Side,178,126,118,114,5,23,33,36,13,25,0,24,9,24
34,Armour Square,141,131,26,42,27,46,88,121,0,27,0,27,0,27
35,Douglas,113,62,11,34,7,35,92,61,3,34,0,35,0,35
36,Oakland,3,16,3,16,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,85,58,42,49,9,44,23,46,0,43,11,45,0,43
39,Kenwood,92,78,29,52,6,31,51,64,0,31,0,31,6,31
40,Washington Park,37,37,20,32,0,27,6,27,11,31,0,27,0,27
41,Hyde Park,352,126,71,51,6,38,122,68,64,59,50,54,39,53
42,Woodlawn,151,82,83,62,0,36,64,62,0,36,4,36,0,36
43,South Shore,393,198,226,142,48,62,81,75,38,69,0,44,0,44
44,Chatham,130,94,32,55,35,59,63,70,0,37,0,37,0,37
45,Avalon Park,57,42,0,19,31,33,17,28,0,19,9,23,0,19
46,South Chicago,131,126,109,120,0,37,22,49,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,55,52,55,52,0,27,0,27,0,27,0,27,0,27
49,Roseland,153,81,112,80,10,45,31,43,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,41,51,0,25,0,25,34,49,0,25,7,22,0,25
52,East Side,163,90,140,86,10,32,0,29,0,29,0,29,13,33
53,West Pullman,108,108,0,39,28,50,71,103,0,39,0,39,9,38
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,64,51,37,43,27,33,0,19,0,19,0,19,0,19
56,Garfield Ridge,354,145,328,136,1,43,25,44,0,42,0,42,0,42
57,Archer Heights,43,43,22,33,21,39,0,27,0,27,0,27,0,27
58,Brighton Park,107,85,74,61,24,55,0,43,9,44,0,43,0,43
59,McKinley Park,115,147,54,89,43,62,18,36,0,25,0,25,0,25
60,Bridgeport,251,117,86,51,72,95,0,37,51,83,10,37,32,62
61,New City,144,89,114,83,19,52,6,46,3,46,0,47,2,46
62,West Elsdon,43,47,43,47,0,27,0,27,0,27,0,27,0,27
63,Gage Park,128,114,49,82,35,55,16,52,10,42,0,41,18,40
64,Clearing,179,135,48,45,70,111,52,71,9,33,0,31,0,31
65,West Lawn,407,174,215,95,134,123,41,46,0,34,0,34,17,40
66,Chicago Lawn,183,107,117,84,44,72,12,46,10,50,0,49,0,49
67,West Englewood,140,96,91,78,0,48,21,51,0,48,0,48,28,54
68,Englewood,53,44,26,40,21,40,6,36,0,36,0,36,0,36
69,Greater Grand Crossing,46,60,3,40,0,38,25,45,10,40,8,39,0,38
70,Ashburn,138,104,50,58,57,78,13,44,18,49,0,41,0,41
71,Auburn Gresham,122,99,49,72,0,46,73,82,0,46,0,46,0,46
72,Beverly,119,67,68,46,25,47,26,37,0,29,0,29,0,29
73,Washington Heights,19,38,19,38,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,53,37,13,28,0,25,0,25,17,28,0,25,23,32
75,Morgan Park,107,58,43,42,29,38,30,36,5,31,0,31,0,31
76,O'Hare,191,139,180,138,0,38,11,41,0,38,0,38,0,38
77,Edgewater,809,246,388,190,91,111,265,133,10,49,36,60,19,51
