area_id,area_name,b08137001,b08137001_moe,b08137002,b08137002_moe,b08137003,b08137003_moe,b08137004,b08137004_moe,b08137005,b08137005_moe,b08137006,b08137006_moe,b08137007,b08137007_moe,b08137008,b08137008_moe,b08137009,b08137009_moe,b08137010,b08137010_moe,b08137011,b08137011_moe,b08137012,b08137012_moe,b08137013,b08137013_moe,b08137014,b08137014_moe,b08137015,b08137015_moe,b08137016,b08137016_moe,b08137017,b08137017_moe,b08137018,b08137018_moe,b08137019,b08137019_moe,b08137020,b08137020_moe,b08137021,b08137021_moe
1,Rogers Park,29402,1230,10321,880,19081,1190,11212,838,5066,531,6146,680,2618,446,1128,263,1490,361,11470,892,2982,448,8488,859,1689,392,248,102,1441,381,744,214,272,119,472,184,1669,343,625,150,1044,312
2,West Ridge,31487,1408,16555,1057,14932,1298,18511,1077,10596,823,7915,852,3779,670,1869,405,1910,537,5387,641,2461,423,2926,505,1828,398,679,193,1149,368,686,207,247,115,439,180,1296,286,703,204,593,206
3,Uptown,31383,1138,12083,758,19300,1136,10859,781,4979,481,5880,677,1726,429,763,236,963,368,13775,888,4712,474,9063,791,1515,306,256,113,1259,286,1463,318,391,137,1072,281,2045,347,982,226,1063,274
4,Lincoln Square,23012,819,9912,775,13100,845,11119,737,5209,499,5910,680,1647,335,879,284,768,210,7461,590,2679,340,4782,539,858,198,221,87,637,179,708,194,321,129,387,141,1219,230,603,163,616,167
5,North Center,20713,729,10818,598,9895,717,10592,597,6160,492,4432,484,1473,299,991,238,482,173,5537,463,2226,270,3311,399,759,177,267,111,492,141,671,168,264,88,407,147,1681,296,910,198,771,222
6,Lake View,68053,1434,25119,1052,42934,1451,21880,961,9697,625,12183,828,3788,454,2227,330,1561,320,32767,1248,9435,675,23332,1138,3501,478,781,218,2720,424,1921,347,826,228,1095,271,4196,475,2153,313,2043,369
7,Lincoln Park,40025,1107,18088,846,21937,1132,14265,764,8216,536,6049,632,2076,337,1214,228,862,248,16700,893,5349,476,11351,851,2448,373,700,181,1748,333,1986,427,766,254,1220,341,2550,330,1843,280,707,181
8,Near North Side,49912,1470,22761,1137,27151,1403,13973,930,8157,696,5816,712,1379,352,812,266,567,224,12464,866,4768,541,7696,711,15014,1071,5089,593,9925,956,3686,549,1928,340,1758,420,3396,522,2007,346,1389,401
9,Edison Park,5861,391,4702,424,1159,289,4303,408,3651,418,652,222,318,156,248,127,70,96,650,176,400,133,250,128,292,130,168,92,124,97,45,46,45,46,0,25,253,121,190,78,63,77
10,Norwood Park,17522,808,14129,698,3393,632,13415,716,11031,651,2384,463,1495,345,1043,270,452,216,1769,347,1402,269,367,226,211,130,156,96,55,94,86,62,77,61,9,40,546,174,420,152,126,95
11,Jefferson Park,12565,675,9000,693,3565,548,8877,538,6608,565,2269,406,1250,305,829,228,421,216,1722,317,1161,263,561,208,261,112,105,74,156,87,100,65,80,60,20,36,355,134,217,104,138,85
12,Forest Glen,9032,443,8093,456,939,247,6134,439,5587,418,547,162,939,258,858,260,81,80,1215,229,1046,207,169,103,317,113,234,104,83,67,77,61,52,45,25,49,350,106,316,92,34,59
13,North Park,8040,592,5097,505,2943,486,5080,498,3373,396,1707,345,920,249,617,205,303,142,1071,253,452,141,619,219,417,157,274,126,143,96,180,84,98,65,82,52,372,142,283,126,89,71
14,Albany Park,26529,1292,10084,867,16445,1230,12394,849,5478,613,6916,702,2970,485,1158,283,1812,405,8692,896,2511,360,6181,859,1029,259,214,121,815,235,374,148,148,88,226,125,1070,279,575,200,495,201
15,Portage Park,31027,1175,18750,1037,12277,983,19610,999,12688,875,6922,721,4042,586,2317,392,1725,445,5167,558,2428,337,2739,462,766,214,494,174,272,128,526,191,269,121,257,153,916,232,554,155,362,182
16,Irving Park,28654,1188,14854,1067,13800,1055,16217,936,9036,809,7181,730,2965,444,1854,361,1111,259,6321,602,2576,373,3745,498,999,250,373,159,626,196,724,195,286,120,438,155,1428,341,729,183,699,289
17,Dunning,21251,904,16517,886,4734,694,16140,855,12771,795,3369,595,2309,371,1706,326,603,196,1885,306,1410,254,475,166,435,184,242,107,193,152,285,175,251,170,34,54,197,88,137,66,60,68
