area_id,area_name,b08203001,b08203001_moe,b08203002,b08203002_moe,b08203003,b08203003_moe,b08203004,b08203004_moe,b08203005,b08203005_moe,b08203006,b08203006_moe,b08203007,b08203007_moe,b08203008,b08203008_moe,b08203009,b08203009_moe,b08203010,b08203010_moe,b08203011,b08203011_moe,b08203012,b08203012_moe,b08203013,b08203013_moe,b08203014,b08203014_moe,b08203015,b08203015_moe,b08203016,b08203016_moe,b08203017,b08203017_moe,b08203018,b08203018_moe,b08203019,b08203019_moe,b08203020,b08203020_moe,b08203021,b08203021_moe,b08203022,b08203022_moe,b08203023,b08203023_moe,b08203024,b08203024_moe,b08203025,b08203025_moe,b08203026,b08203026_moe,b08203027,b08203027_moe,b08203028,b08203028_moe,b08203029,b08203029_moe,b08203030,b08203030_moe
1,Rogers Park,23981,550,7811,534,11957,595,3508,392,544,163,161,80,4804,461,2795,354,1748,307,208,122,16,53,37,56,11965,622,3947,418,7022,534,770,189,169,118,57,63,6120,504,862,222,2839,376,2226,322,193,91,0,48,1092,248,207,127,348,151,304,135,166,95,67,60
2,West Ridge,24402,485,4361,451,11254,641,7006,527,1441,295,340,134,5408,459,2207,321,2482,342,595,151,107,89,17,56,10573,610,1609,313,6458,565,2212,332,231,109,63,80,6632,557,377,139,1975,354,3621,413,606,203,53,61,1789,314,168,102,339,148,578,175,497,175,207,108
3,Uptown,29441,501,12545,643,13235,614,3339,392,167,87,155,79,7865,533,5687,487,1956,339,208,118,0,48,14,50,13960,654,5498,508,7476,531,838,218,95,76,53,57,6854,517,1230,226,3489,398,2083,316,32,52,20,53,762,225,130,103,314,156,210,124,40,59,68,63
4,Lincoln Square,17622,376,3682,378,9037,505,4067,385,787,187,49,55,2697,319,1105,216,1353,249,188,73,51,58,0,40,8787,514,2011,308,5354,459,1355,258,54,48,13,42,5222,402,531,161,2191,283,2221,309,279,110,0,40,916,210,35,54,139,89,303,123,403,142,36,51
5,North Center,14724,323,1786,244,7153,409,4919,341,731,170,135,68,1923,239,594,149,1085,198,195,71,49,61,0,43,6500,395,823,181,4074,351,1383,206,173,99,47,55,5734,355,314,103,1865,224,3168,307,347,120,40,50,567,137,55,62,129,86,173,74,162,81,48,49
6,Lake View,52568,659,18763,767,24598,868,7944,528,991,226,272,104,7860,544,4423,445,2836,348,543,147,30,73,28,70,27341,876,11419,688,13745,730,1926,295,208,132,43,71,15089,687,2495,321,7414,539,4789,413,280,113,111,91,2278,301,426,139,603,168,686,190,473,165,90,76
7,Lincoln Park,32194,546,9799,594,15187,679,6279,462,755,162,174,102,5342,407,2728,311,2112,274,417,140,38,57,47,81,16771,703,5725,522,8772,573,2014,307,210,90,50,58,8979,543,1126,230,3913,409,3586,344,330,113,24,62,1102,225,220,104,390,156,262,107,177,95,53,63
8,Near North Side,50758,883,21987,968,23471,960,4703,509,492,173,105,79,12123,765,7191,646,4315,487,527,172,78,74,12,57,29108,1063,12947,815,13950,848,1961,378,181,110,69,73,9079,722,1744,308,5031,599,2133,331,147,121,24,60,448,151,105,98,175,107,82,80,86,69,0,54
9,Edison Park,4608,141,524,153,1520,192,2081,193,409,117,74,48,1145,140,240,85,633,130,272,86,0,25,0,25,1710,215,228,108,801,146,600,150,72,46,9,26,1493,192,56,65,86,60,1119,171,216,88,16,34,260,88,0,25,0,25,90,66,121,58,49,39
10,Norwood Park,14646,262,1554,226,5289,402,5637,412,1797,287,369,137,4324,309,1349,209,2126,251,742,143,92,64,15,42,5250,415,164,94,2670,322,1907,277,414,145,95,86,4069,386,41,49,360,156,2800,328,756,173,112,85,1003,204,0,39,133,98,188,85,535,175,147,72
11,Jefferson Park,9943,274,1444,235,3910,348,3053,340,1125,229,411,144,2590,269,1028,207,1279,205,258,89,25,37,0,29,3975,359,341,148,2136,307,1125,221,321,146,52,50,2589,299,67,48,475,149,1428,248,572,157,47,48,789,167,8,31,20,35,242,105,207,94,312,127
12,Forest Glen,6793,159,476,135,2255,255,3022,250,767,179,273,93,1551,175,328,108,811,147,388,104,13,34,11,33,2440,271,138,94,1105,203,1033,180,154,104,10,31,2243,228,10,33,300,117,1470,205,353,109,110,64,559,126,0,29,39,53,131,56,247,111,142,66
13,North Park,6436,188,1143,225,2512,273,2143,242,414,124,224,92,1915,251,840,198,822,169,238,109,1,24,14,26,2114,264,194,86,1253,243,630,147,37,48,0,27,1887,231,109,93,402,120,1106,193,226,96,44,43,520,136,0,27,35,38,169,93,150,66,166,80
14,Albany Park,16804,326,4080,392,7539,457,3989,401,815,215,381,132,2719,327,1459,248,1033,219,199,87,8,46,20,48,7039,497,1617,274,3790,379,1387,286,233,121,12,46,5158,437,699,194,2241,321,1879,268,202,90,137,103,1888,311,305,158,475,172,524,159,372,154,212,104
15,Portage Park,22505,401,3193,372,9435,581,6890,500,2506,331,481,134,4987,434,1670,287,2653,329,529,151,81,69,54,76,8751,533,1272,257,4533,453,2328,314,506,154,112,77,6511,453,213,109,1866,306,3341,356,1063,219,28,55,2256,306,38,51,383,151,692,188,856,206,287,104
16,Irving Park,20177,401,3534,385,8976,514,5847,476,1298,258,522,151,3487,344,1453,245,1454,238,508,140,49,53,23,51,9037,520,1780,293,5236,437,1711,276,258,119,52,61,6016,444,267,113,2033,293,3099,374,512,155,105,79,1637,280,34,50,253,127,529,180,479,158,342,125
17,Dunning,15141,266,1359,208,5623,388,5685,395,1828,265,646,145,3938,311,899,166,2370,267,595,143,40,50,34,40,4885,381,391,132,2291,292,1741,234,361,112,101,58,4664,369,60,57,927,226,2817,298,694,176,166,77,1654,251,9,41,35,43,532,156,733,188,345,110
18,Montclare,4425,173,753,159,1583,226,1498,238,458,134,133,64,1352,183,520,136,615,166,186,86,16,29,15,28,1599,232,202,82,720,183,480,152,173,107,24,27,1123,216,31,39,223,97,749,197,105,57,15,29,351,101,0,23,25,33,83,54,164,79,79,47
19,Belmont Cragin,21570,412,3245,378,8751,540,6622,508,1992,300,960,209,4342,394,1564,254,2123,291,548,156,90,75,17,56,8949,556,1460,279,4568,444,2299,326,427,152,195,102,5428,469,180,95,1587,284,2969,370,527,162,165,105,2851,364,41,75,473,181,806,199,948,207,583,171
