area_id,area_name,b08303001,b08303001_moe,b08303002,b08303002_moe,b08303003,b08303003_moe,b08303004,b08303004_moe,b08303005,b08303005_moe,b08303006,b08303006_moe,b08303007,b08303007_moe,b08303008,b08303008_moe,b08303009,b08303009_moe,b08303010,b08303010_moe,b08303011,b08303011_moe,b08303012,b08303012_moe,b08303013,b08303013_moe
1,Rogers Park,28279,1254,485,234,1203,269,1833,360,2239,433,2981,438,1188,263,4693,578,931,243,1947,329,5857,571,3674,445,1248,293
2,West Ridge,30222,1408,413,168,1888,360,2838,418,3696,523,3293,537,1261,295,5800,733,777,217,1640,351,4631,573,2939,434,1046,282
3,Uptown,29560,1163,390,143,685,201,1596,320,2081,351,2937,501,1472,288,6098,594,1032,227,2940,412,5740,572,3910,509,679,194
4,Lincoln Square,21799,835,217,102,792,207,985,216,1695,294,2095,359,980,216,4221,504,1186,233,1708,268,5003,502,2232,337,685,211
5,North Center,19037,727,302,142,622,155,1601,270,1618,246,2611,381,912,175,3575,422,893,186,1592,249,3331,386,1540,276,440,136
6,Lake View,63926,1427,608,202,1937,353,2636,387,4505,458,8414,732,4394,447,14894,889,3796,426,5870,552,9761,778,5449,541,1662,302
7,Lincoln Park,38286,1134,509,166,1660,339,3212,462,4486,477,6364,567,3197,479,7497,635,1453,251,1923,416,4075,459,3035,417,875,203
8,Near North Side,47179,1415,730,221,3351,481,7451,763,8113,757,8331,727,3253,493,6408,678,1147,259,1757,336,2686,413,2687,450,1265,288
9,Edison Park,5609,391,67,62,339,142,514,202,600,156,531,156,287,95,1279,253,326,118,504,147,601,181,463,139,98,73
10,Norwood Park,17008,807,217,102,930,225,1743,304,1909,340,2239,357,901,216,3667,412,705,198,971,245,2016,315,1471,285,239,126
11,Jefferson Park,12217,677,75,65,592,197,664,190,1006,204,1637,265,952,283,2782,424,383,130,558,152,1815,291,1405,353,348,153
12,Forest Glen,8688,448,75,62,372,136,725,194,986,224,1077,221,696,146,1613,263,355,120,662,184,990,185,944,227,193,93
13,North Park,7813,567,191,84,492,135,711,187,818,198,877,210,369,135,1602,310,257,101,319,119,1255,237,809,188,113,84
14,Albany Park,25717,1291,266,139,629,179,1374,293,1845,363,3343,530,1248,288,5773,715,826,247,2057,399,3815,432,3920,603,621,173
15,Portage Park,30126,1180,263,160,842,235,1528,297,2205,381,3565,431,1786,338,7202,672,924,222,2111,344,4601,519,4108,501,991,237
16,Irving Park,27258,1169,376,144,850,236,1596,402,2590,389,3713,475,1281,272,6213,623,817,211,1649,280,4068,439,3404,518,701,201
17,Dunning,21059,907,277,149,670,226,1291,237,1872,284,2226,302,932,250,4910,550,620,158,1708,278,3118,405,2820,378,615,211
