area_id,area_name,b10057001,b10057001_moe,b10057002,b10057002_moe,b10057003,b10057003_moe,b10057004,b10057004_moe,b10057005,b10057005_moe,b10057006,b10057006_moe,b10057007,b10057007_moe,b10057008,b10057008_moe,b10057009,b10057009_moe,b10057010,b10057010_moe,b10057011,b10057011_moe
1,Rogers Park,960,280,495,220,234,123,170,104,64,81,261,161,465,172,153,100,75,81,78,76,312,135
2,West Ridge,2279,525,1327,416,159,106,134,99,25,64,1168,402,952,288,106,91,98,86,8,59,846,282
3,Uptown,544,253,331,206,126,161,22,57,104,158,205,132,213,146,92,89,30,57,62,83,121,125
4,Lincoln Square,669,293,525,285,224,173,189,144,35,68,301,211,144,77,21,45,21,45,0,40,123,75
5,North Center,115,81,72,68,22,47,16,44,6,43,50,64,43,58,0,43,0,43,0,43,43,58
6,Lake View,172,123,114,116,8,67,0,66,8,67,106,116,58,76,0,66,0,66,0,66,58,76
7,Lincoln Park,83,68,3,51,0,51,0,51,0,51,3,51,80,69,50,64,41,64,9,51,30,56
8,Near North Side,291,109,93,83,33,71,0,54,33,71,60,69,198,90,68,69,28,63,40,61,130,78
9,Edison Park,136,91,85,73,60,69,39,41,21,37,25,29,51,54,0,25,0,25,0,25,51,54
10,Norwood Park,549,205,227,132,16,44,16,44,0,39,211,129,322,158,25,44,12,41,13,42,297,156
11,Jefferson Park,537,186,266,150,33,37,33,37,0,29,233,144,271,112,37,51,9,29,28,51,234,104
12,Forest Glen,401,167,146,80,22,46,22,46,0,29,124,74,255,146,16,37,0,29,16,37,239,142
13,North Park,476,170,319,144,68,60,42,53,26,38,251,134,157,90,27,42,0,27,27,42,130,83
14,Albany Park,1933,425,1507,403,410,197,353,177,57,68,1097,322,426,167,39,57,0,45,39,57,387,160
15,Portage Park,2429,430,1459,373,455,191,304,152,151,106,1004,320,970,244,268,124,185,100,83,86,702,215
16,Irving Park,1589,361,951,304,262,153,172,122,90,102,689,268,638,223,96,110,96,110,0,47,542,199
17,Dunning,1436,297,811,244,265,168,119,101,146,146,546,176,625,193,111,98,56,74,55,75,514,163
