area_id,area_name,b11001001,b11001001_moe,b11001002,b11001002_moe,b11001003,b11001003_moe,b11001004,b11001004_moe,b11001005,b11001005_moe,b11001006,b11001006_moe,b11001007,b11001007_moe,b11001008,b11001008_moe,b11001009,b11001009_moe
1,Rogers Park,23981,550,10091,605,6200,531,3891,444,1284,291,2607,360,13890,663,10695,611,3195,380
2,West Ridge,24402,485,16321,613,12078,623,4243,467,1214,279,3029,399,8081,558,6604,521,1477,311
3,Uptown,29441,501,9232,572,6145,487,3087,413,994,246,2093,358,20209,662,16694,662,3515,382
4,Lincoln Square,17622,376,8394,466,6684,435,1710,300,484,193,1226,227,9228,493,7023,480,2205,302
5,North Center,14724,323,7252,362,6063,334,1189,207,321,110,868,178,7472,391,5222,363,2250,276
6,Lake View,52568,659,14864,634,12649,591,2215,317,768,194,1447,268,37704,825,27176,837,10528,595
7,Lincoln Park,32194,546,10261,528,8914,522,1347,218,354,125,993,180,21933,645,16514,669,5419,446
8,Near North Side,50758,883,15079,781,12697,740,2382,364,582,198,1800,300,35679,1047,31270,1071,4409,511
9,Edison Park,4608,141,2829,194,2266,186,563,149,214,101,349,124,1779,205,1491,202,288,113
10,Norwood Park,14646,262,9614,389,7522,401,2092,318,594,169,1498,273,5032,384,4550,385,482,179
11,Jefferson Park,9943,274,6374,356,4846,355,1528,275,548,175,980,218,3569,346,3297,345,272,110
12,Forest Glen,6793,159,4867,213,4268,237,599,156,187,101,412,125,1926,235,1701,225,225,107
13,North Park,6436,188,4250,254,3236,266,1014,207,409,149,605,155,2186,238,1794,234,392,147
14,Albany Park,16804,326,10842,482,7230,432,3612,398,1711,312,1901,294,5962,462,4105,417,1857,323
15,Portage Park,22505,401,14935,511,10374,510,4561,445,902,192,3659,417,7570,499,6241,463,1329,247
16,Irving Park,20177,401,12442,497,8528,499,3914,411,1384,276,2530,336,7735,463,5809,432,1926,284
17,Dunning,15141,266,10702,388,7769,396,2933,346,846,212,2087,283,4439,364,3930,348,509,132
18,Montclare,4425,173,2909,245,2047,242,862,187,294,118,568,155,1516,203,1373,197,143,73
19,Belmont Cragin,21570,412,16806,526,9774,531,7032,541,2452,363,4580,460,4764,411,4035,382,729,185
20,Hermosa,7070,219,5456,268,3318,303,2138,279,632,164,1506,257,1614,222,1307,204,307,123
21,Avondale,13801,329,8793,441,5615,417,3178,367,1064,234,2114,300,5008,409,3687,376,1321,246
22,Logan Square,29492,477,14728,559,9602,519,5126,417,1543,258,3583,362,14764,571,9557,533,5207,399
23,Humboldt Park,16778,419,11493,468,4847,425,6646,473,1457,263,5189,449,5285,437,4160,405,1125,227
24,West Town,37287,534,15867,600,10842,528,5025,424,1411,247,3614,362,21420,633,13896,616,7524,476
25,Austin,32428,573,22153,667,7961,507,14192,672,2213,325,11979,641,10275,617,8955,576,1320,256
26,West Garfield Park,5714,265,4060,269,807,153,3253,268,453,138,2800,254,1654,210,1479,201,175,67
27,East Garfield Park,6896,277,4480,287,1173,192,3307,274,455,136,2852,267,2416,248,2158,242,258,100
28,Near West Side,25665,497,9977,505,6298,416,3679,358,692,180,2987,319,15688,578,12335,569,3353,360
29,North Lawndale,10852,381,7738,394,1859,232,5879,377,687,164,5192,365,3114,312,2679,294,435,130
30,South Lawndale,16454,435,13134,474,7628,468,5506,440,1867,290,3639,365,3320,344,2302,282,1018,209
31,Lower West Side,12255,332,7273,405,3843,369,3430,337,1228,220,2202,285,4982,365,3552,336,1430,244
32,Loop,14557,598,4775,482,4171,461,604,209,131,99,473,183,9782,659,8026,669,1756,323
33,Near South Side,11517,470,3892,405,2843,376,1049,272,253,123,796,246,7625,494,6379,494,1246,328
34,Armour Square,5359,184,3330,239,2289,257,1041,191,268,89,773,185,2029,223,1709,207,320,114
35,Douglas,9023,275,3423,283,1248,191,2175,242,330,118,1845,220,5600,305,4973,316,627,151
