area_id,area_name,b11002001,b11002001_moe,b11002002,b11002002_moe,b11002003,b11002003_moe,b11002004,b11002004_moe,b11002005,b11002005_moe,b11002006,b11002006_moe,b11002007,b11002007_moe,b11002008,b11002008_moe,b11002009,b11002009_moe,b11002010,b11002010_moe,b11002011,b11002011_moe,b11002012,b11002012_moe
1,Rogers Park,54629,2112,35739,2339,21488,2109,21208,2054,280,208,4449,1100,3673,809,776,465,9802,1540,9367,1461,435,175,18890,1154
2,West Ridge,72242,2574,61786,2822,45779,2694,45732,2690,47,65,5670,1558,4872,1290,798,406,10337,1554,10051,1523,286,150,10456,982
3,Uptown,52122,1621,27175,1826,18019,1649,17875,1623,144,127,2874,710,2671,676,203,125,6282,1095,6069,1063,213,104,24947,1002
4,Lincoln Square,38022,1337,25862,1558,20529,1473,20440,1468,89,63,1827,787,1658,710,169,117,3506,718,3383,698,123,78,12160,755
5,North Center,33314,1088,22413,1185,18995,1112,18816,1100,179,123,1092,404,933,357,159,86,2326,488,2209,464,117,80,10901,746
6,Lake View,96065,1725,41582,1807,35200,1671,35056,1661,144,118,2238,571,1927,503,311,140,4144,836,3673,672,471,306,54483,1532
7,Lincoln Park,61161,1634,30072,1707,26173,1682,26086,1678,87,99,1012,363,886,329,126,76,2887,564,2615,495,272,131,31089,1201
8,Near North Side,78732,1796,37291,1948,29923,1796,29810,1779,113,105,1663,586,1495,507,168,166,5705,945,5570,930,135,111,41441,1354
9,Edison Park,11130,498,8970,580,7348,601,7321,598,27,46,561,252,553,250,8,27,1061,390,1014,370,47,54,2160,315
10,Norwood Park,36826,1210,31158,1404,24492,1417,24400,1416,92,66,2093,671,2016,666,77,70,4573,862,4450,843,123,81,5668,506
11,Jefferson Park,26744,1244,22786,1404,17336,1410,17230,1402,106,87,1984,681,1693,563,291,171,3466,854,3327,828,139,91,3958,408
12,Forest Glen,18514,645,16307,765,14337,801,14330,800,7,29,653,375,569,309,84,87,1317,429,1245,401,72,68,2207,303
13,North Park,18117,994,15326,1080,11615,1097,11574,1089,41,51,1667,694,1510,642,157,120,2044,522,1942,487,102,82,2791,406
14,Albany Park,52775,2045,43944,2346,29293,1993,28973,1973,320,177,6952,1422,6162,1255,790,256,7699,1294,7299,1222,400,185,8831,919
15,Portage Park,63442,1849,54178,2095,36930,1935,36610,1910,320,187,3257,768,2916,699,341,128,13991,1758,13066,1668,925,270,9264,705
16,Irving Park,55961,1945,45626,2162,31241,2124,31001,2109,240,123,5771,1286,5317,1202,454,188,8614,1240,8090,1161,524,215,10335,745
17,Dunning,41958,1248,36676,1416,26611,1488,26393,1458,218,137,3033,804,2854,777,179,90,7032,1034,6887,1023,145,75,5282,549
18,Montclare,12272,836,10521,938,7170,874,7113,869,57,66,1149,472,1019,408,130,98,2202,589,2089,560,113,86,1751,284
