area_id,area_name,b14005001,b14005001_moe,b14005002,b14005002_moe,b14005003,b14005003_moe,b14005004,b14005004_moe,b14005005,b14005005_moe,b14005006,b14005006_moe,b14005007,b14005007_moe,b14005008,b14005008_moe,b14005009,b14005009_moe,b14005010,b14005010_moe,b14005011,b14005011_moe,b14005012,b14005012_moe,b14005013,b14005013_moe,b14005014,b14005014_moe,b14005015,b14005015_moe,b14005016,b14005016_moe,b14005017,b14005017_moe,b14005018,b14005018_moe,b14005019,b14005019_moe,b14005020,b14005020_moe,b14005021,b14005021_moe,b14005022,b14005022_moe,b14005023,b14005023_moe,b14005024,b14005024_moe,b14005025,b14005025_moe,b14005026,b14005026_moe,b14005027,b14005027_moe,b14005028,b14005028_moe,b14005029,b14005029_moe
1,Rogers Park,3018,479,1125,268,947,221,174,94,39,58,734,203,178,163,130,153,117,153,0,48,13,50,48,72,0,48,0,48,48,72,1893,363,1670,342,409,193,189,109,1072,245,223,142,60,79,0,48,2,45,58,81,163,125,33,70,0,48,130,114
2,West Ridge,3280,501,1859,399,1516,326,279,148,164,98,1073,285,343,215,145,100,66,75,26,57,53,79,198,196,69,93,16,56,113,178,1421,300,1253,273,244,116,116,101,893,240,168,112,108,91,108,91,0,51,0,51,60,83,33,72,27,66,0,51
3,Uptown,1280,303,718,220,614,207,124,81,66,79,424,179,104,83,99,80,63,73,35,58,1,46,5,49,0,48,0,48,5,49,562,194,436,172,87,84,97,99,252,126,126,96,75,79,8,48,15,51,52,69,51,66,0,48,20,50,31,64
4,Lincoln Square,981,267,447,163,355,144,115,81,37,54,203,111,92,79,44,53,0,40,32,52,12,41,48,71,38,70,10,41,0,40,534,202,383,149,67,73,12,43,304,122,151,140,53,73,40,72,0,40,13,42,98,125,0,40,64,83,34,64
5,North Center,540,151,244,97,231,96,29,45,13,46,189,91,13,45,0,43,0,43,0,43,0,43,13,45,0,43,13,45,0,43,296,118,286,117,52,66,0,43,234,104,10,45,10,45,10,45,0,43,0,43,0,43,0,43,0,43,0,43
6,Lake View,1148,232,482,160,437,150,85,96,78,99,274,106,45,81,42,81,13,69,29,79,0,66,3,66,0,66,3,66,0,66,666,180,574,169,220,111,22,66,332,140,92,90,56,77,56,77,0,66,0,66,36,81,0,66,0,66,36,81
7,Lincoln Park,2600,402,1331,246,1311,244,272,108,126,87,913,204,20,56,20,56,17,56,3,50,0,51,0,51,0,51,0,51,0,51,1269,262,1267,262,427,125,125,90,715,173,2,49,0,51,0,51,0,51,0,51,2,49,0,51,0,51,2,49
8,Near North Side,1626,279,697,206,650,202,149,102,14,58,487,174,47,72,47,72,24,67,0,54,23,61,0,54,0,54,0,54,0,54,929,229,858,221,198,87,64,72,596,192,71,81,11,57,11,57,0,54,0,54,60,79,0,54,11,56,49,78
9,Edison Park,398,146,143,84,143,84,49,52,0,25,94,70,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,255,105,216,86,43,51,36,32,137,74,39,65,39,65,0,25,0,25,39,65,0,25,0,25,0,25,0,25
10,Norwood Park,1118,268,711,233,594,185,237,121,14,44,343,127,117,96,100,94,74,92,6,40,20,41,17,44,0,39,0,39,17,44,407,123,368,118,99,68,40,46,229,95,39,56,13,43,13,43,0,39,0,39,26,54,0,39,26,54,0,39
