area_id,area_name,b15002001,b15002001_moe,b15002002,b15002002_moe,b15002003,b15002003_moe,b15002004,b15002004_moe,b15002005,b15002005_moe,b15002006,b15002006_moe,b15002007,b15002007_moe,b15002008,b15002008_moe,b15002009,b15002009_moe,b15002010,b15002010_moe,b15002011,b15002011_moe,b15002012,b15002012_moe,b15002013,b15002013_moe,b15002014,b15002014_moe,b15002015,b15002015_moe,b15002016,b15002016_moe,b15002017,b15002017_moe,b15002018,b15002018_moe,b15002019,b15002019_moe,b15002020,b15002020_moe,b15002021,b15002021_moe,b15002022,b15002022_moe,b15002023,b15002023_moe,b15002024,b15002024_moe,b15002025,b15002025_moe,b15002026,b15002026_moe,b15002027,b15002027_moe,b15002028,b15002028_moe,b15002029,b15002029_moe,b15002030,b15002030_moe,b15002031,b15002031_moe,b15002032,b15002032_moe,b15002033,b15002033_moe,b15002034,b15002034_moe,b15002035,b15002035_moe
1,Rogers Park,37621,1332,19273,918,361,161,211,169,815,263,689,251,476,254,418,175,253,121,302,139,3551,462,714,192,2818,394,941,211,4740,485,2105,333,549,145,330,123,18348,891,589,281,484,207,842,258,287,117,250,119,214,105,358,147,283,131,3187,416,658,172,2694,378,1031,240,4106,425,2526,321,315,133,524,164
2,West Ridge,48008,1521,22843,934,1034,280,325,176,722,239,336,148,321,166,225,110,401,193,903,249,4553,517,958,243,3446,459,1126,287,5484,589,1932,309,667,184,410,134,25165,999,1494,367,635,312,890,259,545,170,483,161,566,193,314,130,769,218,5272,583,954,217,2937,421,1621,332,5707,538,2442,334,355,141,181,100
3,Uptown,43905,1298,22974,1031,260,127,123,92,425,186,286,124,311,148,238,124,514,188,351,139,4064,545,571,162,3042,444,1276,420,7212,583,2811,336,1134,242,356,119,20931,862,292,114,205,165,468,183,628,237,382,186,260,142,233,102,218,113,2863,427,898,238,2230,380,936,227,6323,539,3731,443,883,221,381,136
4,Lincoln Square,30006,909,14935,630,198,114,99,62,397,166,399,155,258,148,261,145,173,82,295,129,1859,328,424,149,1897,301,764,202,5425,450,1691,244,462,131,333,207,15071,603,207,116,239,123,482,204,295,125,93,63,191,105,222,121,208,102,1917,306,397,148,1761,318,655,189,4659,427,2899,333,468,121,378,151
5,North Center,24963,744,12339,528,43,47,18,46,5,42,32,47,78,74,116,93,29,48,119,70,1618,264,315,114,1248,245,425,140,5121,384,2024,275,902,182,246,116,12624,501,28,47,127,116,45,53,102,69,29,49,70,54,96,68,197,100,1469,249,354,114,927,180,465,132,5502,407,2251,265,760,161,202,80
6,Lake View,72670,1436,36656,1127,144,117,106,85,44,72,107,83,25,68,218,137,169,105,147,93,2315,350,764,202,3299,430,1379,284,16487,956,6962,549,3470,398,1020,219,36014,1096,48,72,32,82,119,105,150,109,71,89,189,113,68,72,244,106,2079,300,814,210,2593,359,1085,241,17226,909,7932,612,2597,305,767,212
7,Lincoln Park,44220,1165,21983,839,64,68,62,69,26,54,238,119,51,70,112,77,73,64,169,104,949,225,368,121,1208,246,456,161,9403,682,5226,474,2656,354,922,194,22237,785,69,63,86,87,102,78,229,103,36,54,150,79,71,61,69,61,869,191,450,129,1448,283,517,137,9330,644,5458,463,2484,326,869,206
8,Near North Side,66874,1503,30785,1113,68,69,17,58,62,88,230,153,54,73,12,56,253,151,120,86,1788,398,567,184,2336,419,816,248,12403,904,5536,561,4918,534,1605,327,36089,1108,55,62,24,61,86,93,46,62,39,64,260,124,162,90,174,106,2372,369,1111,229,3867,528,1174,235,15763,957,6786,620,3164,417,1006,248
9,Edison Park,8242,341,3983,293,18,29,0,25,0,25,51,37,0,25,25,29,96,75,81,60,666,165,352,125,651,149,424,182,1058,179,308,91,172,89,81,53,4259,225,55,44,11,26,13,29,41,33,22,34,46,50,96,69,56,48,900,167,343,112,519,130,312,121,1212,197,508,139,112,64,13,28
10,Norwood Park,27459,769,12775,536,52,53,12,42,64,54,327,131,63,56,173,76,177,94,368,152,3410,367,960,221,2386,342,1028,225,2669,327,691,161,194,82,201,112,14684,520,284,124,186,99,170,89,424,143,86,60,248,97,205,99,312,111,4109,417,1009,185,1772,295,1075,238,3086,345,1456,258,204,87,58,45
11,Jefferson Park,18827,791,9205,523,75,59,19,34,91,78,413,165,13,34,211,110,354,142,229,115,2448,339,517,157,1483,288,802,211,1790,291,569,151,132,87,59,48,9622,505,91,62,34,45,67,60,266,112,102,78,108,55,174,101,283,122,2817,367,638,175,1438,289,637,187,2024,302,785,179,95,55,63,60
12,Forest Glen,12767,394,6110,284,81,60,6,27,29,38,62,70,25,36,22,36,74,71,67,61,931,203,303,105,833,174,268,92,1767,225,1038,214,440,120,164,80,6657,284,98,66,0,29,46,45,14,35,19,32,38,47,27,39,18,32,1190,201,259,103,736,168,415,143,2159,283,1228,200,227,88,183,84
