area_id,area_name,b16007001,b16007001_moe,b16007002,b16007002_moe,b16007003,b16007003_moe,b16007004,b16007004_moe,b16007005,b16007005_moe,b16007006,b16007006_moe,b16007007,b16007007_moe,b16007008,b16007008_moe,b16007009,b16007009_moe,b16007010,b16007010_moe,b16007011,b16007011_moe,b16007012,b16007012_moe,b16007013,b16007013_moe,b16007014,b16007014_moe,b16007015,b16007015_moe,b16007016,b16007016_moe,b16007017,b16007017_moe,b16007018,b16007018_moe,b16007019,b16007019_moe
1,Rogers Park,53292,1991,7258,791,3786,599,2522,486,320,216,101,147,529,250,41706,1572,26777,1313,8402,1066,3452,683,1339,391,1736,356,4328,465,2767,423,399,153,868,225,264,150,30,55
2,West Ridge,67808,2299,13155,1077,5896,743,2323,575,2908,712,818,277,1210,436,45350,1742,16835,1053,8177,1193,10603,1233,5026,954,4709,903,9303,716,4418,470,1227,397,2143,399,816,229,699,272
3,Uptown,52308,1570,3874,650,2516,586,592,231,226,115,249,141,291,183,42766,1378,29981,1224,4982,788,3236,550,2661,574,1906,500,5668,541,2986,397,487,162,916,236,1081,274,198,148
4,Lincoln Square,35777,1175,3486,522,1718,319,1042,397,442,159,205,149,79,88,28765,925,18508,863,4342,717,3512,517,1685,411,718,249,3526,390,1897,281,482,212,495,193,394,158,258,204
5,North Center,30322,978,3147,429,2621,395,370,185,147,109,0,43,9,44,24674,816,20777,767,2386,478,981,209,430,188,100,90,2501,296,1421,212,583,216,229,90,215,111,53,79
6,Lake View,91635,1609,4897,511,3953,480,519,158,290,123,94,118,41,71,80163,1480,66451,1532,4819,594,4852,594,2720,482,1321,373,6575,471,4599,433,487,155,931,211,404,167,154,120
7,Lincoln Park,61386,1662,5641,757,4552,692,301,167,743,299,28,62,17,58,50759,1299,43222,1324,2309,414,3507,482,1179,253,542,216,4986,431,4088,386,358,135,475,149,41,57,24,56
8,Near North Side,78099,1717,3475,607,3037,592,110,92,176,118,63,81,89,87,62293,1561,48510,1591,3113,599,6229,794,3372,565,1069,297,12331,673,10471,636,332,164,1139,254,269,198,120,80
9,Edison Park,10776,481,1907,237,1658,245,78,89,130,106,41,62,0,25,7202,415,5957,479,284,143,792,233,169,136,0,25,1667,153,1318,171,61,61,242,110,10,27,36,47
10,Norwood Park,35117,1093,5124,536,3685,454,419,165,853,364,146,115,21,43,22643,903,14981,792,2242,532,4168,693,993,394,259,149,7350,397,5426,400,273,102,1314,246,270,131,67,61
11,Jefferson Park,25022,1127,4056,507,2380,391,828,273,382,201,234,116,232,262,17260,896,9537,768,2305,510,3951,823,1131,367,336,232,3706,402,2531,305,91,75,881,221,162,97,41,52
12,Forest Glen,17349,610,3244,317,2407,310,452,173,230,99,133,109,22,38,11032,471,7242,583,1071,266,1455,378,832,287,432,230,3073,204,2159,232,81,75,638,181,148,103,47,48
13,North Park,17610,939,3122,508,1502,369,595,355,517,227,468,233,40,57,11427,733,5206,519,1931,447,1857,440,1671,340,762,438,3061,345,1465,270,217,106,604,227,627,187,148,100
14,Albany Park,49366,1858,8827,837,2149,413,5636,749,543,215,299,140,200,149,36638,1457,11546,818,17384,1498,3560,583,2933,684,1215,479,3901,434,1506,275,775,237,621,229,948,238,51,62
15,Portage Park,59798,1711,10813,926,4327,568,4918,771,1122,287,204,135,242,194,41967,1307,16675,1023,14743,1183,8425,840,1576,496,548,250,7018,520,4188,423,1007,249,1563,302,222,110,38,59
16,Irving Park,51927,1822,8484,793,4033,602,3961,637,268,145,100,77,122,104,38632,1401,18082,948,14816,1218,2921,491,1982,493,831,346,4811,460,2368,315,1110,269,719,184,564,233,50,74
17,Dunning,39975,1178,5655,522,2731,422,1431,290,1317,259,65,58,111,101,27956,956,11884,854,5254,557,9811,924,831,270,176,88,6364,355,3722,299,579,153,1821,272,169,94,73,61
18,Montclare,11473,771,2088,383,605,210,1347,322,73,68,46,75,17,31,7619,576,2312,456,3467,472,1416,364,333,212,91,96,1766,280,1045,254,324,119,382,148,5,19,10,23
19,Belmont Cragin,71416,2315,16751,1195,3524,600,12547,1060,414,179,223,207,43,67,48856,1730,8235,872,35457,1703,4215,603,751,317,198,144,5809,494,2102,312,2215,352,1335,257,136,89,21,60
20,Hermosa,23058,1119,5259,539,858,234,4401,538,0,29,0,29,0,29,15934,875,2129,443,13394,919,361,229,39,54,11,32,1865,325,384,133,1391,306,82,52,8,30,0,29
21,Avondale,38171,1732,6273,739,1885,379,4194,640,113,95,53,63,28,54,28666,1329,9688,797,16504,1443,1649,379,789,327,36,48,3232,425,1256,252,1312,312,574,165,83,68,7,38
22,Logan Square,68556,1822,9328,802,4418,565,4703,621,165,110,42,67,0,57,54486,1481,33279,1151,19020,1305,1399,291,554,157,234,107,4742,451,1696,284,2668,384,307,131,53,70,18,59
23,Humboldt Park,49489,1958,11529,1066,6670,881,4758,686,75,84,0,51,26,58,33710,1407,17786,1186,15331,1129,380,197,129,114,84,84,4250,414,2797,336,1391,282,35,58,25,58,2,50
24,West Town,78857,1836,7840,774,3970,571,3283,504,406,160,150,106,31,76,65852,1543,46818,1343,12829,1050,4720,596,1159,298,326,147,5165,455,1807,257,2316,338,1022,204,20,65,0,62
25,Austin,91600,2491,19854,1245,17783,1197,1928,414,97,145,26,69,20,67,60961,1766,55119,1700,4720,739,744,305,236,137,142,140,10785,573,10116,578,390,139,229,135,50,78,0,61
26,West Garfield Park,17630,1172,5035,598,4972,596,63,72,0,35,0,35,0,35,10922,794,10743,788,138,146,10,35,17,43,14,40,1673,227,1665,226,7,35,1,37,0,35,0,35
27,East Garfield Park,19390,1221,5517,696,5355,693,122,95,0,38,0,38,40,49,12104,800,11542,792,305,134,84,61,57,53,116,79,1769,214,1726,210,6,36,37,46,0,38,0,38
28,Near West Side,51247,1567,5547,665,4920,655,445,162,43,59,123,71,16,51,42135,1319,31919,1231,2729,422,3543,501,3510,537,434,192,3565,326,2948,303,180,86,166,86,271,139,0,52
