area_id,area_name,b16009001,b16009001_moe,b16009002,b16009002_moe,b16009003,b16009003_moe,b16009004,b16009004_moe,b16009005,b16009005_moe,b16009006,b16009006_moe,b16009007,b16009007_moe,b16009008,b16009008_moe,b16009009,b16009009_moe,b16009010,b16009010_moe,b16009011,b16009011_moe,b16009012,b16009012_moe,b16009013,b16009013_moe,b16009014,b16009014_moe,b16009015,b16009015_moe,b16009016,b16009016_moe,b16009017,b16009017_moe,b16009018,b16009018_moe,b16009019,b16009019_moe,b16009020,b16009020_moe,b16009021,b16009021_moe,b16009022,b16009022_moe,b16009023,b16009023_moe,b16009024,b16009024_moe,b16009025,b16009025_moe,b16009026,b16009026_moe,b16009027,b16009027_moe
1,Rogers Park,50831,1903,13483,1471,2533,568,1319,445,1066,345,92,118,0,48,56,69,10950,1126,6537,860,2309,580,1376,517,140,128,588,221,37348,1621,4535,567,2383,398,1428,381,167,87,84,143,473,244,32813,1395,21183,1119,6371,969,2735,527,1348,425,1176,283
2,West Ridge,66797,2285,12876,1811,3862,879,1325,435,979,439,804,511,164,155,590,348,9014,1179,2822,559,2117,720,2136,590,770,367,1169,402,53921,2170,9241,878,4535,689,1344,384,2104,500,638,237,620,258,44680,1757,17627,1027,7264,1091,10499,1256,5059,973,4231,948
3,Uptown,50936,1567,12669,1214,1225,346,661,274,233,128,99,102,129,116,103,110,11444,1074,6560,793,1543,486,1249,294,1148,304,944,466,38267,1393,2598,573,1804,518,359,192,127,92,120,97,188,152,35669,1218,25325,1062,3858,650,2773,506,2572,600,1141,328
4,Lincoln Square,35290,1168,4316,821,740,353,222,152,367,298,67,90,84,122,0,40,3576,587,1771,380,1024,403,418,194,187,105,176,110,30974,1110,2733,390,1489,281,669,248,375,144,121,94,79,88,28241,999,18233,849,3766,642,3563,518,1888,453,791,372
5,North Center,30292,976,2073,423,97,76,37,52,60,70,0,43,0,43,0,43,1976,412,1572,362,140,86,186,96,0,43,78,98,28219,963,3020,424,2554,393,310,177,147,109,0,43,9,44,25199,797,20626,753,2829,514,1024,215,645,232,75,70
6,Lake View,91453,1605,11041,967,484,203,285,159,116,91,0,66,66,116,17,70,10557,919,7994,803,855,237,739,212,759,272,210,176,80412,1630,4391,476,3646,454,403,146,290,123,28,70,24,70,76021,1504,62921,1509,4445,571,5043,602,2347,438,1265,365
7,Lincoln Park,58405,1587,7367,753,370,166,259,117,79,125,32,61,0,51,0,51,6997,720,5711,674,527,176,446,158,209,134,104,88,51038,1588,5187,752,4248,687,217,120,677,289,28,62,17,58,45851,1185,39349,1187,1884,393,3348,477,852,219,418,199
8,Near North Side,76525,1707,10322,1052,1407,485,1398,485,9,56,0,54,0,54,0,54,8915,844,6711,740,678,252,780,241,631,282,115,86,66203,1675,2037,414,1608,391,101,93,176,118,63,81,89,87,64166,1589,51072,1606,2673,565,6499,809,2866,534,1056,298
9,Edison Park,10776,481,323,155,49,58,49,58,0,25,0,25,0,25,0,25,274,129,225,123,10,25,38,45,1,19,0,25,10453,471,1858,235,1609,242,78,89,130,106,41,62,0,25,8595,387,7050,466,335,150,996,254,178,137,36,47
10,Norwood Park,34622,1075,1877,445,293,163,131,110,92,93,70,86,0,39,0,39,1584,345,1036,281,154,95,303,175,27,54,64,99,32745,1130,4831,541,3554,460,327,140,783,361,146,115,21,43,27914,884,18947,905,2332,515,5147,728,1226,403,262,141
11,Jefferson Park,24930,1119,1775,413,407,225,145,114,108,113,106,163,17,31,31,45,1368,287,794,239,130,82,265,124,88,93,91,82,23155,1149,3558,467,2145,372,719,248,276,120,217,113,201,260,19597,943,11273,824,2266,521,4567,864,1205,399,286,226
12,Forest Glen,17349,610,1163,373,256,185,108,134,148,138,0,29,0,29,0,29,907,260,377,150,234,120,269,150,27,40,0,29,16186,674,2988,298,2299,285,304,138,230,99,133,109,22,38,13198,515,9024,576,918,244,1824,406,953,265,479,255
13,North Park,17131,932,2015,477,321,171,81,82,67,85,167,136,6,28,0,27,1694,379,517,174,416,225,398,196,285,169,78,68,15116,977,2801,500,1421,366,528,348,350,180,462,232,40,57,12315,753,5895,549,1685,428,2005,421,1912,390,818,506
14,Albany Park,48369,1845,10209,1401,2792,637,569,274,1981,530,161,128,0,45,81,125,7417,944,1639,377,3755,737,1137,446,353,152,533,352,38160,1849,6018,684,1576,345,3644,589,382,179,299,140,117,94,32142,1490,10713,806,14292,1342,2951,528,3469,765,717,341
15,Portage Park,59659,1710,7862,1196,2601,663,976,383,1388,509,86,77,13,52,138,165,5261,709,1691,375,2054,472,1192,356,130,107,194,174,51797,1795,8189,758,3332,479,3526,607,1036,281,191,134,104,113,43608,1439,19056,1071,13696,1224,8796,845,1668,535,392,198
16,Irving Park,51570,1815,7216,982,1652,485,430,296,1159,375,15,50,0,47,48,73,5564,702,2118,369,2414,521,461,184,263,171,308,127,44354,1829,6730,666,3545,523,2760,530,251,145,100,77,74,88,37624,1483,18095,947,13503,1264,3170,512,2283,589,573,292
17,Dunning,39857,1176,3697,653,657,230,234,136,142,116,198,138,8,41,75,91,3040,506,1333,332,430,198,1190,326,31,51,56,75,36160,1251,4994,524,2494,406,1289,283,1119,237,56,57,36,63,31166,1026,14169,910,5394,553,10441,922,969,312,193,94
18,Montclare,11305,767,1506,440,321,166,73,66,231,146,0,23,0,23,17,31,1185,313,310,115,580,231,151,99,78,105,66,88,9799,823,1721,370,486,198,1116,305,73,68,46,75,0,23,8078,614,2951,507,3204,467,1633,378,255,185,35,57
19,Belmont Cragin,71119,2308,13714,1635,4674,847,1195,432,3373,713,83,87,0,52,23,61,9040,990,1802,448,6425,851,620,210,15,51,178,166,57405,2367,12023,997,2312,435,9139,885,331,164,223,207,18,59,45382,1836,8348,850,31229,1764,4892,613,872,343,41,62
20,Hermosa,23036,1121,4413,815,1478,394,283,160,1195,352,0,29,0,29,0,29,2935,557,278,115,2585,545,61,67,0,29,11,32,18623,1218,3759,523,575,194,3184,518,0,29,0,29,0,29,14864,1009,2235,462,12200,1019,382,234,47,58,0,29
21,Avondale,38106,1731,6390,1159,1659,463,326,176,1270,419,35,64,0,38,28,54,4731,814,1430,398,2628,677,452,175,185,167,36,48,31716,1651,4565,603,1549,344,2885,512,78,79,53,63,0,38,27151,1385,9498,767,15188,1405,1771,395,687,293,7,39
22,Logan Square,68210,1817,13564,1350,3216,589,1470,401,1724,441,0,57,22,65,0,57,10348,975,5253,642,4919,697,64,60,89,70,23,59,54646,1770,6044,621,2929,418,2930,457,165,110,20,60,0,57,48602,1479,29570,1082,16662,1262,1628,339,513,157,229,108
23,Humboldt Park,49322,1950,16070,1606,5359,878,3407,737,1936,536,10,52,0,51,6,51,10711,996,6965,875,3613,503,91,78,22,56,20,53,33252,1864,6007,712,3143,551,2779,441,65,83,0,51,20,58,27245,1497,13616,1128,13109,1140,322,191,132,116,66,83
24,West Town,78496,1831,13204,1195,2457,502,1339,400,1012,313,93,98,13,63,0,62,10747,922,6196,685,3427,575,924,276,182,138,18,64,65292,1728,5354,626,2617,445,2256,430,313,139,137,105,31,76,59938,1508,42232,1297,11620,997,4787,585,991,273,308,144
25,Austin,90649,2491,26873,2052,7815,935,7050,887,661,252,84,145,0,61,20,67,19058,1426,17800,1382,983,286,246,201,9,60,20,67,63776,2402,11855,1005,10565,972,1251,349,13,62,26,69,0,61,51921,1884,46769,1805,4074,745,694,265,262,158,122,137
26,West Garfield Park,17533,1161,7315,882,2491,445,2481,444,10,37,0,35,0,35,0,35,4824,574,4815,574,8,34,1,33,0,35,0,35,10218,1033,2447,453,2394,449,53,71,0,35,0,35,0,35,7771,765,7593,748,137,146,10,38,17,43,14,40
