area_id,area_name,b17020d001,b17020d001_moe,b17020d002,b17020d002_moe,b17020d003,b17020d003_moe,b17020d004,b17020d004_moe,b17020d005,b17020d005_moe,b17020d006,b17020d006_moe,b17020d007,b17020d007_moe,b17020d008,b17020d008_moe,b17020d009,b17020d009_moe,b17020d010,b17020d010_moe,b17020d011,b17020d011_moe,b17020d012,b17020d012_moe,b17020d013,b17020d013_moe,b17020d014,b17020d014_moe,b17020d015,b17020d015_moe,b17020d016,b17020d016_moe,b17020d017,b17020d017_moe
1,Rogers Park,3655,938,911,576,9,49,0,48,0,48,63,109,692,475,96,99,51,79,2744,741,216,129,11,48,111,149,69,86,2035,545,136,90,166,128
2,West Ridge,17104,2020,2761,900,182,150,48,74,465,243,174,138,1742,606,50,61,100,86,14343,1843,1026,395,146,124,898,303,1000,242,9750,1260,1029,334,494,172
3,Uptown,6371,761,1691,427,129,101,30,56,129,93,42,66,752,253,349,173,260,126,4680,722,161,120,0,48,127,98,80,64,3699,633,317,161,296,137
4,Lincoln Square,4023,721,532,298,56,87,0,40,104,130,39,49,285,149,48,59,0,40,3491,646,255,123,22,55,43,52,183,113,2578,479,320,143,90,60
5,North Center,1400,341,65,75,8,43,0,43,0,43,0,43,44,73,13,46,0,43,1335,334,28,57,0,43,61,70,0,43,1000,272,211,108,35,52
6,Lake View,6690,799,1177,360,0,66,0,66,66,116,43,94,893,284,118,103,57,77,5513,719,489,218,34,74,128,96,44,74,4391,557,285,154,142,105
7,Lincoln Park,3456,530,566,198,0,51,0,51,0,51,0,51,544,194,14,54,8,51,2890,491,151,88,85,95,206,116,64,72,2297,356,52,63,35,59
8,Near North Side,8614,957,1123,372,37,81,0,54,0,54,37,80,1035,340,1,52,13,58,7491,892,380,266,14,59,98,82,79,73,6540,748,238,134,142,124
9,Edison Park,242,176,1,19,0,25,0,25,0,25,0,25,1,19,0,25,0,25,241,176,0,25,0,25,63,73,41,62,127,100,10,27,0,25
10,Norwood Park,1747,540,27,54,0,39,0,39,0,39,0,39,27,54,0,39,0,39,1720,539,149,123,43,61,150,101,4,39,1142,396,104,77,128,85
11,Jefferson Park,2507,740,105,111,0,29,0,29,7,30,10,30,88,93,0,29,0,29,2402,746,116,76,9,29,264,127,101,63,1693,615,172,98,47,68
12,Forest Glen,2269,411,161,100,40,39,0,29,0,29,0,29,112,71,9,31,0,29,2108,431,92,105,11,32,129,91,230,104,1457,273,74,64,115,101
13,North Park,5121,741,844,384,77,75,27,40,59,60,136,112,443,229,19,33,83,82,4277,726,353,129,86,68,307,128,458,189,2446,442,332,131,295,137
14,Albany Park,6624,1069,1317,585,113,132,42,75,63,82,39,59,693,334,37,49,330,187,5307,942,233,113,28,51,224,109,229,134,3792,736,436,140,365,173
15,Portage Park,2878,697,167,123,0,47,0,47,0,47,0,47,126,100,20,55,21,55,2711,690,129,83,56,58,202,128,118,92,1943,500,169,93,94,76
16,Irving Park,4057,775,364,204,25,60,0,47,0,47,0,47,284,164,0,47,55,102,3693,745,230,123,56,68,129,78,118,82,2646,538,305,168,209,128
