area_id,area_name,b19013d001,b19013d001_moe
1,Rogers Park,818405,245697
2,West Ridge,718893,168972
3,Uptown,740749,317553
4,Lincoln Square,568902,269912
5,North Center,1137861,369468
6,Lake View,3067440,760555
7,Lincoln Park,1268915,412221
8,Near North Side,1686799,216750
9,Edison Park,222236,257350
10,Norwood Park,582809,312444
11,Jefferson Park,624608,175972
12,Forest Glen,391054,201080
13,North Park,238073,52499
14,Albany Park,538320,188911
15,Portage Park,819581,260569
16,Irving Park,861755,420345
17,Dunning,1171026,337475
18,Montclare,57917,287289
19,Belmont Cragin,567225,179795
20,Hermosa,71250,70581
21,Avondale,519338,219071
22,Logan Square,1358585,304410
23,Humboldt Park,69333,2405
24,West Town,2099950,611135
25,Austin,135688,142556
27,East Garfield Park,57250,200329
28,Near West Side,1328888,244620
31,Lower West Side,346256,469289
32,Loop,482560,341541
33,Near South Side,205521,47710
34,Armour Square,75135,19877
35,Douglas,370011,134033
39,Kenwood,76870,20996
41,Hyde Park,516689,287038
42,Woodlawn,169468,369060
56,Garfield Ridge,326563,283338
57,Archer Heights,110750,95003
58,Brighton Park,429362,98064
59,McKinley Park,212283,32765
60,Bridgeport,424302,72958
61,New City,294289,83856
62,West Elsdon,310531,289615
63,Gage Park,112890,202373
64,Clearing,106202,14705
65,West Lawn,96761,156240
66,Chicago Lawn,166000,74255
76,O'Hare,103616,47896
77,Edgewater,722104,165375
