area_id,area_name,b19025a001,b19025a001_moe
1,Rogers Park,867245500,55496045
2,West Ridge,1099418500,171128222
3,Uptown,1466910000,81228688
4,Lincoln Square,1187772700,73697329
5,North Center,1747854100,105159148
6,Lake View,5057181600,192163736
7,Lincoln Park,4180380400,219906227
8,Near North Side,6161622400,351608604
9,Edison Park,429215700,28816409
10,Norwood Park,1075790800,50164144
11,Jefferson Park,589362100,41049804
12,Forest Glen,688036900,58883493
13,North Park,343067800,36489855
14,Albany Park,639609600,47709007
15,Portage Park,1124207000,54057219
16,Irving Park,1115051900,57894051
17,Dunning,923162400,43172185
18,Montclare,182696400,25225598
19,Belmont Cragin,537733900,41241594
20,Hermosa,154045700,19815096
21,Avondale,599668500,36542070
22,Logan Square,1909995900,76307585
23,Humboldt Park,251363900,32784294
24,West Town,2985726300,110605559
25,Austin,200354400,21649659
26,West Garfield Park,1401500,1830178
27,East Garfield Park,16634800,8053833
28,Near West Side,1566630600,97267105
29,North Lawndale,16133500,6520153
30,South Lawndale,456381900,28856095
31,Lower West Side,307946900,27199281
32,Loop,1286878300,191949100
33,Near South Side,764194800,127954107
34,Armour Square,48245800,10612473
35,Douglas,50235800,15583333
36,Oakland,8342500,5776082
38,Grand Boulevard,27523900,14026735
39,Kenwood,203139300,41107298
41,Hyde Park,555919200,55816528
42,Woodlawn,33947200,8971427
43,South Shore,24736600,18195478
46,South Chicago,66436000,10408281
48,Calumet Heights,6629700,3951806
49,Roseland,4728000,3945078
50,Pullman,26268200,5896587
51,South Deering,55355400,11984541
52,East Side,298901000,26428023
53,West Pullman,12801800,9180085
55,Hegewisch,190622000,23626120
56,Garfield Ridge,684826800,35957294
57,Archer Heights,149112200,17442257
58,Brighton Park,336628200,27913209
59,McKinley Park,154259700,18135020
60,Bridgeport,413597200,30312779
61,New City,261245400,21065597
62,West Elsdon,185827000,18780904
63,Gage Park,266031400,22499622
64,Clearing,445475500,30337911
65,West Lawn,255043900,25495852
66,Chicago Lawn,108869400,20901173
67,West Englewood,664500,813278
68,Englewood,1057900,1115316
70,Ashburn,257648400,26865381
72,Beverly,563364900,34621334
74,Mount Greenwood,589470000,32633247
75,Morgan Park,253225900,22699492
76,O'Hare,279173600,30624770
77,Edgewater,1373558000,72962828
