area_id,area_name,b19065001,b19065001_moe
1,Rogers Park,44563000,5697821
2,West Ridge,85839700,7943829
3,Uptown,55860600,6682328
4,Lincoln Square,42200200,5428930
5,North Center,31661100,4004804
6,Lake View,88038000,8044306
7,Lincoln Park,59705100,6149588
8,Near North Side,175899700,12400354
9,Edison Park,21443500,2568357
10,Norwood Park,90370800,5763201
11,Jefferson Park,43315000,4826494
12,Forest Glen,36206100,3725418
13,North Park,28439300,3808708
14,Albany Park,37626400,5318560
15,Portage Park,89233300,6984901
16,Irving Park,58196500,6213559
17,Dunning,74388500,5537488
18,Montclare,20189600,3666430
19,Belmont Cragin,69543400,5967266
20,Hermosa,18583300,3536515
21,Avondale,32918300,4660167
22,Logan Square,51246200,5427626
23,Humboldt Park,47425800,5055183
24,West Town,57281300,6051745
25,Austin,123752900,8575542
26,West Garfield Park,19181900,2675935
27,East Garfield Park,16392200,2426644
28,Near West Side,31948800,3660980
29,North Lawndale,32488100,3925433
30,South Lawndale,37095400,4351831
31,Lower West Side,30711300,4124151
32,Loop,29848000,5328378
33,Near South Side,17717800,3954244
34,Armour Square,21432100,3213654
35,Douglas,24212800,3237868
36,Oakland,5582900,1446699
37,Fuller Park,4772900,986449
38,Grand Boulevard,31619100,3232671
39,Kenwood,29699600,3722533
40,Washington Park,12904900,2319069
41,Hyde Park,43148500,5280100
42,Woodlawn,31557200,3659262
43,South Shore,65089700,6501225
44,Chatham,55768600,5592930
45,Avalon Park,21887700,2814873
46,South Chicago,46308200,5011552
47,Burnside,5435300,1505957
48,Calumet Heights,35819200,3661640
49,Roseland,89550900,6144336
50,Pullman,13917500,2537845
51,South Deering,22747700,3154640
52,East Side,29864200,3404630
53,West Pullman,53723900,5033736
54,Riverdale,6524500,1771388
55,Hegewisch,18172400,3707109
56,Garfield Ridge,64494400,5109241
57,Archer Heights,15035200,2652104
58,Brighton Park,28570600,3891295
59,McKinley Park,12918900,2171779
60,Bridgeport,34104600,4007862
61,New City,35431000,4128578
62,West Elsdon,17278500,2597459
63,Gage Park,23841900,3358824
64,Clearing,37404600,4398229
65,West Lawn,30736400,3749863
66,Chicago Lawn,42657400,4956727
67,West Englewood,57148600,4857062
68,Englewood,40658600,4235387
69,Greater Grand Crossing,51513300,4700987
70,Ashburn,51184400,4887962
71,Auburn Gresham,81971300,6150111
72,Beverly,29461600,3411162
73,Washington Heights,58174800,4945232
74,Mount Greenwood,23810900,2816505
75,Morgan Park,36138900,3841991
76,O'Hare,16216600,4716726
77,Edgewater,80132000,7441133
