area_id,area_name,b19113g001,b19113g001_moe
1,Rogers Park,101692,30781
2,West Ridge,256323,182322
3,Uptown,352491,101437
4,Lincoln Square,256441,206603
5,North Center,74625,264563
7,Lincoln Park,432014,534410
8,Near North Side,132596,61284
10,Norwood Park,187430,58007
11,Jefferson Park,200987,81392
13,North Park,50438,6326
14,Albany Park,453601,176189
15,Portage Park,347482,235501
16,Irving Park,473696,346882
17,Dunning,242145,157750
19,Belmont Cragin,565752,232491
20,Hermosa,87514,98980
21,Avondale,312656,206807
22,Logan Square,418792,338889
23,Humboldt Park,139112,77253
24,West Town,123333,213979
25,Austin,27386,339424
28,Near West Side,197573,144155
29,North Lawndale,60341,27095
30,South Lawndale,53750,74743
31,Lower West Side,141304,106849
32,Loop,208264,215429
33,Near South Side,140481,214976
34,Armour Square,18966,6769
38,Grand Boulevard,82813,160769
39,Kenwood,137913,335528
40,Washington Park,90500,60341
41,Hyde Park,403382,166165
42,Woodlawn,63173,44373
43,South Shore,112258,84371
44,Chatham,127778,14633
49,Roseland,129250,196526
51,South Deering,30375,20156
52,East Side,307947,207886
53,West Pullman,106109,481
55,Hegewisch,59479,26642
56,Garfield Ridge,222917,94695
58,Brighton Park,26875,24928
60,Bridgeport,114306,91264
61,New City,93783,40478
63,Gage Park,151500,151345
64,Clearing,105625,120204
65,West Lawn,247244,99041
66,Chicago Lawn,303958,114974
67,West Englewood,19722,562235
69,Greater Grand Crossing,31364,268442
70,Ashburn,17222,2076
72,Beverly,144841,46180
76,O'Hare,98385,40909
77,Edgewater,305960,239221
