area_id,area_name,b19313c001,b19313c001_moe
1,Rogers Park,708200,1222675
2,West Ridge,2296600,2686340
3,Uptown,582700,643384
4,Lincoln Square,1453800,1622742
6,Lake View,6711400,9326790
7,Lincoln Park,728400,1017422
8,Near North Side,791600,857890
13,North Park,1905800,2231829
14,Albany Park,1535800,2031804
15,Portage Park,3065600,4361763
16,Irving Park,4132100,4652656
17,Dunning,258800,602106
19,Belmont Cragin,1359100,1405823
21,Avondale,2632000,3367003
23,Humboldt Park,1464700,2353849
24,West Town,1155300,982144
25,Austin,1660300,2664167
28,Near West Side,991400,2040911
30,South Lawndale,2951600,2188716
31,Lower West Side,1051700,699343
33,Near South Side,2920600,3413046
39,Kenwood,838800,704735
41,Hyde Park,871500,1161520
42,Woodlawn,705200,725746
52,East Side,1655500,2223358
55,Hegewisch,511600,721216
57,Archer Heights,1208200,1293068
58,Brighton Park,2501700,2157644
59,McKinley Park,285500,469699
60,Bridgeport,1608300,2532310
61,New City,5795100,4654609
63,Gage Park,1677800,1991751
64,Clearing,1645700,2982397
65,West Lawn,2223500,2338996
66,Chicago Lawn,828100,1318504
69,Greater Grand Crossing,369000,194769
70,Ashburn,1034000,1230809
77,Edgewater,618300,970282
