area_id,area_name,b21001001,b21001001_moe,b21001002,b21001002_moe,b21001003,b21001003_moe,b21001004,b21001004_moe,b21001005,b21001005_moe,b21001006,b21001006_moe,b21001007,b21001007_moe,b21001008,b21001008_moe,b21001009,b21001009_moe,b21001010,b21001010_moe,b21001011,b21001011_moe,b21001012,b21001012_moe,b21001013,b21001013_moe,b21001014,b21001014_moe,b21001015,b21001015_moe,b21001016,b21001016_moe,b21001017,b21001017_moe,b21001018,b21001018_moe,b21001019,b21001019_moe,b21001020,b21001020_moe,b21001021,b21001021_moe,b21001022,b21001022_moe,b21001023,b21001023_moe,b21001024,b21001024_moe,b21001025,b21001025_moe,b21001026,b21001026_moe,b21001027,b21001027_moe,b21001028,b21001028_moe,b21001029,b21001029_moe,b21001030,b21001030_moe,b21001031,b21001031_moe,b21001032,b21001032_moe,b21001033,b21001033_moe,b21001034,b21001034_moe,b21001035,b21001035_moe,b21001036,b21001036_moe,b21001037,b21001037_moe,b21001038,b21001038_moe,b21001039,b21001039_moe
1,Rogers Park,46024,1615,1777,286,44247,1618,23139,1060,1568,271,21571,1050,10211,885,287,149,9924,870,8839,676,394,151,8445,655,2308,318,337,126,1971,308,1136,218,331,123,805,186,645,176,219,82,426,152,22885,1150,209,109,22676,1144,10062,888,117,87,9945,884,7428,641,71,77,7357,643,2848,402,10,49,2838,402,1294,221,0,48,1294,221,1253,276,11,51,1242,276
2,West Ridge,54653,1790,1867,311,52786,1829,26715,1146,1764,303,24951,1191,9033,935,204,125,8829,931,9671,698,282,141,9389,713,4221,463,247,131,3974,449,2264,366,403,122,1861,349,1526,245,628,156,898,194,27938,1077,103,76,27835,1074,7989,690,23,55,7966,689,10059,611,49,65,10010,608,4377,457,25,57,4352,458,2875,436,6,51,2869,436,2638,352,0,51,2638,352
3,Uptown,48402,1390,1830,301,46572,1386,25191,1073,1715,291,23476,1061,9906,804,148,103,9758,800,10138,746,451,153,9687,733,3167,415,525,171,2642,390,1202,251,302,101,900,234,778,191,289,114,489,164,23211,928,115,85,23096,924,9041,673,37,71,9004,674,7870,594,23,50,7847,594,2612,382,21,56,2591,376,1728,314,10,48,1718,314,1960,347,24,53,1936,343
4,Lincoln Square,32272,982,1301,248,30971,990,15958,664,1286,247,14672,656,6340,515,150,80,6190,518,5903,489,290,159,5613,474,2106,275,355,118,1751,254,1152,209,234,88,918,202,457,137,257,95,200,105,16314,654,15,40,16299,655,6676,503,0,40,6676,503,5600,442,0,40,5600,442,2121,261,15,40,2106,259,1081,241,0,40,1081,241,836,178,0,40,836,178
5,North Center,27159,813,931,178,26228,811,13405,653,875,170,12530,642,5863,595,123,79,5740,588,5308,381,234,99,5074,381,1175,192,207,87,968,177,772,164,154,77,618,153,287,86,157,67,130,64,13754,556,56,74,13698,560,6026,456,14,43,6012,456,4861,357,0,43,4861,357,1425,226,0,43,1425,226,814,165,42,74,772,167,628,170,0,43,628,170
6,Lake View,86709,1484,2315,328,84394,1484,42610,1273,2240,323,40370,1270,23274,1203,427,151,22847,1199,13588,699,388,137,13200,689,2871,364,491,191,2380,311,1727,245,336,107,1391,228,1150,203,598,154,552,150,44099,1282,75,74,44024,1284,27734,1247,7,66,27727,1247,9644,588,29,67,9615,589,3023,324,0,66,3023,324,1763,256,0,66,1763,256,1935,261,39,73,1896,260
7,Lincoln Park,55745,1327,1658,270,54087,1311,26934,1024,1624,268,25310,1007,14300,978,113,82,14187,975,7431,497,249,123,7182,489,2691,299,372,141,2319,271,1590,228,397,111,1193,212,922,205,493,165,429,123,28811,1012,34,57,28777,1013,15922,940,0,51,15922,940,7748,485,12,53,7736,485,2667,280,16,55,2651,278,1429,230,6,50,1423,230,1045,200,0,51,1045,200
8,Near North Side,74624,1577,3464,436,71160,1564,33961,1255,3294,422,30667,1243,14839,1083,117,88,14722,1089,9139,707,372,152,8767,700,4593,485,753,259,3840,421,3513,411,1013,237,2500,348,1877,278,1039,209,838,196,40663,1251,170,109,40493,1249,18323,1049,9,55,18314,1049,9839,718,71,80,9768,717,5560,531,35,65,5525,530,4004,408,0,54,4004,408,2937,371,55,84,2882,364
9,Edison Park,8869,402,748,192,8121,376,4116,299,730,191,3386,273,933,192,166,131,767,185,1833,264,101,65,1732,255,717,142,141,69,576,127,273,88,98,60,175,68,360,97,224,79,136,66,4753,286,18,35,4735,282,1134,222,0,25,1134,222,2010,184,0,25,2010,184,575,143,18,35,557,136,455,106,0,25,455,106,579,129,0,25,579,129
10,Norwood Park,29987,870,2337,299,27650,884,14213,606,2334,299,11879,618,3461,485,116,107,3345,484,5322,403,270,116,5052,397,2617,275,574,142,2043,258,1436,207,616,155,820,163,1377,211,758,151,619,164,15774,598,3,38,15771,598,3191,391,0,39,3191,391,5349,393,3,38,5346,393,2697,283,0,39,2697,283,1643,208,0,39,1643,208,2894,328,0,39,2894,328
