area_id,area_name,b22001001,b22001001_moe,b22001002,b22001002_moe,b22001003,b22001003_moe,b22001004,b22001004_moe,b22001005,b22001005_moe,b22001006,b22001006_moe,b22001007,b22001007_moe
1,Rogers Park,23981,550,4224,444,1283,243,2941,390,19757,598,3053,345,16704,595
2,West Ridge,24402,485,3912,445,1767,295,2145,363,20490,597,6858,501,13632,642
3,Uptown,29441,501,4903,473,1999,333,2904,358,24538,618,3899,418,20639,629
4,Lincoln Square,17622,376,1249,282,381,141,868,252,16373,433,3144,303,13229,439
5,North Center,14724,323,465,135,192,84,273,114,14259,333,2270,226,11989,375
6,Lake View,52568,659,1673,276,725,178,948,216,50895,695,6416,468,44479,726
7,Lincoln Park,32194,546,1155,240,465,139,690,204,31039,589,4948,371,26091,609
8,Near North Side,50758,883,2333,339,1075,229,1258,266,48425,894,11925,640,36500,966
9,Edison Park,4608,141,54,37,25,29,29,31,4554,148,1520,136,3034,174
10,Norwood Park,14646,262,633,181,241,87,392,162,14013,306,6299,320,7714,365
11,Jefferson Park,9943,274,541,164,169,85,372,138,9402,304,3501,322,5901,379
12,Forest Glen,6793,159,275,101,124,69,151,79,6518,190,2922,189,3596,218
13,North Park,6436,188,690,169,406,133,284,111,5746,232,2238,242,3508,265
14,Albany Park,16804,326,2800,374,959,216,1841,310,14004,449,2726,300,11278,469
15,Portage Park,22505,401,2731,379,836,202,1895,334,19774,510,6908,419,12866,552
16,Irving Park,20177,401,2190,327,537,151,1653,291,17987,476,4479,373,13508,511
17,Dunning,15141,266,842,185,323,111,519,144,14299,310,5730,323,8569,368
18,Montclare,4425,173,603,170,174,91,429,150,3822,227,1556,201,2266,260
19,Belmont Cragin,21570,412,3964,446,937,200,3027,405,17606,543,5119,373,12487,567
20,Hermosa,7070,219,1567,238,418,129,1149,223,5503,290,1592,256,3911,311
21,Avondale,13801,329,1684,300,457,158,1227,258,12117,404,2923,303,9194,433
22,Logan Square,29492,477,2853,311,893,167,1960,268,26639,531,4091,373,22548,576
