area_id,area_name,b22005d001,b22005d001_moe,b22005d002,b22005d002_moe,b22005d003,b22005d003_moe
1,Rogers Park,1289,265,298,141,991,229
2,West Ridge,4435,437,889,230,3546,403
3,Uptown,3327,387,737,210,2590,366
4,Lincoln Square,1607,275,75,68,1532,271
5,North Center,650,164,36,55,614,157
6,Lake View,3933,453,178,127,3755,441
7,Lincoln Park,1917,302,22,54,1895,301
8,Near North Side,5671,590,39,73,5632,589
9,Edison Park,74,53,0,25,74,53
10,Norwood Park,522,152,14,43,508,150
11,Jefferson Park,625,165,39,36,586,159
12,Forest Glen,653,116,41,37,612,122
13,North Park,1433,190,223,88,1210,190
14,Albany Park,2020,270,416,140,1604,255
15,Portage Park,758,173,55,59,703,170
16,Irving Park,1395,250,210,112,1185,231
17,Dunning,416,110,24,41,392,110
18,Montclare,137,81,45,56,92,61
19,Belmont Cragin,391,123,38,57,353,118
20,Hermosa,76,61,0,29,76,61
21,Avondale,455,144,8,39,447,143
22,Logan Square,1016,187,22,61,994,185
23,Humboldt Park,66,58,0,51,66,58
24,West Town,1620,257,15,63,1605,256
25,Austin,188,95,22,64,166,91
26,West Garfield Park,17,43,0,35,17,43
27,East Garfield Park,38,44,0,38,38,44
28,Near West Side,3662,348,45,55,3617,348
29,North Lawndale,7,43,0,43,7,43
30,South Lawndale,5,47,0,48,5,47
31,Lower West Side,207,89,56,62,151,74
32,Loop,2501,442,38,40,2463,445
33,Near South Side,1805,361,54,54,1751,359
34,Armour Square,3457,225,837,178,2620,242
35,Douglas,842,161,28,44,814,159
36,Oakland,4,17,0,19,4,17
37,Fuller Park,11,19,11,19,0,16
38,Grand Boulevard,26,47,0,43,26,47
39,Kenwood,511,147,0,31,511,147
40,Washington Park,9,28,0,27,9,28
41,Hyde Park,1202,211,16,39,1186,210
42,Woodlawn,150,73,7,37,143,73
43,South Shore,56,69,0,44,56,69
44,Chatham,11,42,0,37,11,42
45,Avalon Park,0,19,0,19,0,19
46,South Chicago,32,52,0,37,32,52
47,Burnside,0,11,0,11,0,11
48,Calumet Heights,14,31,0,27,14,31
49,Roseland,61,56,0,41,61,56
50,Pullman,7,20,0,19,7,20
51,South Deering,10,27,10,27,0,25
52,East Side,25,36,0,29,25,36
53,West Pullman,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16
55,Hegewisch,0,19,0,19,0,19
56,Garfield Ridge,169,82,40,61,129,65
57,Archer Heights,57,49,25,45,32,32
58,Brighton Park,733,136,83,53,650,135
59,McKinley Park,815,128,127,55,688,125
60,Bridgeport,3454,276,424,120,3030,270
61,New City,183,62,15,48,168,61
62,West Elsdon,109,50,19,35,90,45
63,Gage Park,148,66,20,39,128,62
64,Clearing,41,50,5,30,36,51
65,West Lawn,38,48,0,34,38,48
66,Chicago Lawn,126,86,24,62,102,76
67,West Englewood,41,65,26,61,15,52
68,Englewood,3,35,0,36,3,35
69,Greater Grand Crossing,8,39,0,38,8,39
70,Ashburn,21,41,10,41,11,41
71,Auburn Gresham,10,47,0,46,10,47
72,Beverly,16,32,0,29,16,32
73,Washington Heights,0,33,0,33,0,33
74,Mount Greenwood,17,34,0,25,17,34
75,Morgan Park,57,69,0,31,57,69
76,O'Hare,485,173,47,69,438,155
77,Edgewater,2952,368,222,118,2730,353
