area_id,area_name,b25037001,b25037001_moe,b25037002,b25037002_moe,b25037003,b25037003_moe
1,Rogers Park,1945,4,1942,16,1946,5
2,West Ridge,13680,13,13684,15,13664,31
3,Uptown,3913,24,3911,36,3910,22
4,Lincoln Square,3908,3,3909,4,3910,4
5,North Center,1952,15,1960,23,1946,17
6,Lake View,31389,49,31580,147,31355,46
7,Lincoln Park,27609,36,27740,45,27460,73
8,Near North Side,39613,18,39676,58,39564,39
9,Edison Park,5853,7,5851,7,5874,18
10,Norwood Park,11722,5,11721,6,11733,20
11,Jefferson Park,7813,14,7817,15,7810,17
12,Forest Glen,5860,4,5859,3,5896,30
13,North Park,5900,5,5897,5,5896,42
15,Portage Park,7793,9,7783,14,7817,19
17,Dunning,17622,9,17617,10,17668,30
18,Montclare,1953,3,1949,4,1961,7
19,Belmont Cragin,9764,36,9749,44,9767,44
22,Logan Square,1976,47,1994,4,1944,18
24,West Town,13857,49,13923,50,13712,47
25,Austin,1950,4,1948,4,1958,13
26,West Garfield Park,1943,5,1957,78,1942,5
28,Near West Side,25793,43,25788,143,25800,57
29,North Lawndale,3923,27,3900,30,3928,22
32,Loop,5962,15,5952,58,5982,27
33,Near South Side,5991,34,5972,38,5972,18
34,Armour Square,3950,17,3966,11,3939,15
35,Douglas,9863,21,9842,56,9872,92
36,Oakland,5956,31,5947,37,5946,40
37,Fuller Park,1961,5,1956,10,1962,4
38,Grand Boulevard,9839,28,9786,101,9840,24
39,Kenwood,9788,26,9807,26,9796,27
40,Washington Park,3917,14,3895,19,3919,18
41,Hyde Park,1952,4,1955,6,1950,10
42,Woodlawn,5879,14,5906,72,5876,14
43,South Shore,3900,7,3898,10,3901,9
44,Chatham,9756,12,9744,18,9760,16
45,Avalon Park,3889,7,3890,6,3886,16
46,South Chicago,3896,6,3892,6,3904,6
47,Burnside,1951,9,1948,7,1967,57
48,Calumet Heights,9765,5,9768,5,9767,24
49,Roseland,15603,10,15616,15,15599,19
50,Pullman,3903,8,3897,9,3907,11
51,South Deering,3909,4,3909,5,3910,9
52,East Side,1955,3,1954,4,1958,7
53,West Pullman,13688,14,13687,14,13693,46
54,Riverdale,3903,9,3907,25,3902,9
55,Hegewisch,3916,5,3917,4,3894,31
56,Garfield Ridge,15659,9,15661,12,15666,64
57,Archer Heights,7812,13,7811,13,7824,26
61,New City,1943,14,1951,23,1942,14
62,West Elsdon,5876,5,5866,5,5898,9
64,Clearing,11761,9,11757,10,11778,45
65,West Lawn,11736,7,11724,8,11790,14
66,Chicago Lawn,13651,10,13652,13,13650,18
67,West Englewood,1949,30,1945,23,1963,46
68,Englewood,1951,7,1944,10,1954,5
69,Greater Grand Crossing,5844,19,5836,15,5849,50
70,Ashburn,15666,7,15663,6,15688,38
71,Auburn Gresham,9762,22,9770,41,9751,33
72,Beverly,3903,3,3903,2,3902,8
73,Washington Heights,13651,10,13649,11,13666,52
74,Mount Greenwood,3908,3,3906,3,3940,59
75,Morgan Park,7813,12,7813,14,7821,16
76,O'Hare,7887,8,7903,14,7870,75
77,Edgewater,15692,17,15717,31,15668,22
