area_id,area_name,b99201001,b99201001_moe,b99201002,b99201002_moe,b99201003,b99201003_moe,b99201004,b99201004_moe,b99201005,b99201005_moe,b99201006,b99201006_moe,b99201007,b99201007_moe,b99201008,b99201008_moe
1,Rogers Park,47141,-1,38567,-1,953,-1,0,-1,0,-1,0,-1,0,-1,7621,-1
2,West Ridge,56255,-1,45855,-1,1555,-1,0,-1,0,-1,0,-1,31,-1,8814,-1
3,Uptown,48942,-1,42289,-1,1038,-1,0,-1,0,-1,0,-1,0,-1,5615,-1
4,Lincoln Square,32805,-1,27958,-1,554,-1,0,-1,0,-1,0,-1,44,-1,4249,-1
5,North Center,27490,-1,24491,-1,272,-1,0,-1,0,-1,0,-1,31,-1,2696,-1
6,Lake View,87172,-1,75018,-1,719,-1,0,-1,0,-1,0,-1,28,-1,11407,-1
7,Lincoln Park,56260,-1,47430,-1,957,-1,0,-1,0,-1,0,-1,12,-1,7861,-1
8,Near North Side,74967,-1,63462,-1,1298,-1,0,-1,0,-1,0,-1,0,-1,10207,-1
9,Edison Park,9143,-1,7117,-1,127,-1,0,-1,0,-1,0,-1,0,-1,1899,-1
10,Norwood Park,30529,-1,24626,-1,893,-1,0,-1,0,-1,0,-1,0,-1,5010,-1
11,Jefferson Park,21485,-1,16347,-1,496,-1,0,-1,0,-1,0,-1,8,-1,4634,-1
12,Forest Glen,14512,-1,11709,-1,366,-1,0,-1,0,-1,0,-1,25,-1,2412,-1
13,North Park,15132,-1,11822,-1,493,-1,0,-1,0,-1,0,-1,9,-1,2808,-1
14,Albany Park,41969,-1,30838,-1,790,-1,0,-1,0,-1,0,-1,0,-1,10341,-1
15,Portage Park,50617,-1,37379,-1,966,-1,0,-1,0,-1,0,-1,20,-1,12252,-1
16,Irving Park,44477,-1,35504,-1,986,-1,0,-1,0,-1,0,-1,8,-1,7979,-1
17,Dunning,35366,-1,27303,-1,838,-1,0,-1,0,-1,0,-1,0,-1,7225,-1
18,Montclare,9753,-1,7135,-1,290,-1,0,-1,0,-1,0,-1,0,-1,2328,-1
19,Belmont Cragin,57340,-1,43813,-1,1171,-1,0,-1,0,-1,0,-1,5,-1,12351,-1
20,Hermosa,18641,-1,14493,-1,287,-1,0,-1,0,-1,0,-1,0,-1,3861,-1
21,Avondale,32859,-1,26666,-1,325,-1,0,-1,0,-1,0,-1,0,-1,5868,-1
22,Logan Square,60603,-1,51606,-1,740,-1,0,-1,0,-1,0,-1,0,-1,8257,-1
23,Humboldt Park,40301,-1,29746,-1,1625,-1,0,-1,0,-1,0,-1,5,-1,8925,-1
24,West Town,72135,-1,59165,-1,1117,-1,0,-1,0,-1,0,-1,0,-1,11853,-1
25,Austin,74967,-1,55050,-1,3202,-1,0,-1,0,-1,0,-1,22,-1,16693,-1
26,West Garfield Park,13454,-1,9567,-1,807,-1,0,-1,0,-1,0,-1,0,-1,3080,-1
27,East Garfield Park,14871,-1,10728,-1,709,-1,0,-1,0,-1,0,-1,0,-1,3434,-1
28,Near West Side,46974,-1,37397,-1,1420,-1,0,-1,0,-1,0,-1,16,-1,8141,-1
29,North Lawndale,25441,-1,18599,-1,1044,-1,0,-1,0,-1,0,-1,0,-1,5798,-1
30,South Lawndale,52898,-1,37554,-1,6665,-1,0,-1,0,-1,0,-1,0,-1,8679,-1
31,Lower West Side,28268,-1,24766,-1,391,-1,0,-1,0,-1,0,-1,12,-1,3099,-1
32,Loop,24854,-1,20782,-1,449,-1,0,-1,0,-1,0,-1,21,-1,3602,-1
33,Near South Side,17809,-1,14807,-1,291,-1,0,-1,0,-1,0,-1,0,-1,2711,-1
34,Armour Square,11651,-1,9856,-1,456,-1,0,-1,0,-1,0,-1,0,-1,1339,-1
35,Douglas,16342,-1,13460,-1,745,-1,0,-1,0,-1,0,-1,0,-1,2137,-1
36,Oakland,4540,-1,3488,-1,375,-1,0,-1,0,-1,0,-1,0,-1,677,-1
37,Fuller Park,2268,-1,1747,-1,177,-1,0,-1,0,-1,0,-1,0,-1,344,-1
38,Grand Boulevard,17427,-1,13356,-1,823,-1,0,-1,0,-1,0,-1,0,-1,3248,-1
39,Kenwood,14800,-1,12298,-1,619,-1,0,-1,0,-1,0,-1,0,-1,1883,-1
40,Washington Park,7803,-1,6081,-1,384,-1,0,-1,0,-1,0,-1,0,-1,1338,-1
41,Hyde Park,23380,-1,20295,-1,519,-1,0,-1,0,-1,0,-1,0,-1,2566,-1
42,Woodlawn,19241,-1,14782,-1,1040,-1,0,-1,0,-1,0,-1,0,-1,3419,-1
43,South Shore,37930,-1,29314,-1,1483,-1,0,-1,0,-1,0,-1,0,-1,7133,-1
44,Chatham,25950,-1,19336,-1,1511,-1,0,-1,0,-1,0,-1,0,-1,5103,-1
45,Avalon Park,7933,-1,6222,-1,300,-1,0,-1,0,-1,0,-1,0,-1,1411,-1
46,South Chicago,21969,-1,16742,-1,993,-1,0,-1,0,-1,0,-1,0,-1,4234,-1
47,Burnside,2613,-1,2129,-1,135,-1,0,-1,0,-1,0,-1,0,-1,349,-1
48,Calumet Heights,11740,-1,9197,-1,663,-1,0,-1,0,-1,0,-1,0,-1,1880,-1
49,Roseland,36034,-1,27101,-1,1893,-1,0,-1,0,-1,0,-1,0,-1,7040,-1
50,Pullman,5749,-1,4426,-1,243,-1,0,-1,0,-1,0,-1,0,-1,1080,-1
51,South Deering,12586,-1,9571,-1,548,-1,0,-1,0,-1,0,-1,0,-1,2467,-1
52,East Side,16750,-1,13115,-1,628,-1,0,-1,0,-1,0,-1,0,-1,3007,-1
53,West Pullman,22937,-1,16541,-1,1479,-1,0,-1,0,-1,0,-1,0,-1,4917,-1
54,Riverdale,4070,-1,3060,-1,238,-1,0,-1,0,-1,0,-1,0,-1,772,-1
55,Hegewisch,7535,-1,6021,-1,333,-1,0,-1,0,-1,0,-1,0,-1,1181,-1
56,Garfield Ridge,26939,-1,22774,-1,1040,-1,0,-1,0,-1,0,-1,0,-1,3125,-1
57,Archer Heights,9775,-1,8441,-1,259,-1,0,-1,0,-1,0,-1,0,-1,1075,-1
58,Brighton Park,31346,-1,25810,-1,964,-1,0,-1,0,-1,0,-1,0,-1,4572,-1
59,McKinley Park,12322,-1,10673,-1,328,-1,0,-1,0,-1,0,-1,0,-1,1321,-1
60,Bridgeport,26557,-1,22996,-1,629,-1,0,-1,0,-1,0,-1,0,-1,2932,-1
61,New City,29856,-1,24340,-1,937,-1,0,-1,0,-1,0,-1,0,-1,4579,-1
62,West Elsdon,14088,-1,11604,-1,395,-1,0,-1,0,-1,0,-1,0,-1,2089,-1
63,Gage Park,27915,-1,23278,-1,535,-1,0,-1,0,-1,0,-1,0,-1,4102,-1
64,Clearing,17681,-1,15464,-1,456,-1,0,-1,0,-1,0,-1,0,-1,1761,-1
65,West Lawn,23746,-1,19944,-1,631,-1,0,-1,0,-1,0,-1,0,-1,3171,-1
66,Chicago Lawn,38442,-1,31493,-1,1149,-1,0,-1,0,-1,0,-1,0,-1,5800,-1
67,West Englewood,26689,-1,21975,-1,1350,-1,0,-1,0,-1,0,-1,0,-1,3364,-1
68,Englewood,21231,-1,16648,-1,1197,-1,0,-1,0,-1,0,-1,0,-1,3386,-1
69,Greater Grand Crossing,25053,-1,18226,-1,1285,-1,0,-1,0,-1,0,-1,0,-1,5542,-1
