area_id,area_name,c15002c001,c15002c001_moe,c15002c002,c15002c002_moe,c15002c003,c15002c003_moe,c15002c004,c15002c004_moe,c15002c005,c15002c005_moe,c15002c006,c15002c006_moe,c15002c007,c15002c007_moe,c15002c008,c15002c008_moe,c15002c009,c15002c009_moe,c15002c010,c15002c010_moe,c15002c011,c15002c011_moe
1,Rogers Park,75,83,28,65,12,49,0,48,0,48,16,52,47,54,14,48,8,48,0,48,25,54
2,West Ridge,161,134,64,75,0,51,26,66,29,61,9,53,97,93,22,62,32,66,43,76,0,51
3,Uptown,211,119,163,110,55,68,28,62,21,54,59,72,48,61,11,48,0,48,13,49,24,59
4,Lincoln Square,212,169,36,52,0,40,25,52,4,39,7,40,176,152,55,83,14,44,44,60,63,74
5,North Center,81,70,68,68,0,43,6,43,30,63,32,49,13,46,0,43,13,46,0,43,0,43
6,Lake View,186,162,155,159,0,66,0,66,129,155,26,76,31,69,15,69,0,66,0,66,16,66
7,Lincoln Park,108,88,50,71,6,51,0,51,30,67,14,54,58,66,0,51,5,50,0,51,53,65
8,Near North Side,203,156,22,60,0,54,0,54,22,60,0,54,181,153,23,64,0,54,97,134,61,86
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,37,71,15,47,0,39,15,47,0,39,0,39,22,47,0,39,0,39,15,46,7,39
11,Jefferson Park,47,52,27,45,0,29,27,45,0,29,0,29,20,39,0,29,0,29,20,39,0,29
12,Forest Glen,21,40,21,40,0,29,0,29,21,40,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,27,33,15,34,0,27,0,27,15,34,0,27,12,22,3,23,9,26,0,27,0,27
14,Albany Park,113,96,71,65,23,49,0,45,24,48,24,47,42,61,0,45,0,45,28,51,14,47
15,Portage Park,110,96,65,72,13,49,10,47,42,59,0,47,45,54,12,49,0,47,5,47,28,50
16,Irving Park,136,131,75,85,0,47,25,56,49,79,1,46,61,86,0,47,0,47,49,84,12,50
17,Dunning,37,51,22,47,0,40,0,40,22,47,0,40,15,44,0,40,0,40,15,44,0,40
18,Montclare,1,16,1,16,0,23,0,23,0,23,1,16,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,83,73,42,54,20,54,22,51,0,52,0,52,41,59,27,57,0,52,6,51,8,53
20,Hermosa,33,49,11,33,11,33,0,29,0,29,0,29,22,37,22,37,0,29,0,29,0,29
21,Avondale,165,123,70,83,0,38,0,38,70,83,0,38,95,82,39,58,38,59,9,40,9,40
22,Logan Square,119,112,80,82,0,57,40,74,20,60,20,65,39,71,28,71,3,56,8,58,0,57
23,Humboldt Park,168,159,114,111,51,74,36,63,27,63,0,51,54,74,54,74,0,51,0,51,0,51
24,West Town,184,97,92,77,39,69,11,64,10,65,32,68,92,81,7,63,32,73,50,72,3,62
25,Austin,65,92,33,74,25,73,0,61,8,62,0,61,32,66,6,60,19,67,7,60,0,61
26,West Garfield Park,14,45,0,35,0,35,0,35,0,35,0,35,14,45,14,45,0,35,0,35,0,35
27,East Garfield Park,13,43,0,38,0,38,0,38,0,38,0,38,13,43,0,38,13,43,0,38,0,38
28,Near West Side,120,102,84,86,10,55,10,55,4,51,60,77,36,57,0,52,10,55,11,51,15,54
29,North Lawndale,3,42,0,43,0,43,0,43,0,43,0,43,3,42,0,43,0,43,0,43,3,42
30,South Lawndale,191,107,101,65,49,51,42,61,10,46,0,48,90,66,23,50,16,49,41,55,10,50
31,Lower West Side,74,55,40,46,24,43,9,42,0,42,7,42,34,41,31,42,0,42,0,42,3,41
32,Loop,17,30,17,30,0,30,0,30,7,30,10,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,53,62,40,48,0,24,0,24,0,24,40,48,13,27,0,24,0,24,0,24,13,27
34,Armour Square,5,26,0,27,0,27,0,27,0,27,0,27,5,26,0,27,0,27,5,26,0,27
35,Douglas,7,35,7,35,0,35,0,35,0,35,7,35,0,35,0,35,0,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
