area_id,area_name,c18131001,c18131001_moe,c18131002,c18131002_moe,c18131003,c18131003_moe,c18131004,c18131004_moe,c18131005,c18131005_moe,c18131006,c18131006_moe,c18131007,c18131007_moe,c18131008,c18131008_moe,c18131009,c18131009_moe,c18131010,c18131010_moe,c18131011,c18131011_moe,c18131012,c18131012_moe,c18131013,c18131013_moe,c18131014,c18131014_moe,c18131015,c18131015_moe,c18131016,c18131016_moe
1,Rogers Park,55070,2108,6259,1129,761,286,5498,1077,8574,1251,1188,301,7386,1195,6697,1116,756,280,5941,1060,4996,936,477,215,4519,882,28544,1561,1483,278,27061,1522
2,West Ridge,72693,2583,5177,1257,475,212,4702,1205,9307,1732,1233,300,8074,1672,9809,1723,1153,284,8656,1648,8251,1418,649,187,7602,1383,40149,2133,3773,494,36376,2065
3,Uptown,53569,1703,5424,837,990,282,4434,779,8059,1045,2281,399,5778,951,4693,711,766,225,3927,650,3815,900,274,117,3541,883,31578,1455,1484,321,30094,1431
4,Lincoln Square,38116,1327,2571,767,506,236,2065,684,2062,567,410,161,1652,485,3497,764,369,183,3128,705,3122,729,445,184,2677,673,26864,1235,1352,284,25512,1216
5,North Center,33372,1094,1021,286,113,81,908,259,1104,287,278,153,826,240,1121,293,177,94,944,276,1595,452,279,152,1316,417,28531,1074,1088,202,27443,1064
6,Lake View,96324,1728,6241,765,533,180,5708,741,5015,617,804,210,4211,558,4364,727,596,189,3768,671,5108,595,682,189,4426,545,75596,1773,3004,402,72592,1725
7,Lincoln Park,61618,1651,4380,607,360,144,4020,589,3149,482,693,171,2456,454,1975,363,389,147,1586,335,2567,444,270,117,2297,433,49547,1648,1448,311,48099,1547
8,Near North Side,78942,1806,6744,974,518,219,6226,953,3933,597,717,230,3216,560,2989,522,671,206,2318,492,2462,553,262,121,2200,518,62814,1774,3137,423,59677,1786
9,Edison Park,11135,498,104,94,26,30,78,91,226,131,48,37,178,114,348,143,110,58,238,128,817,381,116,93,701,318,9640,514,840,198,8800,509
10,Norwood Park,36905,1214,839,281,252,122,587,260,1099,390,212,113,887,354,1893,612,427,145,1466,568,2189,530,635,173,1554,491,30885,1407,2816,384,28069,1398
11,Jefferson Park,26671,1234,529,252,102,83,427,236,1342,397,201,97,1141,362,2467,624,347,141,2120,579,2064,478,279,112,1785,439,20269,1380,1643,273,18626,1348
12,Forest Glen,18542,646,647,310,141,112,506,271,620,243,111,75,509,220,870,327,124,71,746,310,988,494,66,54,922,490,15417,828,1455,291,13962,790
13,North Park,18260,1001,945,396,177,113,768,382,1329,399,251,144,1078,376,1723,463,358,175,1365,444,2126,645,393,188,1733,552,12137,1029,811,192,11326,1005
