area_id,area_name,b03001001,b03001001_moe,b03001002,b03001002_moe,b03001003,b03001003_moe,b03001004,b03001004_moe,b03001005,b03001005_moe,b03001006,b03001006_moe,b03001007,b03001007_moe,b03001008,b03001008_moe,b03001009,b03001009_moe,b03001010,b03001010_moe,b03001011,b03001011_moe,b03001012,b03001012_moe,b03001013,b03001013_moe,b03001014,b03001014_moe,b03001015,b03001015_moe,b03001016,b03001016_moe,b03001017,b03001017_moe,b03001018,b03001018_moe,b03001019,b03001019_moe,b03001020,b03001020_moe,b03001021,b03001021_moe,b03001022,b03001022_moe,b03001023,b03001023_moe,b03001024,b03001024_moe,b03001025,b03001025_moe,b03001026,b03001026_moe,b03001027,b03001027_moe,b03001028,b03001028_moe,b03001029,b03001029_moe,b03001030,b03001030_moe,b03001031,b03001031_moe
1,Rogers Park,57559,2198,43279,1874,14280,1604,11606,1557,708,227,344,178,55,73,581,218,8,48,249,126,8,47,9,48,0,48,299,189,8,47,717,388,16,55,17,54,43,67,196,174,292,318,0,48,91,83,0,48,52,61,10,50,269,154,21,58,17,52,0,48,231,148
2,West Ridge,73705,2596,58445,2363,15260,2093,10102,1949,1561,613,486,291,0,51,1054,423,42,68,708,386,66,82,36,64,0,51,190,142,12,52,1500,662,57,86,0,51,54,72,623,392,542,445,0,51,200,263,24,62,0,51,0,51,557,244,19,54,23,62,0,51,515,241
3,Uptown,54995,1710,47985,1606,7010,1028,4039,844,1199,328,331,214,31,55,402,194,12,49,312,184,32,56,17,55,0,48,29,61,0,48,609,286,36,73,0,48,63,89,187,127,278,244,0,48,27,52,0,48,18,54,0,48,399,208,133,139,54,78,0,48,212,148
4,Lincoln Square,38622,1335,31139,1264,7483,1192,4391,1066,686,244,210,195,35,57,692,306,9,41,320,231,174,122,12,43,85,134,64,97,28,58,1080,383,247,210,0,40,34,56,365,256,250,174,0,40,121,107,0,40,4,39,59,103,389,230,157,156,87,91,0,40,145,128
5,North Center,33418,1097,29042,1060,4376,706,2375,564,733,231,313,186,21,53,381,284,12,46,228,238,41,69,14,47,2,40,23,48,61,98,475,226,73,75,7,43,0,43,97,106,187,161,0,43,54,97,0,43,50,70,7,42,78,73,14,46,0,43,0,43,64,71
6,Lake View,96539,1732,89271,1752,7268,773,3800,585,1183,311,411,142,120,117,329,127,59,75,115,85,0,66,8,66,41,74,106,108,0,66,1150,319,140,104,14,69,70,92,375,184,323,216,52,96,87,86,0,66,75,101,14,68,275,141,208,135,30,72,0,66,37,70
7,Lincoln Park,64631,1722,60393,1666,4238,663,2044,477,799,269,437,181,4,50,105,78,26,65,68,63,0,51,0,51,11,52,0,51,0,51,577,282,105,90,0,51,20,56,128,77,96,87,0,51,199,255,11,52,18,53,0,51,272,133,131,105,62,75,0,51,79,75
8,Near North Side,80516,1818,76025,1755,4491,765,2054,566,568,299,239,148,13,58,200,124,11,55,88,95,54,83,0,54,0,54,47,74,0,54,1180,478,190,174,0,54,160,155,237,145,516,393,0,54,23,58,24,67,30,61,0,54,237,124,64,68,81,96,0,54,92,86
9,Edison Park,11135,498,10635,545,500,208,123,96,99,63,115,104,0,25,5,24,0,25,5,24,0,25,0,25,0,25,0,25,0,25,146,140,0,25,0,25,0,25,55,71,69,118,0,25,22,39,0,25,0,25,0,25,12,27,0,25,0,25,0,25,12,27
10,Norwood Park,37429,1230,32494,1052,4935,857,2197,579,1206,459,111,131,0,39,324,287,0,39,67,109,0,39,88,138,0,39,169,247,0,39,881,421,16,43,18,46,0,39,489,374,267,186,0,39,91,81,0,39,0,39,0,39,216,141,84,94,0,39,0,39,132,118
11,Jefferson Park,26771,1244,21428,1199,5343,842,3052,777,1038,422,226,171,0,29,478,275,0,29,273,180,6,29,0,29,0,29,199,211,0,29,363,219,0,29,9,31,0,29,90,91,168,135,0,29,9,31,0,29,0,29,87,140,186,125,42,58,59,97,0,29,85,76
12,Forest Glen,18542,646,16134,699,2408,518,1251,419,380,200,14,35,11,31,149,107,0,29,56,60,47,83,0,29,0,29,46,72,0,29,603,305,15,29,0,29,36,61,142,192,224,209,0,29,186,161,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,18739,1008,15311,957,3428,784,1742,579,272,140,245,170,0,27,475,260,56,82,193,193,45,73,81,84,0,27,100,101,0,27,665,416,30,53,0,27,23,44,214,167,194,158,0,27,204,333,0,27,0,27,0,27,29,32,0,27,7,27,0,27,22,32
14,Albany Park,53897,2062,25640,1405,28257,2131,17412,1853,2041,627,286,168,338,487,3602,978,19,50,3090,942,214,208,49,70,86,150,144,114,0,45,4216,1083,15,43,128,183,30,57,474,283,2988,974,0,45,559,328,0,45,22,57,0,45,362,182,39,51,30,49,0,45,293,179
