area_id,area_name,b04001001,b04001001_moe,b04001002,b04001002_moe,b04001003,b04001003_moe,b04001004,b04001004_moe,b04001005,b04001005_moe,b04001006,b04001006_moe,b04001007,b04001007_moe,b04001008,b04001008_moe,b04001009,b04001009_moe,b04001010,b04001010_moe,b04001011,b04001011_moe,b04001012,b04001012_moe,b04001013,b04001013_moe,b04001014,b04001014_moe,b04001015,b04001015_moe,b04001016,b04001016_moe,b04001017,b04001017_moe,b04001018,b04001018_moe,b04001019,b04001019_moe,b04001020,b04001020_moe,b04001021,b04001021_moe,b04001022,b04001022_moe,b04001023,b04001023_moe,b04001024,b04001024_moe,b04001025,b04001025_moe,b04001026,b04001026_moe,b04001027,b04001027_moe,b04001028,b04001028_moe,b04001029,b04001029_moe,b04001030,b04001030_moe,b04001031,b04001031_moe,b04001032,b04001032_moe,b04001033,b04001033_moe,b04001034,b04001034_moe,b04001035,b04001035_moe,b04001036,b04001036_moe,b04001037,b04001037_moe,b04001038,b04001038_moe,b04001039,b04001039_moe,b04001040,b04001040_moe,b04001041,b04001041_moe,b04001042,b04001042_moe,b04001043,b04001043_moe,b04001044,b04001044_moe,b04001045,b04001045_moe,b04001046,b04001046_moe,b04001047,b04001047_moe,b04001048,b04001048_moe,b04001049,b04001049_moe,b04001050,b04001050_moe,b04001051,b04001051_moe,b04001052,b04001052_moe,b04001053,b04001053_moe,b04001054,b04001054_moe,b04001055,b04001055_moe,b04001056,b04001056_moe,b04001057,b04001057_moe,b04001058,b04001058_moe,b04001059,b04001059_moe,b04001060,b04001060_moe,b04001061,b04001061_moe,b04001062,b04001062_moe,b04001063,b04001063_moe,b04001064,b04001064_moe,b04001065,b04001065_moe,b04001066,b04001066_moe,b04001067,b04001067_moe,b04001068,b04001068_moe,b04001069,b04001069_moe,b04001070,b04001070_moe,b04001071,b04001071_moe,b04001072,b04001072_moe,b04001073,b04001073_moe,b04001074,b04001074_moe,b04001075,b04001075_moe,b04001076,b04001076_moe,b04001077,b04001077_moe,b04001078,b04001078_moe,b04001079,b04001079_moe,b04001080,b04001080_moe,b04001081,b04001081_moe,b04001082,b04001082_moe,b04001083,b04001083_moe,b04001084,b04001084_moe,b04001085,b04001085_moe,b04001086,b04001086_moe,b04001087,b04001087_moe,b04001088,b04001088_moe,b04001089,b04001089_moe,b04001090,b04001090_moe,b04001091,b04001091_moe,b04001092,b04001092_moe,b04001093,b04001093_moe,b04001094,b04001094_moe,b04001095,b04001095_moe,b04001096,b04001096_moe,b04001097,b04001097_moe,b04001098,b04001098_moe,b04001099,b04001099_moe,b04001100,b04001100_moe,b04001101,b04001101_moe,b04001102,b04001102_moe,b04001103,b04001103_moe,b04001104,b04001104_moe,b04001105,b04001105_moe,b04001106,b04001106_moe,b04001107,b04001107_moe,b04001108,b04001108_moe,b04001109,b04001109_moe
1,Rogers Park,57559,2198,0,48,19,55,0,48,937,285,667,370,0,48,198,186,0,48,47,70,27,64,13,49,0,48,234,252,148,147,80,88,18,49,0,48,91,98,0,48,29,55,68,79,185,117,14,47,0,48,47,71,0,48,4,45,25,55,0,48,175,105,43,75,35,55,390,181,139,79,1344,291,0,48,392,153,118,110,482,178,119,107,3274,411,0,48,323,161,0,48,96,75,0,48,41,61,3834,566,0,48,1543,292,43,57,114,79,0,48,45,74,0,48,0,48,0,48,348,171,0,48,1629,296,28,68,313,140,537,162,57,68,198,83,349,129,32,56,44,81,40,58,27,55,15,54,3020,603,0,48,177,147,375,244,38,56,0,48,728,358,56,100,0,48,0,48,6,47,0,48,0,48,0,48,1581,451,59,82,690,220,50,61,26,61,359,200,85,73,1780,559,33,65,0,48,458,224,13,49,0,48,0,48,413,262,573,336,220,295,0,48,70,105,0,48,71,83,29663,2158,3464,560
2,West Ridge,73705,2596,0,51,291,243,0,51,2212,495,2842,905,12,52,1075,420,26,64,190,186,210,174,14,54,256,238,737,616,322,341,91,89,1577,589,3,51,130,106,0,51,16,57,193,238,18,57,332,287,0,51,100,95,0,51,0,51,146,117,0,51,137,88,55,69,66,65,162,106,610,425,506,152,16,55,1017,446,54,75,193,124,25,54,2642,450,27,66,903,329,0,51,153,94,0,51,58,76,2366,466,311,254,1308,419,41,64,121,88,37,55,56,72,0,51,0,51,0,51,128,94,0,51,2437,698,0,51,762,280,1548,383,3,49,74,85,98,73,191,144,49,84,0,51,8,52,0,51,2800,815,0,51,427,370,15,56,70,119,0,51,417,301,0,51,11,54,345,358,48,74,144,170,14,55,0,51,1183,523,126,142,399,139,35,55,88,102,337,145,32,63,1051,485,0,51,43,77,45,71,0,51,0,51,0,51,499,391,367,255,87,114,0,51,10,53,0,51,1821,526,39149,2855,3880,706
3,Uptown,54995,1710,0,48,0,48,0,48,854,261,297,148,113,129,32,57,0,48,42,56,21,51,0,48,4,47,38,65,47,64,31,59,0,48,13,51,75,55,11,49,28,52,28,55,300,145,34,61,0,48,73,71,0,48,14,50,16,49,0,48,220,100,0,48,208,104,440,162,405,258,1508,268,0,48,657,189,57,61,767,333,203,91,4677,526,0,48,468,168,16,53,76,66,0,48,133,135,5030,691,147,221,1803,307,10,48,85,57,0,48,14,50,0,48,0,48,69,80,358,121,0,48,2428,532,73,73,474,240,1033,335,160,96,211,102,397,132,207,157,13,50,118,81,23,51,0,48,2685,710,0,48,535,320,270,235,23,59,71,90,622,350,0,48,0,48,0,48,0,48,3,45,0,48,0,48,1049,514,112,104,463,142,86,71,29,52,267,130,120,80,199,134,0,48,0,48,15,47,0,48,20,55,0,48,26,59,138,125,0,48,0,48,0,48,0,48,328,192,22956,1576,3600,558
4,Lincoln Square,38622,1335,0,40,10,41,0,40,755,246,413,323,24,55,253,303,0,40,41,64,26,57,0,40,0,40,43,80,26,48,86,111,334,172,12,41,69,61,0,40,49,62,58,88,73,50,541,308,8,41,55,55,0,40,0,40,95,71,11,41,232,114,18,48,43,47,167,94,138,109,1172,303,13,44,668,233,74,68,252,93,46,48,4178,466,0,40,1284,408,0,40,489,393,0,40,0,40,3436,439,0,40,1864,291,28,45,172,98,8,40,76,82,0,40,0,40,20,52,338,115,13,42,1772,309,10,41,500,251,517,165,77,55,65,57,397,143,186,129,8,41,109,87,21,42,0,40,267,161,0,40,45,69,73,120,0,40,0,40,27,60,0,40,0,40,10,41,6,39,0,40,0,40,0,40,83,81,23,53,542,201,132,117,39,57,173,104,58,71,24,54,0,40,0,40,0,40,0,40,0,40,0,40,24,54,0,40,0,40,0,40,0,40,0,40,458,300,13779,1404,2190,435
5,North Center,33418,1097,0,43,0,43,0,43,834,232,51,53,7,43,0,43,9,44,9,44,0,43,0,43,0,43,4,42,22,50,51,48,24,47,61,76,65,83,0,43,82,67,63,74,60,62,0,43,0,43,80,78,0,43,0,43,108,72,0,43,171,103,34,45,89,81,163,79,109,64,1072,244,56,95,1003,337,62,53,272,108,68,66,5066,536,0,43,350,163,0,43,140,85,37,71,102,112,5114,633,18,45,2670,438,51,70,151,84,7,43,0,43,0,43,0,43,61,68,284,127,8,43,2228,383,32,63,114,81,644,212,69,96,139,81,293,127,94,64,21,48,30,51,7,43,0,43,10,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,6,43,0,43,0,43,0,43,4,43,0,43,547,154,120,98,12,45,88,60,59,54,12,45,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,12,45,0,43,0,43,0,43,32,55,8148,803,2082,422
6,Lake View,96539,1732,0,66,106,111,8,67,1827,320,523,232,39,79,0,66,11,68,169,116,0,66,57,90,33,68,16,67,198,201,84,84,77,91,12,69,301,132,14,68,132,84,71,74,505,166,106,94,21,74,158,102,0,66,0,66,171,92,39,91,467,152,97,100,406,159,1075,240,862,247,4489,584,20,72,2181,420,231,131,1194,278,413,160,13514,824,0,66,1154,285,19,71,469,149,0,66,121,133,13553,970,128,126,6260,569,345,215,452,203,55,78,77,134,21,69,56,90,252,149,1019,236,7,66,5660,592,81,90,286,131,2265,369,80,76,658,174,944,203,298,112,61,80,165,112,79,82,0,66,1144,364,0,66,84,109,381,243,0,66,0,66,81,93,0,66,0,66,0,66,51,112,0,66,21,75,0,66,526,267,0,66,1408,257,136,97,117,72,564,196,355,151,274,193,0,66,0,66,49,97,0,66,0,66,0,66,78,102,127,161,8,66,0,66,12,66,0,66,120,100,20833,1305,7919,868
7,Lincoln Park,64631,1722,0,51,0,51,0,51,1475,317,413,185,15,52,0,51,0,51,86,92,23,60,31,57,118,114,33,58,107,106,43,55,146,129,41,59,299,166,0,51,17,50,33,62,559,186,12,51,0,51,198,86,11,51,12,54,101,71,0,51,347,111,175,135,200,85,745,220,1044,334,3889,840,0,51,868,261,100,86,1351,376,161,91,6931,648,0,51,788,226,0,51,593,241,12,52,199,95,8746,712,205,209,4391,519,64,83,432,127,13,53,77,76,0,51,0,51,282,134,655,195,8,53,3901,461,95,78,272,144,1976,360,104,81,499,181,870,200,223,152,8,51,197,118,32,54,0,51,360,175,0,51,7,51,76,125,42,82,0,51,49,72,0,51,0,51,0,51,16,51,0,51,0,51,0,51,170,102,0,51,1091,243,146,72,93,88,265,122,293,125,23,53,0,51,0,51,0,51,0,51,0,51,1,49,4,50,18,53,0,51,0,51,0,51,0,51,128,96,13064,1035,5355,681
8,Near North Side,80516,1818,0,54,67,99,24,58,2249,431,922,338,112,100,0,54,0,54,456,252,0,54,54,87,84,86,146,159,70,72,126,102,168,136,119,134,392,155,44,64,105,85,211,151,444,163,89,90,0,54,272,126,0,54,0,54,431,302,10,56,722,304,0,54,265,171,898,349,1092,351,3280,454,0,54,1432,341,86,94,1056,243,153,100,7905,744,0,54,977,280,0,54,646,283,0,54,327,172,6909,684,108,100,4686,592,40,61,559,222,13,57,41,65,18,62,58,88,252,166,691,240,0,54,4132,561,50,64,311,158,3172,467,220,120,358,161,559,169,245,110,14,56,156,89,71,68,0,54,314,156,0,54,0,54,0,54,0,54,0,54,16,59,0,54,0,54,16,59,61,69,0,54,0,54,58,107,155,113,8,55,1119,234,281,175,152,109,562,194,389,222,228,174,0,54,0,54,9,55,0,54,0,54,0,54,20,56,122,118,0,54,0,54,77,138,0,54,260,188,24164,1548,5872,875
9,Edison Park,11135,498,0,25,9,26,0,25,368,196,9,26,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,9,26,0,25,38,46,14,32,12,26,0,25,33,36,0,25,13,30,78,106,0,25,10,27,0,25,0,25,49,59,0,25,31,33,15,31,20,29,38,47,9,26,225,115,0,25,32,54,18,29,67,46,1,19,1345,325,0,25,234,140,0,25,67,67,0,25,11,26,2686,466,0,25,1139,276,4,23,24,34,10,25,0,25,0,25,0,25,0,25,78,68,0,25,2040,389,12,30,4,23,36,55,11,29,50,57,59,44,77,84,0,25,12,28,20,39,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,148,78,33,42,63,103,13,24,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,59,68,1235,386,576,189
10,Norwood Park,37429,1230,0,39,68,119,0,39,602,229,434,240,0,39,64,99,30,59,45,54,0,39,27,44,24,45,244,193,0,39,17,45,77,83,0,39,176,95,0,39,46,55,18,47,18,46,41,76,0,39,9,36,0,39,0,39,24,41,0,39,197,97,53,53,37,48,119,111,51,61,523,198,0,39,135,90,24,45,231,105,42,50,4046,514,0,39,801,383,0,39,56,65,15,43,52,91,5311,706,0,39,4677,687,33,63,106,75,13,41,0,39,0,39,0,39,41,50,300,141,0,39,8257,1051,0,39,272,249,98,83,24,43,36,53,127,112,317,161,0,39,113,78,0,39,0,39,13,41,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,13,41,0,39,0,39,0,39,262,109,0,39,12,40,293,156,36,55,57,94,0,39,0,39,0,39,0,39,0,39,0,39,0,39,57,94,0,39,0,39,0,39,0,39,173,143,7018,1125,1928,467
