area_id,area_name,b06004g001,b06004g001_moe,b06004g002,b06004g002_moe,b06004g003,b06004g003_moe,b06004g004,b06004g004_moe,b06004g005,b06004g005_moe
1,Rogers Park,2050,411,1226,302,533,161,18,54,273,169
2,West Ridge,2052,578,1445,484,234,146,44,67,329,194
3,Uptown,1692,490,902,337,529,247,61,89,200,109
4,Lincoln Square,1046,279,661,216,182,95,72,55,131,102
5,North Center,876,311,507,259,282,130,18,46,69,55
6,Lake View,1827,371,976,268,643,186,25,70,183,145
7,Lincoln Park,1075,269,735,222,239,105,21,54,80,87
8,Near North Side,1379,374,724,282,479,173,0,54,176,113
9,Edison Park,196,137,135,120,43,38,18,36,0,25
10,Norwood Park,880,391,723,342,86,89,0,39,71,64
11,Jefferson Park,652,248,429,179,40,52,29,51,154,107
12,Forest Glen,447,208,373,191,27,41,4,29,43,47
13,North Park,474,212,371,198,79,78,0,27,24,32
14,Albany Park,1965,456,1254,346,159,98,32,55,520,237
15,Portage Park,2379,531,1947,495,136,81,37,57,259,123
16,Irving Park,1303,306,886,266,168,92,44,52,205,112
17,Dunning,519,212,321,168,57,53,0,40,141,113
18,Montclare,134,76,110,74,24,28,0,23,0,23
19,Belmont Cragin,1766,567,898,318,211,141,65,66,592,308
20,Hermosa,484,177,343,135,38,33,68,70,35,52
21,Avondale,1098,339,735,262,43,59,21,51,299,186
22,Logan Square,1680,357,1212,316,313,113,101,105,54,75
23,Humboldt Park,1070,349,710,288,148,106,115,83,97,86
24,West Town,1789,364,980,263,496,151,116,100,197,126
25,Austin,662,238,483,219,129,79,0,61,50,70
26,West Garfield Park,67,67,54,53,13,39,0,35,0,35
27,East Garfield Park,120,68,90,64,30,43,0,38,0,38
28,Near West Side,1348,258,795,195,444,174,22,54,87,66
29,North Lawndale,279,147,233,136,33,50,0,43,13,46
30,South Lawndale,431,193,173,97,81,75,0,48,177,121
31,Lower West Side,976,313,666,277,210,131,47,53,53,48
32,Loop,673,259,379,223,230,127,27,42,37,42
33,Near South Side,694,353,569,347,112,82,0,24,13,23
34,Armour Square,438,329,137,92,38,59,0,27,263,308
35,Douglas,199,89,117,68,23,36,12,38,47,58
36,Oakland,25,37,14,21,11,23,0,19,0,19
37,Fuller Park,22,35,22,35,0,16,0,16,0,16
38,Grand Boulevard,311,126,205,97,96,78,0,43,10,41
39,Kenwood,349,161,113,61,171,137,0,31,65,70
40,Washington Park,128,101,90,84,28,40,10,30,0,27
41,Hyde Park,836,211,436,142,282,98,13,37,105,106
42,Woodlawn,371,134,259,124,91,56,11,35,10,35
43,South Shore,1077,423,805,386,219,118,26,53,27,52
44,Chatham,453,272,416,268,29,46,8,37,0,37
45,Avalon Park,84,57,50,45,34,41,0,19,0,19
46,South Chicago,326,179,223,136,27,45,63,108,13,37
47,Burnside,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,71,67,71,67,0,27,0,27,0,27
49,Roseland,582,287,456,257,85,74,0,41,41,50
50,Pullman,35,36,27,29,0,19,0,19,8,20
51,South Deering,305,256,228,249,40,49,0,25,37,52
52,East Side,578,245,482,217,9,32,12,26,75,66
53,West Pullman,230,185,141,124,68,94,8,38,13,40
54,Riverdale,3,13,3,13,0,16,0,16,0,16
55,Hegewisch,345,274,313,266,0,19,5,18,27,33
56,Garfield Ridge,964,350,845,322,54,61,10,43,55,61
57,Archer Heights,99,74,76,67,2,26,0,27,21,32
58,Brighton Park,373,223,231,144,19,46,0,43,123,112
59,McKinley Park,367,248,241,139,28,37,0,25,98,144
60,Bridgeport,853,272,758,262,51,44,0,37,44,63
61,New City,803,397,582,333,136,130,12,49,73,64
62,West Elsdon,184,108,165,99,0,27,0,27,19,28
63,Gage Park,439,235,377,220,3,40,0,41,59,59
64,Clearing,535,303,334,193,14,37,0,31,187,219
65,West Lawn,1301,657,921,523,51,56,0,34,329,192
66,Chicago Lawn,616,273,414,179,93,82,0,49,109,107
67,West Englewood,509,229,428,199,73,73,0,48,8,48
68,Englewood,162,104,81,57,73,92,0,36,8,37
69,Greater Grand Crossing,232,142,175,120,53,60,0,38,4,38
70,Ashburn,607,255,507,238,35,52,0,41,65,66
71,Auburn Gresham,301,171,172,118,71,68,20,53,38,71
72,Beverly,366,186,319,182,26,36,0,29,21,36
73,Washington Heights,184,119,128,96,51,70,5,33,0,33
74,Mount Greenwood,179,106,154,107,25,30,0,25,0,25
75,Morgan Park,359,169,249,141,110,87,0,31,0,31
76,O'Hare,454,273,297,208,45,66,11,40,101,107
77,Edgewater,1927,524,870,314,470,186,125,117,462,298
