area_id,area_name,b06008001,b06008001_moe,b06008002,b06008002_moe,b06008003,b06008003_moe,b06008004,b06008004_moe,b06008005,b06008005_moe,b06008006,b06008006_moe,b06008007,b06008007_moe,b06008008,b06008008_moe,b06008009,b06008009_moe,b06008010,b06008010_moe,b06008011,b06008011_moe,b06008012,b06008012_moe,b06008013,b06008013_moe,b06008014,b06008014_moe,b06008015,b06008015_moe,b06008016,b06008016_moe,b06008017,b06008017_moe,b06008018,b06008018_moe,b06008019,b06008019_moe,b06008020,b06008020_moe,b06008021,b06008021_moe,b06008022,b06008022_moe,b06008023,b06008023_moe,b06008024,b06008024_moe,b06008025,b06008025_moe,b06008026,b06008026_moe,b06008027,b06008027_moe,b06008028,b06008028_moe,b06008029,b06008029_moe,b06008030,b06008030_moe
1,Rogers Park,47961,1713,25747,1402,14414,1144,4494,474,1464,354,1842,364,18593,1145,11953,964,3836,544,1807,308,457,202,540,168,13060,889,7777,747,3497,464,1067,217,199,99,520,195,640,194,411,160,160,96,69,73,0,48,0,48,15668,1406,5606,827,6921,867,1551,305,808,267,782,238
2,West Ridge,57178,1916,20338,1424,28427,1415,3990,495,986,280,3437,460,18338,1113,9969,881,5686,647,1492,299,225,124,966,225,6530,614,2198,365,3163,426,741,187,43,59,385,149,1021,444,325,206,592,286,56,64,0,51,48,65,31289,1968,7846,1136,18986,1346,1701,324,718,247,2038,394
3,Uptown,49323,1420,25547,1225,14524,1074,5285,576,1191,291,2776,419,18028,1062,10744,829,3989,556,2223,380,402,173,670,192,16941,985,9970,786,4609,575,1531,297,128,81,703,199,932,264,336,143,188,103,196,107,64,78,148,158,13422,1143,4497,678,5738,748,1335,304,597,219,1255,293
4,Lincoln Square,33118,1023,14091,838,14635,937,2572,379,772,245,1048,219,13227,867,6667,606,4861,532,1179,234,190,109,330,110,9285,585,4538,444,3976,446,510,159,109,79,152,87,668,196,243,131,291,126,65,65,0,40,69,73,9938,921,2643,494,5507,707,818,261,473,210,497,155
5,North Center,27674,850,12230,783,12808,692,1523,250,299,126,814,202,13719,727,7025,592,5495,475,612,147,222,113,365,133,9636,627,4106,494,4715,417,615,160,49,60,151,119,586,162,126,84,304,113,110,92,0,43,46,49,3733,497,973,291,2294,390,186,97,28,49,252,102
6,Lake View,87406,1504,53502,1559,26549,1201,4862,503,525,169,1968,289,32551,1287,20941,1098,8671,682,1948,310,220,125,771,197,42198,1423,27665,1315,12251,757,1680,276,173,97,429,132,1505,304,788,204,492,174,158,110,37,82,30,71,11152,838,4108,565,5135,572,1076,262,95,94,738,189
7,Lincoln Park,56663,1342,32586,1318,18802,1077,3433,402,451,148,1391,238,22790,1071,13733,909,6511,639,1643,272,192,93,711,155,26892,1157,16070,967,8972,765,1271,242,132,81,447,148,793,176,404,119,213,103,73,66,31,67,72,65,6188,587,2379,381,3106,414,446,157,96,74,161,79
8,Near North Side,75100,1587,37012,1458,26704,1499,7890,675,551,213,2943,395,29596,1364,14730,1023,10218,904,3107,442,280,166,1261,259,30573,1376,16713,1083,9499,918,3101,422,178,107,1082,245,1016,341,602,289,167,90,239,173,0,54,8,55,13915,1150,4967,699,6820,823,1443,280,93,98,592,232
9,Edison Park,9249,434,2860,341,4703,363,848,238,82,62,756,148,6796,490,2362,337,3222,323,676,184,67,58,469,122,980,257,304,135,493,149,139,134,0,25,44,36,109,68,0,25,88,64,0,25,0,25,21,31,1364,328,194,168,900,259,33,36,15,27,222,99
10,Norwood Park,30770,899,8191,672,16122,834,2822,385,371,145,3264,393,19989,895,6488,630,9412,658,1790,295,215,111,2084,331,2366,344,439,168,1460,279,155,83,1,36,311,108,384,141,63,56,169,90,93,87,0,39,59,60,8031,766,1201,286,5081,681,784,241,155,97,810,174
