area_id,area_name,b07004b001,b07004b001_moe,b07004b002,b07004b002_moe,b07004b003,b07004b003_moe,b07004b004,b07004b004_moe,b07004b005,b07004b005_moe,b07004b006,b07004b006_moe
1,Rogers Park,16122,1472,12801,1286,2849,895,34,47,294,161,144,110
2,West Ridge,8166,1345,6622,1279,1217,476,45,71,134,132,148,165
3,Uptown,11275,1186,9069,1130,1773,382,132,98,217,187,84,90
4,Lincoln Square,1846,506,1390,449,361,204,31,50,64,108,0,40
5,North Center,556,199,439,178,96,90,0,43,0,43,21,53
6,Lake View,3638,595,2785,531,481,175,129,174,187,107,56,77
7,Lincoln Park,2756,442,1935,372,665,205,39,54,105,90,12,51
8,Near North Side,7595,866,6449,808,975,356,0,54,119,82,52,88
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,332,210,298,213,30,27,1,37,2,37,1,37
11,Jefferson Park,368,291,338,289,30,45,0,29,0,29,0,29
12,Forest Glen,300,210,207,161,91,135,0,29,2,25,0,29
13,North Park,307,141,196,123,93,61,9,24,9,29,0,27
14,Albany Park,2328,621,1769,574,496,236,0,45,33,53,30,59
15,Portage Park,884,396,486,300,344,252,0,47,14,50,40,76
16,Irving Park,1771,451,1196,377,397,222,18,49,159,249,1,46
17,Dunning,441,254,281,219,139,130,21,46,0,40,0,40
18,Montclare,582,162,541,156,12,25,0,23,29,50,0,23
19,Belmont Cragin,4172,973,3363,863,717,384,0,52,92,106,0,52
20,Hermosa,318,176,177,121,141,130,0,29,0,29,0,29
21,Avondale,1438,488,1144,458,225,151,12,41,57,63,0,38
22,Logan Square,5031,782,3911,695,1052,371,19,61,49,60,0,57
23,Humboldt Park,23178,1729,18900,1602,4136,1009,80,82,25,59,37,59
24,West Town,7513,1029,6411,984,956,306,10,63,132,107,4,62
25,Austin,83796,2649,71067,2552,11488,1399,591,335,479,353,171,214
26,West Garfield Park,18468,1289,14873,1179,3167,770,129,142,295,151,4,34
27,East Garfield Park,19688,1314,16356,1258,2928,658,198,156,206,133,0,38
28,Near West Side,17381,1228,13529,1035,3223,687,144,79,461,204,24,63
29,North Lawndale,32872,1807,26977,1666,5535,1007,136,116,195,131,29,50
30,South Lawndale,7975,590,2665,425,5100,410,103,65,107,74,0,48
31,Lower West Side,1208,321,764,243,408,189,0,42,36,56,0,42
32,Loop,3150,707,2243,570,319,157,30,40,542,459,16,37
33,Near South Side,5552,744,4527,554,861,462,0,24,151,183,13,28
34,Armour Square,1683,317,1417,291,266,197,0,27,0,27,0,27
35,Douglas,13547,745,10299,651,2544,454,193,102,425,206,86,76
36,Oakland,5805,498,4921,483,855,282,7,20,19,36,3,16
37,Fuller Park,2668,525,2395,488,242,183,0,16,0,16,31,49
38,Grand Boulevard,20901,1078,16801,985,3727,751,88,83,285,133,0,43
39,Kenwood,12780,865,10637,758,1778,476,96,80,243,132,26,41
40,Washington Park,10704,810,7606,682,2871,668,119,133,108,66,0,27
41,Hyde Park,8928,703,6819,640,1670,402,78,67,313,122,48,59
42,Woodlawn,21241,1250,17449,1147,3441,650,42,52,298,156,11,38
43,South Shore,44413,1973,34516,1805,8964,1227,204,125,620,263,109,104
44,Chatham,32095,1583,27736,1587,4115,780,130,168,114,92,0,37
45,Avalon Park,9283,750,8237,739,975,292,0,19,71,64,0,19
46,South Chicago,21418,1508,17820,1442,3171,759,80,135,305,263,42,65
47,Burnside,3479,690,2999,545,412,387,46,56,11,21,11,19
48,Calumet Heights,13524,794,12508,772,806,363,45,67,147,132,18,36
49,Roseland,43334,1638,37679,1446,4967,1101,107,97,549,252,32,45
50,Pullman,6038,532,5296,485,710,323,15,28,8,20,9,21
51,South Deering,10072,829,8106,790,1885,623,0,25,74,107,7,22
52,East Side,746,377,514,338,232,178,0,29,0,29,0,29
53,West Pullman,28538,1584,23563,1390,4400,1099,133,127,427,253,15,44
54,Riverdale,6627,719,5392,700,1053,440,95,150,87,101,0,16
55,Hegewisch,1110,617,618,464,373,386,0,19,119,140,0,19
56,Garfield Ridge,2218,529,1933,497,231,190,0,42,54,61,0,42
57,Archer Heights,212,219,210,219,2,22,0,27,0,27,0,27
58,Brighton Park,569,278,406,237,153,149,0,43,10,45,0,43
59,McKinley Park,471,265,377,234,94,128,0,25,0,25,0,25
60,Bridgeport,645,200,414,153,192,134,0,37,39,69,0,37
61,New City,12558,1342,10521,1275,1828,472,47,55,162,116,0,47
62,West Elsdon,513,298,440,300,72,64,0,27,0,27,1,22
63,Gage Park,1802,413,1558,396,222,114,12,41,4,40,6,39
64,Clearing,144,119,62,66,82,102,0,31,0,31,0,31
65,West Lawn,1048,315,796,211,230,237,0,34,1,32,21,38
66,Chicago Lawn,28803,1796,25020,1717,3675,848,66,114,42,69,0,49
67,West Englewood,33034,1536,27892,1474,4513,795,19,52,610,336,0,48
68,Englewood,27656,1491,23116,1384,4230,832,96,85,146,108,68,67
69,Greater Grand Crossing,31457,1487,26107,1357,4954,775,110,132,286,170,0,38
70,Ashburn,21779,1467,19878,1371,1796,816,93,88,12,35,0,41
71,Auburn Gresham,48332,1850,42017,1833,5808,965,95,79,383,159,29,52
72,Beverly,7354,728,6960,770,365,193,0,29,29,39,0,29
73,Washington Heights,25052,1106,23163,1145,1661,501,77,99,114,83,37,52
74,Mount Greenwood,937,317,780,314,97,65,0,25,52,46,8,27
75,Morgan Park,14409,1068,13468,1039,714,254,82,82,145,89,0,31
76,O'Hare,200,125,145,113,55,66,0,38,0,38,0,38
77,Edgewater,8104,854,6296,790,1431,414,66,68,127,94,184,199
