area_id,area_name,b09002001,b09002001_moe,b09002002,b09002002_moe,b09002003,b09002003_moe,b09002004,b09002004_moe,b09002005,b09002005_moe,b09002006,b09002006_moe,b09002007,b09002007_moe,b09002008,b09002008_moe,b09002009,b09002009_moe,b09002010,b09002010_moe,b09002011,b09002011_moe,b09002012,b09002012_moe,b09002013,b09002013_moe,b09002014,b09002014_moe,b09002015,b09002015_moe,b09002016,b09002016_moe,b09002017,b09002017_moe,b09002018,b09002018_moe,b09002019,b09002019_moe,b09002020,b09002020_moe
1,Rogers Park,10012,966,6266,880,1768,351,921,234,455,170,1691,371,1431,377,3746,629,908,290,242,117,88,76,16,53,324,147,238,121,2838,598,309,139,311,138,75,73,793,273,1350,396
2,West Ridge,17557,1444,14048,1335,2875,511,1569,315,991,272,4693,629,3920,551,3509,807,1029,576,172,134,233,196,0,51,406,260,218,131,2480,589,259,137,217,118,49,62,992,322,963,321
3,Uptown,5793,814,3754,710,1257,271,578,204,244,112,808,262,867,317,2039,446,357,151,86,79,0,48,0,48,138,108,133,84,1682,406,183,104,201,129,95,84,482,173,721,241
4,Lincoln Square,5814,668,4649,613,1591,283,666,163,257,117,1139,267,996,281,1165,397,371,315,94,106,89,105,22,45,166,153,0,40,794,284,129,92,69,81,0,40,358,202,238,113
5,North Center,6101,542,5476,525,1908,263,1041,216,333,106,1425,280,769,189,625,190,206,128,16,45,47,83,0,43,47,64,96,83,419,144,32,57,47,61,9,44,130,79,201,104
6,Lake View,9521,711,8324,663,3236,374,1245,224,710,195,2164,297,969,204,1197,350,455,255,98,93,59,82,71,116,151,98,76,120,742,251,106,106,66,114,28,71,203,143,339,160
7,Lincoln Park,8654,837,7512,821,1812,265,1041,208,419,135,2749,534,1491,311,1142,270,223,105,0,51,30,61,11,52,68,75,114,72,919,253,147,83,105,83,0,51,341,142,326,117
8,Near North Side,5538,719,3402,549,1249,349,540,170,183,99,926,280,504,195,2136,551,78,91,14,58,0,54,0,54,0,54,64,89,2058,545,422,200,24,62,101,100,835,364,676,219
9,Edison Park,2141,269,1876,245,121,53,189,78,76,48,836,146,654,148,265,151,23,25,5,23,0,25,0,25,0,25,18,27,242,150,0,25,0,25,0,25,76,73,166,109
10,Norwood Park,7035,696,5874,665,1057,245,740,229,351,136,2530,406,1196,300,1161,406,203,180,17,48,25,49,0,39,118,163,43,46,958,369,128,120,157,179,81,88,235,116,357,180
11,Jefferson Park,5420,646,4340,636,735,235,581,168,193,80,1344,255,1487,352,1080,358,420,244,17,38,122,106,26,46,131,99,124,94,660,269,135,120,23,36,22,40,194,104,286,150
