area_id,area_name,b09018001,b09018001_moe,b09018002,b09018002_moe,b09018003,b09018003_moe,b09018004,b09018004_moe,b09018005,b09018005_moe,b09018006,b09018006_moe,b09018007,b09018007_moe,b09018008,b09018008_moe
1,Rogers Park,11411,1016,10012,966,9507,949,271,129,234,125,715,298,499,230,185,203
2,West Ridge,19035,1409,17557,1444,16744,1423,398,230,415,234,680,238,716,347,82,93
3,Uptown,6547,819,5793,814,5580,810,183,110,30,56,516,299,166,143,72,78
4,Lincoln Square,6318,689,5814,668,5628,647,105,78,81,103,429,206,37,50,38,59
5,North Center,6243,549,6101,542,5929,540,113,74,59,67,81,82,4,42,57,70
6,Lake View,9789,699,9521,711,9200,706,264,117,57,80,238,174,16,69,14,69
7,Lincoln Park,8841,835,8654,837,8292,831,265,120,97,113,87,77,0,51,100,111
8,Near North Side,5878,724,5538,719,5422,717,95,88,21,58,224,112,78,77,38,72
9,Edison Park,2266,248,2141,269,2085,273,56,49,0,25,125,108,0,25,0,25
10,Norwood Park,7433,703,7035,696,6969,700,50,50,16,39,238,143,139,109,21,50
11,Jefferson Park,5801,660,5420,646,5129,627,85,71,206,132,283,140,10,34,88,86
12,Forest Glen,4437,340,4274,334,4102,323,113,98,59,71,139,90,12,31,12,33
13,North Park,4237,572,3788,550,3656,544,93,73,39,41,381,170,68,61,0,27
14,Albany Park,13335,1088,11514,1008,11112,998,219,150,183,104,829,269,982,322,10,45
15,Portage Park,14633,1080,12059,938,11772,929,158,121,129,92,1891,515,578,252,105,108
16,Irving Park,13007,949,11458,903,10926,865,370,174,162,156,739,219,752,270,58,65
17,Dunning,7786,583,6467,540,6043,526,253,126,171,87,1032,292,280,202,7,40
18,Montclare,3016,482,2537,441,2411,441,22,25,104,94,366,200,38,50,75,91
19,Belmont Cragin,23217,1412,19156,1327,17998,1277,317,170,841,327,2578,478,1303,399,180,141
20,Hermosa,7251,670,5802,638,5547,617,71,90,184,103,995,345,432,253,22,45
21,Avondale,9643,923,8091,846,7780,836,214,118,97,106,724,263,707,285,121,97
22,Logan Square,14549,1006,12455,941,11937,933,306,177,212,118,1298,340,653,237,143,96
23,Humboldt Park,16324,1369,12274,1168,11782,1159,221,128,271,133,3272,578,331,169,447,226
24,West Town,13050,1019,11586,966,11160,945,222,121,204,160,999,262,399,178,66,81
25,Austin,26401,1528,18995,1361,18081,1311,409,187,505,238,5423,705,1552,486,431,184
26,West Garfield Park,6763,756,5046,689,4800,674,118,91,128,80,1138,269,452,200,127,71
27,East Garfield Park,7429,809,5867,736,5641,730,72,78,154,88,1090,311,348,166,124,111
