area_id,area_name,b13002001,b13002001_moe,b13002002,b13002002_moe,b13002003,b13002003_moe,b13002004,b13002004_moe,b13002005,b13002005_moe,b13002006,b13002006_moe,b13002007,b13002007_moe,b13002008,b13002008_moe,b13002009,b13002009_moe,b13002010,b13002010_moe,b13002011,b13002011_moe,b13002012,b13002012_moe,b13002013,b13002013_moe,b13002014,b13002014_moe,b13002015,b13002015_moe,b13002016,b13002016_moe,b13002017,b13002017_moe,b13002018,b13002018_moe,b13002019,b13002019_moe
1,Rogers Park,16991,1121,871,229,530,187,0,48,369,152,161,117,341,134,72,76,161,102,108,73,16120,1110,5143,522,21,52,2386,375,2736,383,10977,973,2188,404,5957,710,2832,453
2,West Ridge,17441,985,1284,309,1109,296,0,51,837,269,272,138,175,99,41,69,106,82,28,56,16157,951,7575,569,0,51,2419,391,5156,473,8582,786,2009,374,3918,515,2655,411
3,Uptown,15948,836,655,197,537,179,29,65,316,128,192,120,118,90,15,51,67,79,36,54,15293,826,5068,495,29,55,2393,352,2646,381,10225,763,590,200,5957,600,3678,460
4,Lincoln Square,11854,647,623,160,512,137,0,40,332,108,180,79,111,88,14,43,86,86,11,42,11231,658,4694,415,0,40,1957,268,2737,354,6537,571,680,227,4052,455,1805,269
5,North Center,10450,539,728,148,722,148,0,43,323,95,399,117,6,42,0,43,6,42,0,43,9722,539,4049,310,4,42,1804,233,2241,244,5673,497,402,145,3757,438,1514,245
6,Lake View,36337,1274,1451,238,1292,218,0,66,917,174,375,144,159,109,6,66,82,86,71,90,34886,1293,8866,531,0,66,4878,451,3988,356,26020,1274,759,188,21411,1224,3850,441
7,Lincoln Park,23062,991,843,173,705,150,0,51,315,106,390,114,138,94,21,57,68,78,49,68,22219,993,6134,486,0,51,2545,343,3589,372,16085,971,1481,276,11923,910,2681,325
8,Near North Side,26129,1160,832,248,667,219,0,54,389,183,278,123,165,123,0,54,149,121,16,59,25297,1157,6146,615,91,90,3164,498,2891,390,19151,1101,869,224,13822,988,4460,541
9,Edison Park,2898,306,55,43,44,40,0,25,24,30,20,36,11,26,0,25,0,25,11,26,2843,312,1196,157,0,25,261,95,935,133,1647,297,319,126,763,194,565,170
10,Norwood Park,7888,536,508,170,359,134,0,39,259,109,100,81,149,111,0,39,90,78,59,87,7380,521,3927,356,0,39,1105,260,2822,316,3453,446,583,158,1535,318,1335,273
11,Jefferson Park,6407,524,350,140,274,124,7,29,175,110,92,61,76,70,0,29,70,70,6,30,6057,522,3222,345,9,31,983,214,2230,296,2835,399,576,168,1448,323,811,197
12,Forest Glen,3919,320,280,98,197,83,0,29,25,37,172,79,83,75,0,29,83,75,0,29,3639,317,2210,249,0,29,489,146,1721,208,1429,251,464,142,671,186,294,102
13,North Park,4535,472,310,123,269,116,0,27,184,107,85,57,41,51,0,27,23,37,18,45,4225,468,1869,259,0,27,484,131,1385,222,2356,391,668,168,1020,253,668,203
14,Albany Park,14519,823,810,213,582,191,0,45,472,182,110,74,228,113,45,61,137,91,46,61,13709,827,6136,510,33,57,2426,323,3677,416,7573,661,1827,332,3875,504,1871,324
15,Portage Park,17008,916,886,233,510,179,0,47,391,168,119,77,376,151,22,56,240,131,114,84,16122,933,7554,527,35,72,2419,362,5100,449,8568,838,1933,391,3814,495,2821,453
16,Irving Park,14771,745,853,203,618,164,2,46,385,129,231,109,235,121,46,67,182,109,7,46,13918,734,6428,528,28,65,2798,392,3602,393,7490,607,962,236,4148,470,2380,341
17,Dunning,10066,602,501,132,389,124,45,51,157,83,187,94,112,67,14,45,76,59,22,44,9565,607,4824,395,10,41,1709,313,3105,340,4741,477,1086,231,2444,354,1211,214
18,Montclare,3035,376,177,86,107,62,0,23,66,57,41,39,70,56,24,42,34,30,12,29,2858,369,1381,241,0,23,521,168,860,196,1477,310,302,137,730,199,445,152
19,Belmont Cragin,20433,1011,1333,270,708,188,0,52,595,173,113,85,625,195,98,79,420,160,107,99,19100,997,8357,592,107,91,2853,386,5397,472,10743,847,2897,444,4791,534,3055,435
20,Hermosa,6327,549,394,139,258,121,33,59,145,91,80,69,136,73,37,47,74,56,25,37,5933,537,2245,271,17,29,731,173,1497,227,3688,484,1019,242,1782,360,887,212
21,Avondale,11465,835,594,169,388,136,0,38,252,115,136,80,206,105,111,87,79,63,16,49,10871,840,4184,417,0,38,1917,315,2267,321,6687,761,1189,359,3883,523,1615,302
22,Logan Square,23413,939,1210,207,898,174,0,57,606,135,292,117,312,123,27,69,230,110,55,65,22203,939,7513,498,8,58,3551,360,3954,374,14690,844,1937,320,9244,675,3509,391
23,Humboldt Park,15696,886,996,251,214,104,0,51,171,99,43,55,782,224,137,89,600,208,45,68,14700,856,3903,415,20,55,1629,293,2254,324,10797,792,2367,397,4951,507,3479,426
24,West Town,28997,1011,1504,237,1180,199,19,68,713,155,448,128,324,130,36,75,183,102,105,91,27493,1005,8552,498,12,64,3984,365,4556,392,18941,968,1685,331,13386,829,3870,385
25,Austin,26617,1160,1411,318,267,134,0,61,222,126,45,72,1144,288,185,107,892,259,67,77,25206,1138,4845,459,0,61,1427,267,3418,389,20361,1068,4055,451,8778,702,7528,578
26,West Garfield Park,5259,496,468,153,45,50,3,34,42,50,0,35,423,145,89,68,293,118,41,50,4791,476,895,198,0,35,222,100,673,190,3896,436,905,216,1674,247,1317,212
27,East Garfield Park,6419,530,541,199,27,43,0,38,27,43,0,38,514,199,145,121,267,101,102,76,5878,483,933,178,0,38,317,113,616,151,4945,466,1087,263,1884,287,1974,262
28,Near West Side,18752,877,972,201,671,164,0,52,501,154,170,83,301,121,21,56,254,114,26,61,17780,887,5066,411,0,52,3084,337,1982,268,12714,848,2022,410,7394,658,3298,375
29,North Lawndale,10190,723,673,174,117,76,0,43,90,64,27,59,556,156,116,81,429,139,11,45,9517,699,1536,236,16,48,394,109,1126,217,7981,663,1585,273,3556,411,2840,324
30,South Lawndale,17269,926,1285,235,723,176,30,56,603,164,90,82,562,163,74,74,483,149,5,46,15984,899,6117,462,66,72,2132,326,3919,370,9867,767,2795,390,4518,508,2554,367
31,Lower West Side,9370,599,418,131,279,106,0,42,227,95,52,58,139,84,25,53,103,72,11,42,8952,594,2991,356,0,42,1272,254,1719,265,5961,513,815,201,3507,425,1639,314
32,Loop,9054,813,318,142,303,141,0,30,228,130,75,71,15,36,0,30,0,30,15,36,8736,803,2376,377,0,30,1520,313,856,244,6360,789,837,271,4322,652,1201,285
33,Near South Side,6672,577,344,164,323,164,0,24,184,111,139,102,21,20,0,24,11,24,10,17,6328,556,1888,343,0,24,936,239,952,267,4440,547,483,240,2348,417,1609,340
34,Armour Square,3157,357,131,78,96,71,0,27,73,67,23,34,35,41,11,31,24,37,0,27,3026,354,1466,247,0,27,391,141,1075,238,1560,269,385,137,835,213,340,112
35,Douglas,5635,481,238,88,107,69,0,35,93,67,14,39,131,62,16,41,111,62,4,33,5397,485,985,187,4,34,448,128,533,136,4412,465,564,146,2472,383,1376,217
36,Oakland,2081,256,52,47,33,33,0,19,22,29,11,22,19,37,0,19,19,37,0,19,2029,265,457,124,0,19,115,65,342,112,1572,278,213,101,808,217,551,146
37,Fuller Park,790,217,49,34,1,11,0,16,0,16,1,11,48,34,0,16,25,29,23,24,741,225,153,71,0,16,30,24,123,67,588,192,120,60,218,106,250,96
38,Grand Boulevard,6984,490,443,140,172,90,0,43,81,70,91,71,271,110,20,50,196,96,55,62,6541,475,1281,223,15,41,381,142,885,186,5260,467,647,171,2477,320,2136,266
39,Kenwood,4947,459,257,109,127,85,0,31,104,76,23,43,130,73,29,43,101,65,0,31,4690,455,1233,210,4,30,442,133,787,166,3457,417,256,92,2025,365,1176,228
40,Washington Park,3370,349,330,123,32,36,0,27,32,36,0,27,298,119,52,42,225,111,21,35,3040,319,309,101,0,27,51,41,258,91,2731,306,422,132,1272,205,1037,188
41,Hyde Park,8476,582,290,111,230,92,0,38,174,81,56,55,60,68,4,37,56,68,0,38,8186,588,2116,247,0,38,777,155,1339,201,6070,567,1093,227,3742,482,1235,223
42,Woodlawn,7258,530,240,104,51,52,0,36,35,51,16,36,189,95,76,65,99,73,14,42,7018,527,1409,223,0,36,642,153,767,185,5609,510,1002,201,2427,348,2180,295
43,South Shore,13233,975,719,209,138,94,0,44,113,87,25,57,581,186,103,89,420,154,58,74,12514,959,2340,389,0,44,291,144,2049,359,10174,892,1894,394,4499,554,3781,431
44,Chatham,8485,749,435,165,131,89,0,37,131,89,0,37,304,149,64,82,240,129,0,37,8050,738,1595,305,0,37,345,141,1250,269,6455,678,1137,259,2854,414,2464,383
45,Avalon Park,2242,274,56,41,38,31,0,19,0,19,38,31,18,32,0,19,18,32,0,19,2186,273,534,149,0,19,95,63,439,137,1652,260,306,110,639,196,707,188
46,South Chicago,7752,670,393,157,133,110,0,37,74,63,59,97,260,117,55,63,163,100,42,53,7359,657,1762,281,0,37,550,173,1212,222,5597,594,958,236,2531,408,2108,342
47,Burnside,835,257,82,62,0,11,0,11,0,11,0,11,82,62,54,50,20,34,8,17,753,232,183,108,0,11,0,11,183,108,570,181,189,140,268,118,113,67
48,Calumet Heights,2981,331,129,78,57,55,0,27,18,36,39,49,72,60,17,37,55,53,0,27,2852,336,912,178,0,27,181,95,731,163,1940,337,446,178,602,169,892,202
49,Roseland,11294,713,510,156,136,82,9,44,66,59,61,67,374,139,172,108,198,104,4,40,10784,717,2405,320,11,43,625,212,1769,263,8379,673,2144,353,3252,426,2983,354
50,Pullman,1930,250,150,84,0,19,0,19,0,19,0,19,150,84,0,19,140,82,10,20,1780,240,362,113,0,19,166,96,196,70,1418,212,232,90,545,150,641,150
51,South Deering,4529,479,93,57,33,37,0,25,24,36,9,26,60,50,23,43,37,34,0,25,4436,480,1325,247,0,25,422,162,903,196,3111,433,698,203,1172,281,1241,269
52,East Side,5879,481,408,142,227,105,0,29,130,82,97,66,181,99,78,67,96,76,7,30,5471,482,2093,263,0,29,626,160,1467,244,3378,414,807,207,1588,322,983,212
53,West Pullman,8224,730,515,156,138,89,0,39,96,77,42,56,377,131,30,50,347,126,0,39,7709,719,1411,260,0,39,331,130,1080,244,6298,697,1446,264,2578,403,2274,387
54,Riverdale,2250,353,112,69,22,29,0,16,22,29,0,16,90,63,10,23,80,69,0,16,2138,350,238,93,0,16,57,55,181,77,1900,348,371,134,864,186,665,176
55,Hegewisch,2388,329,62,56,0,19,0,19,0,19,0,19,62,56,0,19,62,56,0,19,2326,315,959,194,0,19,273,135,686,187,1367,280,265,138,633,180,469,156
56,Garfield Ridge,8131,521,348,113,181,75,0,42,68,51,113,62,167,90,36,50,98,70,33,55,7783,519,3899,310,63,66,952,213,2884,286,3884,451,1049,206,1985,346,850,180
57,Archer Heights,3217,293,264,95,98,60,0,27,70,55,28,34,166,78,25,36,132,72,9,30,2953,274,1338,191,0,27,525,132,813,147,1615,273,378,105,834,209,403,133
58,Brighton Park,11553,697,651,178,409,141,0,43,224,106,185,96,242,107,14,40,228,106,0,43,10902,704,4937,406,20,43,1478,265,3439,346,5965,577,1685,297,2978,415,1302,248
59,McKinley Park,4187,418,228,102,128,69,0,25,100,60,28,37,100,78,0,25,81,77,19,31,3959,412,1780,218,0,25,711,166,1069,191,2179,365,539,146,1006,234,634,172
60,Bridgeport,8889,590,339,106,256,96,0,37,171,79,85,63,83,55,13,41,60,51,10,35,8550,583,3313,327,0,37,973,189,2340,270,5237,479,1224,234,2809,374,1204,208
61,New City,11450,694,898,193,451,129,7,47,257,106,187,85,447,151,111,87,323,118,13,47,10552,670,3644,324,14,46,1393,223,2237,253,6908,605,1879,302,3157,418,1872,272
62,West Elsdon,4834,416,368,118,209,82,0,27,142,73,67,55,159,96,35,44,87,71,37,42,4466,421,2060,282,8,28,861,194,1191,208,2406,323,600,158,1258,243,548,159
63,Gage Park,10884,692,1027,232,474,149,0,41,317,130,157,81,553,174,168,98,309,128,76,79,9857,680,4662,389,51,55,1433,261,3178,339,5195,567,1797,310,2449,380,949,220
64,Clearing,5632,455,318,124,229,98,38,52,157,84,34,36,89,79,0,31,55,69,34,51,5314,459,2200,294,0,31,949,215,1251,224,3114,418,542,165,1693,332,879,216
65,West Lawn,8108,554,556,190,309,131,0,34,267,125,42,57,247,140,0,34,239,138,8,32,7552,583,3608,323,0,34,1323,259,2285,294,3944,503,1043,257,1822,331,1079,240
66,Chicago Lawn,15340,882,1013,269,326,150,0,49,286,139,40,68,687,221,136,89,511,203,40,60,14327,872,4195,403,58,70,1250,250,2887,326,10132,797,2492,388,4471,491,3169,406
67,West Englewood,9336,636,711,163,131,83,0,48,104,77,27,50,580,149,156,80,384,127,40,66,8625,607,1317,206,5,47,429,134,883,163,7308,594,1542,241,2871,378,2895,320
