area_id,area_name,b16001001,b16001001_moe,b16001002,b16001002_moe,b16001003,b16001003_moe,b16001004,b16001004_moe,b16001005,b16001005_moe,b16001006,b16001006_moe,b16001007,b16001007_moe,b16001008,b16001008_moe,b16001009,b16001009_moe,b16001010,b16001010_moe,b16001011,b16001011_moe,b16001012,b16001012_moe,b16001013,b16001013_moe,b16001014,b16001014_moe,b16001015,b16001015_moe,b16001016,b16001016_moe,b16001017,b16001017_moe,b16001018,b16001018_moe,b16001019,b16001019_moe,b16001020,b16001020_moe,b16001021,b16001021_moe,b16001022,b16001022_moe,b16001023,b16001023_moe,b16001024,b16001024_moe,b16001025,b16001025_moe,b16001026,b16001026_moe,b16001027,b16001027_moe,b16001028,b16001028_moe,b16001029,b16001029_moe,b16001030,b16001030_moe,b16001031,b16001031_moe,b16001032,b16001032_moe,b16001033,b16001033_moe,b16001034,b16001034_moe,b16001035,b16001035_moe,b16001036,b16001036_moe,b16001037,b16001037_moe,b16001038,b16001038_moe,b16001039,b16001039_moe,b16001040,b16001040_moe,b16001041,b16001041_moe,b16001042,b16001042_moe,b16001043,b16001043_moe,b16001044,b16001044_moe,b16001045,b16001045_moe,b16001046,b16001046_moe,b16001047,b16001047_moe,b16001048,b16001048_moe,b16001049,b16001049_moe,b16001050,b16001050_moe,b16001051,b16001051_moe,b16001052,b16001052_moe,b16001053,b16001053_moe,b16001054,b16001054_moe,b16001055,b16001055_moe,b16001056,b16001056_moe,b16001057,b16001057_moe,b16001058,b16001058_moe,b16001059,b16001059_moe,b16001060,b16001060_moe,b16001061,b16001061_moe,b16001062,b16001062_moe,b16001063,b16001063_moe,b16001064,b16001064_moe,b16001065,b16001065_moe,b16001066,b16001066_moe,b16001067,b16001067_moe,b16001068,b16001068_moe,b16001069,b16001069_moe,b16001070,b16001070_moe,b16001071,b16001071_moe,b16001072,b16001072_moe,b16001073,b16001073_moe,b16001074,b16001074_moe,b16001075,b16001075_moe,b16001076,b16001076_moe,b16001077,b16001077_moe,b16001078,b16001078_moe,b16001079,b16001079_moe,b16001080,b16001080_moe,b16001081,b16001081_moe,b16001082,b16001082_moe,b16001083,b16001083_moe,b16001084,b16001084_moe,b16001085,b16001085_moe,b16001086,b16001086_moe,b16001087,b16001087_moe,b16001088,b16001088_moe,b16001089,b16001089_moe,b16001090,b16001090_moe,b16001091,b16001091_moe,b16001092,b16001092_moe,b16001093,b16001093_moe,b16001094,b16001094_moe,b16001095,b16001095_moe,b16001096,b16001096_moe,b16001097,b16001097_moe,b16001098,b16001098_moe,b16001099,b16001099_moe,b16001100,b16001100_moe,b16001101,b16001101_moe,b16001102,b16001102_moe,b16001103,b16001103_moe,b16001104,b16001104_moe,b16001105,b16001105_moe,b16001106,b16001106_moe,b16001107,b16001107_moe,b16001108,b16001108_moe,b16001109,b16001109_moe,b16001110,b16001110_moe,b16001111,b16001111_moe,b16001112,b16001112_moe,b16001113,b16001113_moe,b16001114,b16001114_moe,b16001115,b16001115_moe,b16001116,b16001116_moe,b16001117,b16001117_moe,b16001118,b16001118_moe,b16001119,b16001119_moe
1,Rogers Park,53292,1991,33330,1650,11323,1362,6021,830,5302,949,402,164,308,141,94,97,713,319,442,217,271,165,72,72,72,72,0,48,116,97,78,80,38,62,233,141,192,130,41,55,34,59,29,60,5,46,28,57,28,57,0,48,18,52,18,52,0,48,140,116,140,116,0,48,307,125,106,79,201,106,389,146,216,112,173,95,116,90,50,53,66,75,341,195,145,113,196,149,65,88,0,48,65,88,41,61,32,54,9,48,80,93,10,49,70,92,188,160,109,138,79,92,142,105,57,79,85,84,768,657,265,292,503,391,447,186,246,128,201,145,540,257,325,156,215,137,81,78,42,55,39,59,130,122,104,120,26,52,56,106,37,78,19,55,0,48,0,48,0,48,27,56,27,56,0,48,0,48,0,48,0,48,73,112,73,112,0,48,295,308,55,70,240,302,473,237,367,193,106,89,29,51,16,49,13,50,0,48,0,48,0,48,0,48,0,48,0,48,13,51,13,51,0,48,336,186,171,111,165,135,0,48,0,48,0,48,1885,457,1553,388,332,163,61,72,47,71,14,50
2,West Ridge,67808,2299,27149,1467,11727,1676,5838,886,5889,1162,456,239,341,177,115,133,362,329,252,306,110,130,143,132,69,94,74,81,83,96,83,96,0,51,142,83,123,81,19,52,835,658,714,669,121,151,36,66,36,66,0,51,0,51,0,51,0,51,555,248,281,167,274,148,706,235,220,164,486,148,609,467,364,285,245,222,2192,522,1158,368,1034,267,373,218,97,81,276,209,52,77,50,77,2,51,20,60,20,60,0,51,975,428,336,173,639,323,1589,659,764,316,825,496,4229,1143,2690,802,1539,556,1313,629,633,331,680,457,984,337,276,130,708,273,1730,606,791,384,939,356,53,87,22,61,31,61,557,280,225,146,332,192,35,76,35,76,0,51,0,51,0,51,0,51,79,148,10,56,69,126,0,51,0,51,0,51,1784,693,756,365,1028,415,759,444,441,238,318,263,1539,593,1216,560,323,166,124,132,0,51,124,132,0,51,0,51,0,51,0,51,0,51,0,51,97,94,46,77,51,74,2505,840,1005,489,1500,536,636,315,522,236,114,117,1572,656,1198,472,374,293,1808,614,962,408,846,345
3,Uptown,52308,1570,35483,1397,6061,915,3477,635,2584,607,382,154,303,121,79,69,0,48,0,48,0,48,198,122,167,111,31,61,53,65,53,65,0,48,336,151,314,146,22,52,0,48,0,48,0,48,17,54,17,54,0,48,61,74,61,74,0,48,63,63,58,64,5,46,930,304,327,217,603,222,295,135,203,107,92,76,478,225,245,151,233,144,98,87,98,87,0,48,0,48,0,48,0,48,64,80,49,78,15,51,4,47,4,47,0,48,256,172,209,156,47,67,461,203,174,152,287,201,144,91,102,74,42,58,538,295,381,265,157,136,939,423,477,293,462,261,85,74,77,73,8,48,411,181,33,50,378,178,13,49,0,48,13,49,0,48,0,48,0,48,95,104,23,59,72,98,27,63,27,63,0,48,849,320,301,151,548,241,556,369,299,202,257,238,832,288,489,199,343,160,184,201,116,124,68,112,0,48,0,48,0,48,0,48,0,48,0,48,9,49,9,49,0,48,207,135,149,124,58,69,12,48,12,48,0,48,2167,640,1417,441,750,264,0,48,0,48,0,48
4,Lincoln Square,35777,1175,22123,991,5866,974,2872,577,2994,669,155,71,115,63,40,54,12,43,0,40,12,43,50,53,50,53,0,40,12,38,1,37,11,41,262,125,227,116,35,57,0,40,0,40,0,40,6,39,6,39,0,40,0,40,0,40,0,40,947,367,600,257,347,152,151,93,63,65,88,78,202,105,164,91,38,47,624,276,374,173,250,131,611,308,325,177,286,199,46,68,15,48,31,62,0,40,0,40,0,40,33,56,33,56,0,40,19,40,19,40,0,40,385,250,233,175,152,134,184,176,170,171,14,44,750,355,336,204,414,212,286,203,169,119,117,109,85,85,73,80,12,43,543,271,239,156,304,172,25,54,25,54,0,40,20,44,11,42,9,42,156,139,94,86,62,69,31,56,0,40,31,56,149,172,18,53,131,160,46,59,46,59,0,40,913,357,753,330,160,109,30,60,0,40,30,60,38,68,25,53,13,43,14,44,14,44,0,40,76,78,70,77,6,40,168,112,62,75,106,93,34,63,34,63,0,40,207,149,80,78,127,127,518,340,251,165,267,246
5,North Center,30322,978,24819,928,3339,614,2079,418,1260,345,95,84,75,81,20,45,0,43,0,43,0,43,130,79,123,79,7,43,38,48,25,46,13,45,542,202,317,114,225,148,0,43,0,43,0,43,12,45,12,45,0,43,0,43,0,43,0,43,75,80,75,80,0,43,23,46,13,43,10,45,126,78,79,62,47,53,90,71,47,59,43,58,35,51,35,51,0,43,0,43,0,43,0,43,5,42,5,42,0,43,0,43,0,43,0,43,0,43,0,43,0,43,39,68,39,68,0,43,33,49,33,49,0,43,114,93,76,80,38,53,57,65,20,43,37,63,21,48,0,43,21,48,168,113,138,108,30,52,9,44,9,44,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,31,63,21,52,10,44,0,43,0,43,0,43,359,195,283,178,76,71,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,11,45,0,43,11,45,18,51,18,51,0,43,79,89,37,61,42,77,0,43,0,43,0,43,54,75,45,73,9,44
6,Lake View,91635,1609,75003,1669,5825,668,4049,521,1776,365,908,251,805,233,103,97,42,94,42,94,0,66,371,164,360,164,11,67,197,117,156,111,41,74,774,237,634,191,140,130,0,66,0,66,0,66,102,95,102,95,0,66,39,71,25,68,14,69,401,195,379,193,22,67,810,264,388,211,422,175,440,192,281,134,159,149,198,101,125,88,73,83,143,112,128,111,15,67,17,69,17,69,0,66,44,79,21,71,23,75,211,144,163,105,48,99,552,234,546,234,6,66,127,98,118,98,9,67,104,98,66,82,38,85,593,240,528,233,65,87,1124,354,843,277,281,165,310,148,170,117,140,112,345,170,214,145,131,106,0,66,0,66,0,66,0,66,0,66,0,66,183,173,63,77,120,166,0,66,0,66,0,66,249,221,83,84,166,209,291,136,279,135,12,68,703,212,544,190,159,103,13,68,0,66,13,68,0,66,0,66,0,66,10,68,10,68,0,66,56,79,33,70,23,74,379,225,251,164,128,134,229,156,229,156,0,66,816,306,391,166,425,247,26,68,22,68,4,66
7,Lincoln Park,61386,1662,51862,1637,2968,497,2228,435,740,202,1082,351,885,262,197,163,4,50,4,50,0,51,235,114,197,108,38,58,112,106,112,106,0,51,503,336,491,336,12,50,18,54,18,54,0,51,110,93,57,63,53,85,116,89,116,89,0,51,325,168,297,158,28,56,192,105,137,81,55,65,426,202,365,196,61,67,303,139,139,88,164,106,153,117,130,115,23,53,0,51,0,51,0,51,69,64,63,63,6,50,139,96,100,88,39,64,400,267,393,267,7,51,169,147,169,147,0,51,116,103,116,103,0,51,253,136,132,85,121,100,505,167,378,137,127,102,94,103,2,50,92,103,197,122,140,109,57,74,0,51,0,51,0,51,0,51,0,51,0,51,9,52,9,52,0,51,0,51,0,51,0,51,105,76,105,76,0,51,161,110,140,106,21,58,145,88,125,82,20,52,32,59,32,59,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,190,115,190,115,0,51,189,159,174,158,15,54,153,122,100,100,53,85,51,66,23,54,28,64
8,Near North Side,78099,1717,62018,1761,3555,652,2550,479,1005,347,859,268,779,260,80,81,0,54,0,54,0,54,440,194,333,155,107,94,319,155,255,134,64,82,333,128,289,124,44,62,49,64,49,64,0,54,86,87,72,85,14,58,64,71,64,71,0,54,300,176,274,172,26,64,866,256,445,181,421,176,469,212,391,190,78,76,585,254,422,219,163,94,91,84,91,84,0,54,27,60,27,60,0,54,262,168,201,139,61,85,479,229,466,228,13,57,1390,428,1264,407,126,123,385,296,379,295,6,54,200,123,200,123,0,54,340,196,212,127,128,142,1267,337,835,282,432,193,372,242,57,67,315,236,608,248,341,161,267,184,14,59,0,54,14,59,0,54,0,54,0,54,220,193,57,83,163,177,0,54,0,54,0,54,128,106,74,73,54,88,612,257,596,257,16,57,457,230,367,204,90,120,26,62,10,55,16,59,0,54,0,54,0,54,20,62,20,62,0,54,119,102,119,102,0,54,525,263,400,217,125,93,308,142,297,138,11,56,133,104,82,74,51,78,173,140,44,64,129,131
9,Edison Park,10776,481,8933,588,423,202,348,170,75,83,30,35,15,25,15,31,0,25,0,25,0,25,186,139,146,111,40,43,0,25,0,25,0,25,88,69,68,62,20,38,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,94,70,85,67,9,26,0,25,0,25,0,25,481,225,238,144,243,178,117,88,55,55,62,72,105,109,45,40,60,82,0,25,0,25,0,25,11,26,11,26,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,13,29,13,29,0,25,39,38,28,31,11,25,51,63,51,63,0,25,0,25,0,25,0,25,29,54,0,25,29,54,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,80,105,48,58,32,54,60,74,60,74,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,36,47,9,27,27,38
10,Norwood Park,35117,1093,24092,1099,2934,575,1997,482,937,341,186,139,172,138,14,42,0,39,0,39,0,39,450,161,217,102,233,115,18,47,0,39,18,47,266,134,192,114,74,57,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,359,184,270,142,89,74,23,41,11,36,12,40,3905,862,1606,473,2299,508,507,211,279,129,228,133,212,122,134,100,78,81,17,45,17,45,0,39,53,71,17,45,36,67,0,39,0,39,0,39,35,50,10,40,25,43,0,39,0,39,0,39,0,39,0,39,0,39,304,190,266,176,38,43,339,306,241,291,98,99,0,39,0,39,0,39,84,85,51,69,33,57,48,75,22,48,26,51,0,39,0,39,0,39,0,39,0,39,0,39,65,96,28,54,37,62,92,98,13,42,79,88,324,235,274,218,50,51,457,208,279,133,178,122,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,289,166,172,127,117,105,0,39,0,39,0,39,13,41,13,41,0,39,45,56,31,52,14,43
11,Jefferson Park,25022,1127,14448,1010,3224,648,2258,524,966,343,60,72,30,55,30,55,0,29,0,29,0,29,102,75,51,57,51,51,0,29,0,29,0,29,124,75,97,68,27,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,288,172,229,158,59,48,19,36,0,29,19,36,3122,658,1086,275,2036,479,304,176,212,132,92,78,493,357,119,110,374,337,28,49,12,33,16,36,44,78,25,50,19,41,0,29,0,29,0,29,58,100,58,100,0,29,472,497,314,321,158,188,0,29,0,29,0,29,100,98,39,51,61,71,171,164,0,29,171,164,8,31,0,29,8,31,54,79,28,48,26,44,126,151,74,94,52,66,0,29,0,29,0,29,28,49,0,29,28,49,0,29,0,29,0,29,422,231,127,98,295,211,76,71,76,71,0,29,514,289,357,201,157,150,128,160,90,108,38,62,0,29,0,29,0,29,0,29,0,29,0,29,28,42,13,37,15,36,475,468,288,276,187,196,0,29,0,29,0,29,0,29,0,29,0,29,106,125,97,117,9,31
12,Forest Glen,17349,610,11808,733,1604,377,1408,358,196,87,105,73,105,73,0,29,0,29,0,29,0,29,63,50,63,50,0,29,0,29,0,29,0,29,275,116,155,81,120,76,0,29,0,29,0,29,9,31,9,31,0,29,28,51,28,51,0,29,265,133,215,123,50,47,29,54,29,54,0,29,542,239,299,177,243,148,187,141,104,75,83,87,66,52,43,40,23,44,51,48,15,36,36,43,22,45,22,45,0,29,84,100,58,71,26,39,15,37,0,29,15,37,213,147,135,103,78,92,0,29,0,29,0,29,369,276,322,256,47,64,79,64,51,48,28,50,68,89,58,88,10,33,80,72,49,52,31,44,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,435,319,152,143,283,186,33,48,19,41,14,36,418,223,212,152,206,137,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,15,34,15,34,0,29,311,245,195,197,116,129,0,29,0,29,0,29,32,42,32,42,0,29,143,120,81,83,62,90
