area_id,area_name,b17010h001,b17010h001_moe,b17010h002,b17010h002_moe,b17010h003,b17010h003_moe,b17010h004,b17010h004_moe,b17010h005,b17010h005_moe,b17010h006,b17010h006_moe,b17010h007,b17010h007_moe,b17010h008,b17010h008_moe,b17010h009,b17010h009_moe,b17010h010,b17010h010_moe,b17010h011,b17010h011_moe,b17010h012,b17010h012_moe,b17010h013,b17010h013_moe,b17010h014,b17010h014_moe,b17010h015,b17010h015_moe,b17010h016,b17010h016_moe,b17010h017,b17010h017_moe,b17010h018,b17010h018_moe,b17010h019,b17010h019_moe,b17010h020,b17010h020_moe,b17010h021,b17010h021_moe,b17010h022,b17010h022_moe,b17010h023,b17010h023_moe,b17010h024,b17010h024_moe,b17010h025,b17010h025_moe,b17010h026,b17010h026_moe,b17010h027,b17010h027_moe,b17010h028,b17010h028_moe,b17010h029,b17010h029_moe,b17010h030,b17010h030_moe,b17010h031,b17010h031_moe,b17010h032,b17010h032_moe,b17010h033,b17010h033_moe,b17010h034,b17010h034_moe,b17010h035,b17010h035_moe,b17010h036,b17010h036_moe,b17010h037,b17010h037_moe,b17010h038,b17010h038_moe,b17010h039,b17010h039_moe,b17010h040,b17010h040_moe,b17010h041,b17010h041_moe
1,Rogers Park,3741,379,307,129,173,97,63,72,59,73,0,48,4,45,110,80,134,91,38,65,38,65,10,48,0,48,28,65,0,48,96,76,64,69,11,50,18,53,35,63,32,57,3434,364,2690,321,939,207,566,166,159,86,214,94,1751,259,744,189,333,139,168,104,74,75,0,48,94,87,165,101,411,136,182,77,68,58,21,49,93,60,229,118
2,West Ridge,7527,500,822,225,569,190,391,178,62,81,177,129,152,108,178,87,253,131,7,51,0,51,0,51,0,51,0,51,7,51,246,131,102,74,25,58,30,59,47,59,144,119,6705,484,5337,452,2488,321,703,199,698,164,1087,236,2849,357,1368,269,399,146,112,75,7,51,0,51,105,76,287,131,969,226,361,151,71,73,11,53,279,139,608,170
3,Uptown,4748,410,204,89,130,78,28,52,28,52,0,48,0,48,102,72,74,63,0,48,0,48,0,48,0,48,0,48,0,48,74,63,74,63,29,51,0,48,45,58,0,48,4544,403,3699,368,1015,226,556,184,149,111,310,130,2684,322,845,230,259,122,135,104,16,48,0,48,119,102,124,79,586,196,308,129,66,65,0,48,242,120,278,146
4,Lincoln Square,5377,403,252,117,173,106,89,80,32,52,33,64,24,53,84,78,79,64,0,40,0,40,0,40,0,40,0,40,0,40,79,64,36,51,9,41,0,40,27,50,43,54,5125,389,4393,356,1689,254,865,179,282,108,542,150,2704,266,732,182,119,67,76,54,15,41,0,40,61,53,43,54,613,167,378,145,54,67,0,40,324,133,235,108
5,North Center,5874,340,118,66,63,49,32,44,23,45,3,42,6,43,31,48,55,61,0,43,0,43,0,43,0,43,0,43,0,43,55,61,0,43,0,43,0,43,0,43,55,61,5756,339,4982,316,2584,244,1277,197,508,142,799,152,2398,253,774,157,219,86,79,62,33,57,0,43,46,48,140,69,555,136,242,102,67,69,0,43,175,85,313,101
6,Lake View,11814,596,211,100,39,67,18,66,7,66,11,66,0,66,21,67,172,99,32,73,22,72,0,66,22,72,0,66,10,67,140,94,82,90,19,71,0,66,63,87,58,72,11603,590,10229,563,3986,351,2101,277,615,155,1270,212,6243,459,1374,258,542,170,189,129,37,73,0,66,152,125,353,126,832,201,341,157,143,132,0,66,198,106,491,135
7,Lincoln Park,8885,515,203,93,71,67,57,65,15,51,30,63,12,53,14,51,132,83,38,73,0,51,0,51,0,51,0,51,38,73,94,65,54,61,24,54,4,50,26,59,40,53,8682,513,7909,511,3470,339,1248,199,533,132,1689,286,4439,404,773,168,235,103,143,88,20,60,10,52,113,80,92,71,538,139,337,109,106,73,37,59,194,87,201,94
8,Near North Side,10806,633,291,141,184,109,36,79,0,54,0,54,36,79,148,93,107,104,56,83,0,54,0,54,0,54,0,54,56,83,51,82,14,57,0,54,0,54,14,57,37,80,10515,623,9663,606,1498,254,695,182,195,97,608,190,8165,587,852,245,313,147,64,88,0,54,0,54,64,88,249,133,539,192,165,110,0,54,19,63,146,105,374,164
9,Edison Park,2672,201,37,34,30,31,18,28,0,25,7,24,11,28,12,28,7,25,0,25,0,25,0,25,0,25,0,25,0,25,7,25,7,25,0,25,0,25,7,25,0,25,2635,203,2087,183,905,108,99,53,188,80,618,119,1182,160,548,148,206,100,16,24,5,24,0,25,11,26,190,98,342,123,148,88,10,23,0,25,138,87,194,85
10,Norwood Park,8122,357,289,114,220,101,99,84,0,39,61,64,38,66,121,71,69,60,0,39,0,39,0,39,0,39,0,39,0,39,69,60,9,40,0,39,0,39,9,40,60,59,7833,369,6334,366,2332,246,520,144,533,177,1279,199,4002,310,1499,269,444,135,74,84,0,39,0,39,74,84,370,111,1055,233,330,143,67,80,18,43,245,120,725,182
