area_id,area_name,b17020h001,b17020h001_moe,b17020h002,b17020h002_moe,b17020h003,b17020h003_moe,b17020h004,b17020h004_moe,b17020h005,b17020h005_moe,b17020h006,b17020h006_moe,b17020h007,b17020h007_moe,b17020h008,b17020h008_moe,b17020h009,b17020h009_moe,b17020h010,b17020h010_moe,b17020h011,b17020h011_moe,b17020h012,b17020h012_moe,b17020h013,b17020h013_moe,b17020h014,b17020h014_moe,b17020h015,b17020h015_moe,b17020h016,b17020h016_moe,b17020h017,b17020h017_moe
1,Rogers Park,20380,1161,4117,705,114,120,0,48,36,64,68,104,3365,614,302,136,232,125,16263,980,751,190,124,74,179,88,305,128,13505,808,682,184,717,197
2,West Ridge,31171,1836,4799,1215,407,242,113,106,454,293,424,241,2701,606,171,92,529,168,26372,1659,1769,390,333,142,2033,382,1547,316,16176,1200,2371,367,2143,320
3,Uptown,28008,1216,3850,547,72,70,0,48,12,49,12,49,2932,485,221,104,601,185,24158,1120,946,272,88,75,332,158,570,205,20360,927,962,195,900,245
4,Lincoln Square,24061,1178,2048,520,75,73,0,40,100,104,62,72,1608,368,120,91,83,56,22013,1080,1399,272,161,76,640,197,535,167,17243,797,1318,289,717,180
5,North Center,26348,1042,1541,335,28,50,0,43,17,45,15,47,1325,307,100,78,56,51,24807,1054,2760,358,301,99,1155,211,821,182,18362,763,821,175,587,151
6,Lake View,76936,1761,7693,787,59,90,9,67,52,86,83,107,6913,743,230,117,347,131,69243,1738,3498,435,568,164,1706,278,982,212,57931,1446,2443,348,2115,284
7,Lincoln Park,50792,1626,5195,657,64,65,0,51,94,96,39,63,4626,608,174,94,198,103,45597,1634,2337,341,281,96,2315,515,1325,297,35936,1143,2228,302,1175,214
8,Near North Side,56695,1593,4675,660,0,54,0,54,0,54,43,73,3878,607,346,136,408,181,52020,1575,1151,271,189,102,612,232,554,211,39808,1412,5973,572,3733,412
9,Edison Park,10265,576,319,158,7,24,0,25,18,28,31,43,194,120,30,35,39,36,9946,572,342,102,74,55,764,172,742,187,6523,431,623,132,878,151
10,Norwood Park,29750,1044,1565,443,61,64,0,39,131,117,48,68,879,301,117,83,329,136,28185,1105,1429,302,310,140,2010,344,1087,300,17340,785,2664,308,3345,339
11,Jefferson Park,18037,1176,1310,355,26,39,11,32,108,75,151,131,664,198,101,73,249,119,16727,1188,872,273,113,64,810,213,877,277,11096,833,1327,238,1632,286
12,Forest Glen,13354,701,507,186,0,29,0,29,0,29,0,29,259,132,92,107,156,79,12847,717,777,175,212,86,868,182,884,197,7632,496,1222,197,1252,199
13,North Park,9110,834,620,196,23,35,0,27,0,27,0,27,366,134,99,109,132,74,8490,826,313,108,52,40,531,211,715,203,5109,574,936,266,834,193
14,Albany Park,15327,1059,2184,619,178,173,41,68,104,96,51,75,1599,447,96,73,115,99,13143,970,895,233,140,82,461,149,622,228,9615,686,730,205,680,173
15,Portage Park,32317,1375,3300,690,95,74,12,49,249,149,380,197,2195,443,190,106,179,98,29017,1299,956,238,224,104,1252,299,1317,283,20030,975,2538,332,2700,333
16,Irving Park,24058,1172,2503,445,81,78,0,47,70,81,0,47,1997,378,242,121,113,70,21555,1110,1561,315,235,135,945,209,807,205,15488,850,1429,248,1090,202
