area_id,area_name,b19013b001,b19013b001_moe
1,Rogers Park,397813,78505
2,West Ridge,545124,482479
3,Uptown,248077,178610
4,Lincoln Square,294886,168410
5,North Center,99438,52735
6,Lake View,497325,323900
7,Lincoln Park,362775,229999
8,Near North Side,856508,345429
12,Forest Glen,104167,296436
13,North Park,171171,137204
14,Albany Park,350018,310329
15,Portage Park,267538,198272
16,Irving Park,397241,123128
17,Dunning,35583,16314
18,Montclare,142096,44500
19,Belmont Cragin,437898,178765
20,Hermosa,53667,38265
21,Avondale,458044,252978
22,Logan Square,817248,466900
23,Humboldt Park,450102,136214
24,West Town,896513,598607
25,Austin,772263,50297
26,West Garfield Park,247083,34485
27,East Garfield Park,301637,34300
28,Near West Side,716007,190437
29,North Lawndale,354605,51633
30,South Lawndale,228116,178882
31,Lower West Side,140992,60683
32,Loop,215186,88913
33,Near South Side,108017,16153
34,Armour Square,68800,32262
35,Douglas,300187,39731
36,Oakland,58092,9100
37,Fuller Park,31018,4614
38,Grand Boulevard,409424,47313
39,Kenwood,266821,33901
40,Washington Park,153266,26189
41,Hyde Park,440316,71133
42,Woodlawn,274084,28505
43,South Shore,469803,38684
44,Chatham,334209,25326
45,Avalon Park,83685,14447
46,South Chicago,273048,29231
47,Burnside,26111,13818
48,Calumet Heights,271724,24700
49,Roseland,553112,41356
50,Pullman,112688,26299
51,South Deering,107702,57569
52,East Side,196485,120071
53,West Pullman,302489,35609
54,Riverdale,28472,3148
55,Hegewisch,64147,52026
56,Garfield Ridge,382558,323785
57,Archer Heights,70104,65973
58,Brighton Park,198258,137146
59,McKinley Park,52782,60790
60,Bridgeport,70435,114686
61,New City,394515,98691
62,West Elsdon,158780,149335
63,Gage Park,110670,74049
64,Clearing,67639,34795
65,West Lawn,139467,63937
66,Chicago Lawn,300027,39331
67,West Englewood,522500,39404
68,Englewood,217988,26969
69,Greater Grand Crossing,360017,33013
70,Ashburn,686059,60456
71,Auburn Gresham,443932,32942
72,Beverly,486076,138348
73,Washington Heights,350639,29774
74,Mount Greenwood,142208,164239
75,Morgan Park,357235,53664
76,O'Hare,177138,218236
77,Edgewater,478593,236357
