area_id,area_name,b19101001,b19101001_moe,b19101002,b19101002_moe,b19101003,b19101003_moe,b19101004,b19101004_moe,b19101005,b19101005_moe,b19101006,b19101006_moe,b19101007,b19101007_moe,b19101008,b19101008_moe,b19101009,b19101009_moe,b19101010,b19101010_moe,b19101011,b19101011_moe,b19101012,b19101012_moe,b19101013,b19101013_moe,b19101014,b19101014_moe,b19101015,b19101015_moe,b19101016,b19101016_moe,b19101017,b19101017_moe
1,Rogers Park,10091,605,777,242,631,187,527,171,685,209,351,154,597,191,477,162,400,148,421,152,711,212,1036,246,1021,215,804,191,672,177,545,175,436,137
2,West Ridge,16321,613,800,228,869,238,926,263,692,214,918,244,744,218,924,262,964,247,828,239,1490,291,1579,289,2009,315,1216,246,1000,230,885,216,477,149
3,Uptown,9232,572,865,241,415,154,628,187,195,113,418,162,526,193,152,96,281,164,107,71,619,189,554,172,1321,266,876,209,591,187,913,214,771,163
4,Lincoln Square,8394,466,334,153,248,127,174,83,374,148,332,129,319,140,255,109,355,134,412,160,582,156,815,186,1299,222,730,167,536,134,737,168,892,197
5,North Center,7252,362,81,64,54,49,88,52,130,86,204,119,111,82,132,61,189,102,194,95,261,86,464,112,787,168,912,170,627,138,1010,174,2008,216
6,Lake View,14864,634,312,150,273,123,318,153,225,110,218,103,204,93,253,107,281,123,315,124,505,148,853,196,1929,298,1451,257,1495,256,1972,254,4260,356
7,Lincoln Park,10261,528,190,86,138,92,58,63,135,82,35,54,184,95,133,85,115,83,73,58,336,125,374,120,776,190,1095,214,784,173,1349,238,4486,399
8,Near North Side,15079,781,823,226,279,134,247,128,172,100,349,154,287,254,200,117,116,88,190,99,565,179,968,256,1491,298,1310,277,706,196,2115,383,5261,461
9,Edison Park,2829,194,0,25,30,34,21,30,28,26,80,63,95,61,72,44,50,34,84,53,164,81,261,100,515,143,456,127,243,79,376,109,354,115
10,Norwood Park,9614,389,161,89,100,64,85,62,252,129,330,113,298,126,483,162,327,112,112,62,743,194,897,183,1947,273,1396,262,760,192,1166,213,557,165
11,Jefferson Park,6374,356,122,85,88,50,139,78,267,104,308,129,291,118,315,130,164,69,201,91,477,154,720,192,1078,213,763,158,539,143,573,162,329,131
12,Forest Glen,4867,213,162,93,32,40,106,75,44,39,71,50,43,39,165,108,125,80,93,53,168,66,411,115,542,149,536,150,734,165,655,134,980,189
13,North Park,4250,254,151,94,146,93,273,133,201,101,122,84,124,64,194,105,185,89,146,101,366,120,375,137,701,145,360,97,252,100,291,103,363,112
14,Albany Park,10842,482,508,183,441,166,776,228,652,183,728,213,435,148,476,179,628,194,567,170,913,215,1059,235,1333,253,845,189,397,124,590,156,494,136
15,Portage Park,14935,511,769,227,354,135,429,139,553,181,511,153,648,206,745,196,921,233,613,176,1155,245,1952,291,2580,329,1673,252,772,189,942,204,318,115
16,Irving Park,12442,497,403,157,504,171,557,170,587,174,697,174,804,207,336,111,599,177,640,179,771,192,1153,242,1819,295,1160,230,561,148,852,187,999,195
17,Dunning,10702,388,276,120,266,116,293,105,317,100,367,119,433,137,389,119,540,148,413,128,758,174,1472,237,2069,280,1478,211,689,178,611,165,331,114
18,Montclare,2909,245,175,106,107,69,108,73,132,70,177,107,141,96,183,80,187,104,98,59,306,114,263,109,394,120,346,120,139,83,69,58,84,58
19,Belmont Cragin,16806,526,988,244,977,246,1081,239,1024,232,1164,243,990,236,1165,240,870,194,866,226,1796,295,1763,280,1977,292,1164,240,552,157,355,131,74,67
20,Hermosa,5456,268,255,119,301,127,464,162,289,117,409,140,347,121,385,137,293,101,296,124,627,183,683,178,562,164,225,107,159,83,153,91,8,27
21,Avondale,8793,441,390,148,347,126,393,145,559,165,438,144,661,184,534,165,500,172,560,176,998,214,1148,221,799,194,527,152,514,157,261,106,164,83
22,Logan Square,14728,559,814,195,1048,224,677,179,757,191,909,211,841,195,724,186,646,165,438,137,1025,231,1230,223,1207,220,1280,222,866,160,1129,192,1137,165
23,Humboldt Park,11493,468,2210,320,688,180,922,224,794,194,853,207,615,157,698,194,535,163,392,127,929,211,1118,226,934,192,344,129,199,103,183,89,79,74
24,West Town,15867,600,855,194,629,174,688,174,854,200,606,167,459,150,428,133,499,134,442,134,857,188,1302,210,1394,224,1316,229,1318,221,1753,246,2467,270
25,Austin,22153,667,2405,343,1623,297,1952,318,1617,278,1553,284,1501,263,1225,236,945,203,962,208,1664,271,1692,268,2244,308,1263,254,652,162,489,165,366,125
26,West Garfield Park,4060,269,986,175,194,77,382,123,410,131,193,81,327,103,177,77,236,102,116,69,307,105,241,99,314,103,108,64,69,60,0,35,0,35
27,East Garfield Park,4480,287,1088,195,356,119,226,83,293,97,391,122,246,100,265,96,210,101,82,52,280,118,239,91,484,139,173,86,35,43,94,63,18,49
28,Near West Side,9977,505,972,207,297,111,285,114,310,108,550,170,248,93,283,110,203,89,239,106,476,135,822,218,1048,194,845,167,782,173,1094,194,1523,250
29,North Lawndale,7738,394,1755,245,706,157,723,151,631,150,520,143,400,115,436,123,269,102,195,87,522,126,606,155,566,154,218,90,32,44,80,63,79,74
30,South Lawndale,13134,474,1090,218,1125,231,1591,263,1385,258,827,192,1100,222,1074,233,827,193,570,154,1098,222,838,178,942,204,322,121,222,96,83,72,40,64
31,Lower West Side,7273,405,457,136,494,154,748,173,518,132,528,137,572,157,455,136,476,125,298,101,636,174,658,173,732,169,292,109,202,101,129,67,78,57
32,Loop,4775,482,207,133,19,39,26,39,82,82,79,69,24,34,56,50,64,56,46,44,113,71,287,145,349,143,655,210,590,205,803,232,1375,291
33,Near South Side,3892,405,279,190,39,54,86,71,89,119,54,65,44,41,62,71,37,36,60,43,189,104,173,90,574,196,396,156,266,118,533,133,1011,291
34,Armour Square,3330,239,344,141,545,147,385,140,177,84,243,106,108,72,181,87,136,72,92,51,204,77,266,109,258,116,166,107,112,76,84,67,29,35
35,Douglas,3423,283,426,115,272,116,198,89,220,85,169,84,220,94,166,79,170,81,98,60,250,100,368,112,291,114,235,92,97,56,152,77,91,50
36,Oakland,1632,157,337,112,91,55,163,82,174,89,81,60,79,62,68,51,101,67,21,21,20,30,93,54,110,65,103,65,48,49,110,63,33,36
37,Fuller Park,562,105,32,24,87,62,56,35,19,24,102,70,21,20,52,46,26,22,51,47,22,21,27,29,63,37,4,13,0,16,0,16,0,16
38,Grand Boulevard,4782,311,775,178,276,89,313,116,353,120,239,105,262,100,220,97,176,102,88,70,424,125,364,132,357,106,350,135,121,79,258,92,206,92
39,Kenwood,3732,339,481,150,120,76,314,118,126,75,178,101,229,97,144,64,110,61,45,37,206,105,196,87,391,139,295,108,201,75,212,89,484,113
40,Washington Park,2542,214,655,138,271,105,200,82,116,60,208,95,56,43,153,72,119,58,132,62,103,62,97,55,259,86,119,70,23,31,21,41,10,28
41,Hyde Park,4578,322,328,131,124,89,98,66,59,61,144,76,77,55,207,106,130,84,147,88,288,100,481,126,502,131,484,130,251,82,557,134,701,128
42,Woodlawn,4984,327,676,141,443,127,375,123,441,140,319,133,421,117,174,87,287,109,151,71,222,89,438,125,453,117,155,76,200,92,114,80,115,85
43,South Shore,9813,568,1328,258,676,220,585,160,654,206,632,204,495,149,590,193,591,186,392,169,834,229,944,217,995,226,527,145,266,108,176,73,128,90
44,Chatham,7688,453,741,212,540,174,782,206,439,152,607,192,444,138,328,114,338,145,326,142,727,197,705,201,728,172,395,126,229,90,271,112,88,63
45,Avalon Park,2377,235,201,89,133,79,102,56,152,90,109,67,131,75,86,48,48,38,155,88,185,90,173,82,338,117,313,110,122,67,103,58,26,30
46,South Chicago,6687,408,748,158,725,177,445,161,435,126,449,153,343,127,276,113,452,166,307,123,379,130,618,157,647,164,381,124,221,136,204,129,57,60
47,Burnside,747,106,88,66,60,49,126,67,11,20,67,53,79,52,37,42,0,11,12,19,40,33,114,68,43,35,8,17,29,40,13,20,20,22
48,Calumet Heights,3763,223,170,98,97,63,148,93,198,84,205,98,169,75,32,33,182,109,214,101,400,127,389,127,649,161,391,136,137,81,238,134,144,80
49,Roseland,10321,431,952,200,593,165,569,139,676,171,558,165,684,164,641,179,447,132,681,181,975,202,1087,213,1158,216,622,169,365,109,212,85,101,85
50,Pullman,1828,180,201,94,170,92,89,59,111,59,79,50,150,63,23,29,104,61,87,54,156,64,162,83,307,102,127,69,47,37,3,17,12,22
51,South Deering,3868,216,548,145,272,118,266,99,316,119,285,120,187,87,171,81,217,110,153,81,239,82,482,162,402,121,183,86,103,77,27,41,17,37
52,East Side,5310,276,448,146,281,112,345,125,260,106,320,117,404,137,297,104,222,88,217,94,363,118,656,178,589,149,368,118,285,108,184,92,71,72
53,West Pullman,6773,352,701,156,528,166,565,181,494,146,259,99,448,150,296,111,297,129,260,97,508,151,700,195,747,183,470,150,181,79,197,99,122,74
54,Riverdale,1712,176,475,143,311,108,139,77,155,86,48,36,69,73,143,70,42,33,60,61,100,72,63,51,107,81,0,16,0,16,0,16,0,16
55,Hegewisch,2528,263,160,132,120,74,97,72,158,130,191,126,167,108,142,99,43,42,134,114,154,92,231,127,413,135,229,105,62,79,175,82,52,68
56,Garfield Ridge,8491,282,231,120,181,90,280,115,229,82,244,95,444,146,239,91,296,101,394,120,725,171,1037,193,1447,230,1067,217,716,170,772,171,189,79
57,Archer Heights,2987,176,132,83,88,68,79,54,196,96,205,83,170,81,343,114,194,88,154,61,261,82,469,118,323,97,115,57,144,74,87,57,27,36
58,Brighton Park,9369,385,650,172,491,159,698,169,848,195,855,198,836,197,685,166,478,139,460,147,755,177,1065,224,823,182,352,134,197,99,121,76,55,68
59,McKinley Park,3760,236,202,79,143,74,296,120,284,100,292,96,243,86,294,118,140,69,231,105,409,142,361,106,448,141,188,76,150,64,69,50,10,27
60,Bridgeport,7506,381,318,118,355,110,648,155,459,137,371,133,372,125,367,109,368,112,310,106,711,157,717,158,1043,202,550,136,288,85,321,101,308,100
61,New City,8925,385,989,195,565,149,748,171,740,170,765,167,834,191,473,135,380,115,424,121,781,174,734,151,780,155,368,115,138,79,182,84,24,53
62,West Elsdon,4075,196,239,106,99,60,201,93,181,85,219,89,390,123,266,114,247,95,188,87,403,126,453,134,657,161,382,116,83,49,38,36,29,31
63,Gage Park,7786,291,486,146,355,116,416,136,662,160,734,182,631,164,542,160,508,140,398,130,820,186,837,197,740,189,382,131,129,76,114,74,32,43
64,Clearing,5806,286,137,81,191,102,261,130,213,112,242,114,181,81,276,108,203,88,328,164,703,187,717,179,1039,204,624,148,321,129,295,134,75,44
65,West Lawn,7238,304,257,120,297,132,254,119,492,178,372,133,600,188,348,134,585,174,321,132,823,219,811,192,988,202,600,166,169,83,257,118,64,47
66,Chicago Lawn,11626,462,1230,239,608,172,1033,227,718,193,785,194,860,193,779,197,631,191,704,213,929,203,1032,206,1342,253,671,178,142,84,135,66,27,50
67,West Englewood,7445,359,1048,196,526,137,928,177,666,137,612,142,501,136,469,132,369,110,281,102,494,130,608,144,590,132,212,86,87,70,22,50,32,49
68,Englewood,6230,367,1364,224,593,150,784,173,456,131,449,130,369,122,313,119,188,71,302,107,372,118,366,119,409,103,138,83,29,39,19,41,79,62
69,Greater Grand Crossing,7182,406,1201,225,470,122,689,180,479,137,479,157,453,143,419,127,271,101,200,86,679,167,519,134,529,150,359,125,140,80,152,73,143,91
70,Ashburn,10042,362,357,148,329,139,274,117,396,134,443,163,300,135,494,155,336,115,279,110,733,196,1479,266,1740,276,1295,229,749,205,666,192,172,122
71,Auburn Gresham,11249,469,1273,237,824,197,759,182,1062,219,869,197,433,136,649,169,620,162,477,142,1082,217,1001,207,1084,212,472,137,295,120,240,103,109,77
72,Beverly,5272,243,79,61,8,29,106,63,85,64,72,51,82,60,129,73,111,50,161,83,261,108,518,127,804,144,723,170,600,117,795,158,738,135
73,Washington Heights,6172,325,312,126,487,167,302,128,283,134,449,136,390,138,290,114,248,100,405,134,492,158,644,146,675,160,769,172,243,84,128,67,55,50
74,Mount Greenwood,4638,243,78,89,0,25,60,50,59,43,90,61,98,76,66,48,114,77,54,48,189,86,441,123,1001,206,989,197,499,153,734,168,166,77
75,Morgan Park,5201,320,226,106,212,85,200,104,167,80,288,160,111,68,91,55,277,133,105,69,345,107,421,128,808,178,876,208,429,137,426,139,219,76
76,O'Hare,3444,325,80,79,111,93,193,117,238,179,232,139,99,85,75,59,372,162,115,87,324,149,386,154,687,223,318,159,88,78,126,90,0,38
77,Edgewater,9549,575,641,202,407,169,523,196,428,158,548,186,318,115,431,145,229,110,333,146,388,136,1052,230,1303,261,863,221,781,200,627,175,677,166
