area_id,area_name,b19113h001,b19113h001_moe
1,Rogers Park,1057200,136519
2,West Ridge,943515,90065
3,Uptown,1292419,109491
4,Lincoln Square,1060178,121537
5,North Center,2100712,179935
6,Lake View,5023901,356523
7,Lincoln Park,2889745,232033
8,Near North Side,2789929,315243
9,Edison Park,280129,28588
10,Norwood Park,711280,54887
11,Jefferson Park,457309,73180
12,Forest Glen,494274,41251
13,North Park,402344,80256
14,Albany Park,718149,148310
15,Portage Park,958890,88476
16,Irving Park,1246394,161782
17,Dunning,810130,51515
18,Montclare,129389,23848
19,Belmont Cragin,964821,186848
20,Hermosa,412869,111881
21,Avondale,633714,87431
22,Logan Square,2821007,244628
23,Humboldt Park,594831,248344
24,West Town,4003827,311710
25,Austin,654027,231883
27,East Garfield Park,223534,146291
28,Near West Side,2010002,281138
29,North Lawndale,164186,76857
30,South Lawndale,406372,127066
31,Lower West Side,675365,207758
32,Loop,759078,109370
33,Near South Side,397342,63728
34,Armour Square,267754,110116
35,Douglas,634283,161811
36,Oakland,266419,136571
38,Grand Boulevard,290767,104384
39,Kenwood,804690,212737
41,Hyde Park,1294669,228942
42,Woodlawn,421400,180323
43,South Shore,373812,360147
46,South Chicago,273662,216559
48,Calumet Heights,123873,50585
49,Roseland,175893,9362
50,Pullman,97188,17733
51,South Deering,136300,46595
52,East Side,274691,45794
53,West Pullman,203348,194252
55,Hegewisch,134068,34775
56,Garfield Ridge,700612,88294
57,Archer Heights,288006,46799
58,Brighton Park,427148,152418
59,McKinley Park,247037,62133
60,Bridgeport,671484,76990
61,New City,431787,59343
62,West Elsdon,285676,48209
63,Gage Park,445117,116090
64,Clearing,479954,116947
65,West Lawn,387414,82626
66,Chicago Lawn,446639,189210
70,Ashburn,656051,118107
72,Beverly,818790,64131
74,Mount Greenwood,395514,20996
75,Morgan Park,454588,81079
76,O'Hare,171470,19045
77,Edgewater,1308943,193867
