area_id,area_name,b20005c001,b20005c001_moe,b20005c002,b20005c002_moe,b20005c003,b20005c003_moe,b20005c004,b20005c004_moe,b20005c005,b20005c005_moe,b20005c006,b20005c006_moe,b20005c007,b20005c007_moe,b20005c008,b20005c008_moe,b20005c009,b20005c009_moe,b20005c010,b20005c010_moe,b20005c011,b20005c011_moe,b20005c012,b20005c012_moe,b20005c013,b20005c013_moe,b20005c014,b20005c014_moe,b20005c015,b20005c015_moe,b20005c016,b20005c016_moe,b20005c017,b20005c017_moe,b20005c018,b20005c018_moe,b20005c019,b20005c019_moe,b20005c020,b20005c020_moe,b20005c021,b20005c021_moe,b20005c022,b20005c022_moe,b20005c023,b20005c023_moe,b20005c024,b20005c024_moe,b20005c025,b20005c025_moe,b20005c026,b20005c026_moe,b20005c027,b20005c027_moe,b20005c028,b20005c028_moe,b20005c029,b20005c029_moe,b20005c030,b20005c030_moe,b20005c031,b20005c031_moe,b20005c032,b20005c032_moe,b20005c033,b20005c033_moe,b20005c034,b20005c034_moe,b20005c035,b20005c035_moe,b20005c036,b20005c036_moe,b20005c037,b20005c037_moe,b20005c038,b20005c038_moe,b20005c039,b20005c039_moe,b20005c040,b20005c040_moe,b20005c041,b20005c041_moe,b20005c042,b20005c042_moe,b20005c043,b20005c043_moe,b20005c044,b20005c044_moe,b20005c045,b20005c045_moe,b20005c046,b20005c046_moe,b20005c047,b20005c047_moe,b20005c048,b20005c048_moe,b20005c049,b20005c049_moe,b20005c050,b20005c050_moe,b20005c051,b20005c051_moe,b20005c052,b20005c052_moe,b20005c053,b20005c053_moe,b20005c054,b20005c054_moe,b20005c055,b20005c055_moe,b20005c056,b20005c056_moe,b20005c057,b20005c057_moe,b20005c058,b20005c058_moe,b20005c059,b20005c059_moe,b20005c060,b20005c060_moe,b20005c061,b20005c061_moe,b20005c062,b20005c062_moe,b20005c063,b20005c063_moe,b20005c064,b20005c064_moe,b20005c065,b20005c065_moe,b20005c066,b20005c066_moe,b20005c067,b20005c067_moe,b20005c068,b20005c068_moe,b20005c069,b20005c069_moe,b20005c070,b20005c070_moe,b20005c071,b20005c071_moe,b20005c072,b20005c072_moe,b20005c073,b20005c073_moe,b20005c074,b20005c074_moe,b20005c075,b20005c075_moe,b20005c076,b20005c076_moe,b20005c077,b20005c077_moe,b20005c078,b20005c078_moe,b20005c079,b20005c079_moe,b20005c080,b20005c080_moe,b20005c081,b20005c081_moe,b20005c082,b20005c082_moe,b20005c083,b20005c083_moe,b20005c084,b20005c084_moe,b20005c085,b20005c085_moe,b20005c086,b20005c086_moe,b20005c087,b20005c087_moe,b20005c088,b20005c088_moe,b20005c089,b20005c089_moe,b20005c090,b20005c090_moe,b20005c091,b20005c091_moe,b20005c092,b20005c092_moe,b20005c093,b20005c093_moe,b20005c094,b20005c094_moe,b20005c095,b20005c095_moe
1,Rogers Park,88,102,28,65,12,49,0,48,12,49,0,48,0,48,0,48,0,48,0,48,0,48,12,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,16,52,0,48,16,52,0,48,0,48,0,48,0,48,0,48,16,52,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,60,67,41,56,0,48,41,56,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,13,51,3,47,0,48,0,48,0,48,16,53,0,48,0,48,9,48,0,48,0,48,0,48,19,49,19,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,West Ridge,231,180,103,95,74,89,0,51,74,89,0,51,0,51,0,51,0,51,0,51,39,77,0,51,0,51,0,51,26,66,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,9,53,29,61,29,61,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,128,124,79,84,0,51,79,84,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,31,72,0,51,22,62,0,51,0,51,16,57,0,51,0,51,10,53,0,51,0,51,0,51,49,71,49,71,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
3,Uptown,211,119,163,110,38,61,0,48,38,61,0,48,0,48,0,48,0,48,0,48,0,48,0,48,38,61,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,125,102,85,90,40,68,0,48,0,48,0,48,0,48,27,66,0,48,0,48,0,48,13,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,48,61,37,61,0,48,37,61,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,24,59,0,48,0,48,13,49,11,48,0,48,11,48,10,48,0,48,0,48,1,45,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
4,Lincoln Square,216,169,40,53,10,42,0,40,10,42,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,3,41,0,40,0,40,0,40,0,40,0,40,0,40,7,40,0,40,0,40,30,52,26,51,4,39,4,39,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,176,152,131,139,0,40,131,139,0,40,8,41,0,40,47,83,0,40,0,40,0,40,14,44,0,40,13,43,0,40,11,42,0,40,0,40,0,40,0,40,34,65,4,39,0,40,0,40,45,61,45,61,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
5,North Center,81,70,68,68,32,49,0,43,32,49,0,43,0,43,16,48,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,8,44,0,43,0,43,0,43,0,43,0,43,8,43,36,62,6,43,30,63,0,43,30,63,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,13,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,13,46,13,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
6,Lake View,210,164,174,160,167,160,0,66,167,160,14,68,0,66,12,67,0,66,0,66,0,66,0,66,0,66,0,66,0,66,12,68,0,66,0,66,0,66,0,66,12,68,0,66,113,156,0,66,4,66,7,66,0,66,7,66,7,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,36,68,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,36,68,24,69,12,66,0,66,5,66,0,66,7,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66
7,Lincoln Park,122,88,59,70,30,67,0,51,30,67,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,30,67,0,51,0,51,0,51,0,51,29,54,6,51,23,54,0,51,4,50,5,51,0,51,0,51,0,51,0,51,14,54,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,63,65,14,54,0,51,14,54,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,14,54,0,51,0,51,0,51,0,51,0,51,0,51,0,51,49,62,5,50,44,62,13,54,31,59,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,213,158,22,60,22,60,0,54,22,60,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,22,60,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,191,156,123,145,0,54,123,145,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,82,132,41,81,68,79,43,71,25,65,10,55,0,54,0,54,15,58,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,37,71,15,47,15,47,0,39,15,47,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,15,47,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,22,47,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,22,47,22,47,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,47,52,27,45,27,45,0,29,27,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,27,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,20,39,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,20,39,20,39,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,21,40,21,40,21,40,0,29,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,42,48,30,41,30,41,0,27,30,41,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,15,33,0,27,0,27,0,27,0,27,0,27,0,27,0,27,15,34,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,12,22,9,26,0,27,9,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,9,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,3,23,3,23,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
14,Albany Park,113,96,71,65,39,61,0,45,39,61,0,45,0,45,0,45,0,45,0,45,0,45,13,48,0,45,0,45,0,45,0,45,15,48,0,45,0,45,11,45,0,45,0,45,0,45,0,45,0,45,32,48,13,48,19,44,0,45,0,45,0,45,0,45,0,45,0,45,9,44,0,45,0,45,0,45,10,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,42,61,10,45,0,45,10,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,10,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,32,54,32,54,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
15,Portage Park,141,139,81,92,35,59,0,47,35,59,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,17,53,0,47,0,47,0,47,0,47,18,53,0,47,0,47,0,47,46,66,5,47,41,66,7,48,0,47,0,47,0,47,16,52,0,47,13,49,0,47,5,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,60,68,30,53,0,47,30,53,0,47,0,47,0,47,0,47,0,47,0,47,15,51,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,5,47,0,47,0,47,10,49,30,52,12,49,18,49,0,47,0,47,0,47,5,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,13,49,0,47
16,Irving Park,136,131,75,85,50,78,0,47,50,78,0,47,0,47,0,47,0,47,0,47,0,47,7,48,0,47,1,46,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,42,79,0,47,0,47,25,56,1,46,24,57,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,24,57,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,61,86,12,50,0,47,12,50,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,12,50,0,47,0,47,0,47,0,47,0,47,0,47,0,47,49,84,49,84,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
17,Dunning,86,97,71,80,12,39,0,40,12,39,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,6,40,0,40,0,40,0,40,0,40,0,40,6,40,0,40,59,80,34,58,25,50,25,50,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,15,44,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,15,44,15,44,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
18,Montclare,1,16,1,16,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,1,16,1,16,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
