area_id,area_name,b20017h001,b20017h001_moe,b20017h002,b20017h002_moe,b20017h003,b20017h003_moe,b20017h004,b20017h004_moe,b20017h005,b20017h005_moe,b20017h006,b20017h006_moe,b20017h007,b20017h007_moe
1,Rogers Park,370150,41160,432653,76553,628209,96044,166838,48859,361653,59122,578802,61093,166381,49955
2,West Ridge,475283,45149,544593,61013,687902,56833,207451,83887,422398,61896,580449,81958,227939,57922
3,Uptown,584165,34506,628702,66381,814749,63404,258622,67593,553374,39517,683212,43814,206600,61512
4,Lincoln Square,497916,24407,543995,42895,675683,69832,213776,60252,455577,26044,585397,40828,209419,42282
5,North Center,826450,41701,964199,76150,1108765,86698,427546,140511,724002,52011,862450,62906,312830,89455
6,Lake View,1761906,65909,2201582,123384,2671255,127628,870874,216787,1474534,64902,1873034,102568,619950,90162
7,Lincoln Park,1169311,73924,1442215,101674,1920759,233979,477314,162725,948099,58529,1280593,104000,337771,86185
8,Near North Side,1349758,68790,1786382,159771,2106565,202646,657518,355640,1110920,77605,1415199,116519,485896,167811
9,Edison Park,139994,21446,196558,21442,232456,19345,39944,22198,114682,12225,161449,23351,54541,27375
10,Norwood Park,311485,23853,373812,40021,479668,35896,144539,30145,264104,28004,344558,29710,99596,15977
11,Jefferson Park,201473,25070,236209,29314,318851,41984,107874,49355,167080,26215,264317,28907,75281,13660
12,Forest Glen,214898,18262,265338,25856,320263,20070,56392,36107,153881,27748,253567,43597,67220,13581
13,North Park,141006,25271,173191,52839,266685,42902,46699,17541,114352,23685,214857,50347,42149,17186
14,Albany Park,337506,47637,365262,84020,543734,75662,125877,50623,324315,60803,524284,83768,106306,37614
15,Portage Park,465797,28605,569318,66197,728002,76449,264374,58831,401929,37189,597864,183604,205096,34590
16,Irving Park,619188,41496,663204,78882,872533,100076,233240,74801,564773,61327,775414,83499,222190,58820
17,Dunning,360052,22878,432774,38651,580894,49543,181741,42634,273811,24211,409328,28381,157456,22939
18,Montclare,65765,10305,72488,15884,106029,18556,40278,14003,53802,17144,74494,11165,23134,7536
19,Belmont Cragin,289111,52061,340511,45228,405980,70326,253557,117024,231374,37394,280459,56425,123735,31581
20,Hermosa,88068,21653,91008,56001,178189,67232,67593,35794,69230,42900,143623,44782,29328,15435
21,Avondale,340916,29024,354365,44824,449376,88958,199085,43627,319937,54623,419020,66506,142298,46224
22,Logan Square,1040926,68489,1187327,72703,1389137,80121,467086,83441,907684,77356,1207297,73920,481190,62717
23,Humboldt Park,108608,14216,106006,18859,111993,23388,57953,42027,121192,37807,133107,102964,34884,39591
24,West Town,1471928,53456,1744909,100014,2030063,126322,847548,192008,1301380,68537,1621186,79595,558435,159025
25,Austin,41706,8437,41556,13074,60968,9344,12725,2715,41910,11549,62250,10060,10938,16599
28,Near West Side,713218,63294,816640,118889,1062591,128298,205365,98860,684993,86606,989092,144909,245935,84135
30,South Lawndale,30655,8944,24811,21581,24508,25119,31111,677,31667,5550,32396,3235,7063,75866
31,Lower West Side,249196,26889,220015,72920,383943,78689,111572,60793,238896,43863,375631,104758,177860,65822
32,Loop,231257,19459,259629,39533,329667,54281,61644,30283,200550,22489,256182,34533,49857,20221
33,Near South Side,136105,23952,140069,46398,163534,48038,44279,34162,125277,27212,159236,19663,28637,19237
34,Armour Square,143481,51900,121043,66466,171075,49873,99139,139346,165816,63329,196328,63850,56136,72971
35,Douglas,176421,95618,191764,120188,300130,105024,112420,132494,134148,119396,188479,46134,152542,92433
39,Kenwood,132776,35011,165494,141197,237059,253316,43604,125108,129449,48809,162800,53217,47828,105164
41,Hyde Park,317151,46000,371157,86840,775110,191487,94264,61111,294881,75129,627961,105769,100037,74099
42,Woodlawn,90348,72976,106728,38687,176158,77548,61821,20326,36293,49395,181927,52937,14834,18522
50,Pullman,43218,15753,32875,33979,46875,23752,11979,9150,48500,11847,49500,14771,5000,24567
52,East Side,80665,20444,95365,46628,150965,140411,28474,20352,77479,19581,93216,32314,52980,16797
55,Hegewisch,88336,8331,115959,22221,128689,22661,44185,29367,84742,15199,88315,6330,27331,18626
56,Garfield Ridge,232515,32864,305522,62242,426417,47224,116995,34461,190169,16840,283508,45615,102812,21353
57,Archer Heights,98857,32612,104622,32761,124877,32781,38961,14957,70699,18087,89711,117947,42651,15263
58,Brighton Park,132991,52746,157748,49668,231298,86707,71714,42427,102643,39072,155148,55186,88833,65173
59,McKinley Park,92369,23382,105603,38335,196329,56401,63516,46689,62011,28466,111349,50723,35153,14354
60,Bridgeport,333467,32944,397429,66246,494073,60619,144454,364365,312368,33460,381706,45363,188028,70938
61,New City,113076,17797,128212,26615,151335,46720,66449,34255,98029,60567,135099,30132,115216,79501
62,West Elsdon,118191,22023,148150,29082,171140,38102,40411,36734,90168,31895,139367,42344,53554,18095
64,Clearing,244550,42947,250374,120844,485380,173539,108202,33358,234499,50428,293443,64792,124442,58135
65,West Lawn,163501,43028,210735,72431,284092,52631,46976,67552,118304,54283,219860,71056,80194,49144
66,Chicago Lawn,26532,11730,22292,20439,40474,14599,17589,2384,28750,9955,33317,6539,6094,28801
70,Ashburn,166454,33496,211091,71297,281923,67677,52957,31265,161878,41995,190754,48077,56677,27953
72,Beverly,316502,26080,368660,32149,465487,35225,112457,58787,261779,44961,348597,29859,65056,29162
74,Mount Greenwood,217861,12708,277902,15757,307456,14600,49154,31770,152251,20235,205085,24028,64473,12346
75,Morgan Park,148746,17262,173190,22354,205868,30980,44240,40820,139114,22139,167870,14574,37435,20593
