area_id,area_name,b22005h001,b22005h001_moe,b22005h002,b22005h002_moe,b22005h003,b22005h003_moe
1,Rogers Park,11511,548,1188,234,10323,528
2,West Ridge,12814,569,1630,284,11184,559
3,Uptown,17054,630,1507,274,15547,615
4,Lincoln Square,12566,495,492,154,12074,497
5,North Center,12029,379,244,102,11785,388
6,Lake View,42481,819,827,196,41654,818
7,Lincoln Park,26940,654,573,190,26367,661
8,Near North Side,37992,984,587,190,37405,982
9,Edison Park,4322,172,54,37,4268,175
10,Norwood Park,12754,343,441,135,12313,354
11,Jefferson Park,7639,343,371,132,7268,353
12,Forest Glen,5308,223,155,81,5153,239
13,North Park,3713,227,341,129,3372,234
14,Albany Park,7190,418,843,215,6347,391
15,Portage Park,14549,504,1166,249,13383,494
16,Irving Park,10938,454,752,179,10186,445
17,Dunning,12081,359,561,150,11520,372
18,Montclare,2310,202,142,83,2168,211
19,Belmont Cragin,5465,376,495,140,4970,360
20,Hermosa,972,178,147,87,825,167
21,Avondale,5464,368,404,134,5060,365
22,Logan Square,15363,529,502,128,14861,526
23,Humboldt Park,1381,202,131,72,1250,195
24,West Town,24289,607,720,175,23569,611
25,Austin,1810,178,191,109,1619,182
26,West Garfield Park,73,49,30,36,43,48
27,East Garfield Park,198,76,13,38,185,74
28,Near West Side,12457,488,170,82,12287,484
29,North Lawndale,235,96,50,59,185,86
30,South Lawndale,625,145,104,82,521,126
31,Lower West Side,2418,262,283,117,2135,242
32,Loop,9678,555,23,39,9655,553
33,Near South Side,5344,506,81,81,5263,501
34,Armour Square,742,124,50,43,692,121
35,Douglas,555,120,17,34,538,119
36,Oakland,87,69,0,19,87,69
37,Fuller Park,19,24,9,17,10,19
38,Grand Boulevard,256,93,22,46,234,89
39,Kenwood,1468,165,5,30,1463,165
40,Washington Park,8,26,4,25,4,26
41,Hyde Park,5483,330,76,56,5407,330
42,Woodlawn,518,115,29,44,489,112
43,South Shore,278,98,29,48,249,96
44,Chatham,58,55,16,43,42,51
45,Avalon Park,70,67,0,19,70,67
46,South Chicago,402,118,78,51,324,107
47,Burnside,20,31,0,11,20,31
48,Calumet Heights,110,60,0,27,110,60
49,Roseland,119,73,46,53,73,63
50,Pullman,348,78,12,25,336,77
51,South Deering,345,95,42,45,303,92
52,East Side,1971,217,127,57,1844,214
53,West Pullman,88,66,9,40,79,64
54,Riverdale,0,16,0,16,0,16
55,Hegewisch,1997,222,152,88,1845,216
56,Garfield Ridge,7658,281,377,126,7281,290
57,Archer Heights,1150,150,92,59,1058,143
58,Brighton Park,1715,215,299,120,1416,199
59,McKinley Park,1463,195,155,73,1308,189
60,Bridgeport,5481,339,513,150,4968,332
61,New City,2184,198,627,160,1557,177
62,West Elsdon,1455,178,141,65,1314,169
63,Gage Park,966,153,96,51,870,153
64,Clearing,5496,263,241,104,5255,264
65,West Lawn,2512,241,217,92,2295,228
66,Chicago Lawn,823,162,80,53,743,158
67,West Englewood,68,59,0,48,68,59
68,Englewood,36,46,10,38,26,43
69,Greater Grand Crossing,35,51,0,38,35,51
70,Ashburn,2939,233,152,102,2787,225
71,Auburn Gresham,51,57,8,46,43,57
72,Beverly,4619,190,47,39,4572,193
73,Washington Heights,49,55,0,33,49,55
74,Mount Greenwood,5948,218,123,67,5825,222
75,Morgan Park,2593,176,142,82,2451,176
76,O'Hare,4649,318,114,88,4535,321
77,Edgewater,17497,652,1094,213,16403,649
