area_id,area_name,b23022001,b23022001_moe,b23022002,b23022002_moe,b23022003,b23022003_moe,b23022004,b23022004_moe,b23022005,b23022005_moe,b23022006,b23022006_moe,b23022007,b23022007_moe,b23022008,b23022008_moe,b23022009,b23022009_moe,b23022010,b23022010_moe,b23022011,b23022011_moe,b23022012,b23022012_moe,b23022013,b23022013_moe,b23022014,b23022014_moe,b23022015,b23022015_moe,b23022016,b23022016_moe,b23022017,b23022017_moe,b23022018,b23022018_moe,b23022019,b23022019_moe,b23022020,b23022020_moe,b23022021,b23022021_moe,b23022022,b23022022_moe,b23022023,b23022023_moe,b23022024,b23022024_moe,b23022025,b23022025_moe,b23022026,b23022026_moe,b23022027,b23022027_moe,b23022028,b23022028_moe,b23022029,b23022029_moe,b23022030,b23022030_moe,b23022031,b23022031_moe,b23022032,b23022032_moe,b23022033,b23022033_moe,b23022034,b23022034_moe,b23022035,b23022035_moe,b23022036,b23022036_moe,b23022037,b23022037_moe,b23022038,b23022038_moe,b23022039,b23022039_moe,b23022040,b23022040_moe,b23022041,b23022041_moe,b23022042,b23022042_moe,b23022043,b23022043_moe,b23022044,b23022044_moe,b23022045,b23022045_moe,b23022046,b23022046_moe,b23022047,b23022047_moe,b23022048,b23022048_moe,b23022049,b23022049_moe
1,Rogers Park,42813,1612,21771,1034,17858,966,14310,871,11760,815,238,107,612,186,729,224,480,180,491,202,2837,416,1249,267,62,60,134,79,335,126,610,232,447,168,711,186,162,92,81,70,0,48,21,49,76,65,371,150,3913,576,21042,1142,15691,963,10653,728,8805,700,298,113,526,157,463,164,292,114,269,117,4028,507,1765,316,122,78,360,133,453,150,748,224,580,196,1010,275,286,131,11,48,123,79,160,87,206,124,224,117,5351,644
2,West Ridge,46952,1828,23815,1160,18589,994,15349,928,13063,856,265,125,507,159,609,198,441,191,464,184,2616,429,1434,336,97,85,172,108,393,168,188,92,332,141,624,214,268,153,32,65,28,57,22,55,96,115,178,102,5226,793,23137,1060,15375,904,10605,773,8602,722,317,139,723,211,233,108,453,186,277,129,3787,483,1994,348,105,88,385,147,503,188,433,157,367,145,983,238,363,149,51,94,82,77,99,91,45,66,343,132,7762,719
3,Uptown,43274,1400,23497,1054,18419,914,15464,857,12999,818,359,138,663,222,504,222,621,223,318,143,2444,405,1128,248,104,82,190,96,384,162,255,154,383,176,511,169,108,89,8,47,19,48,54,54,54,60,268,133,5078,636,19777,876,15593,767,11861,686,10056,649,250,127,492,160,423,145,303,125,337,142,3271,438,1894,338,123,74,296,106,305,129,346,170,307,128,461,163,168,96,10,50,40,53,70,73,42,58,131,107,4184,508
4,Lincoln Square,29279,962,14597,623,12840,562,10774,559,9119,538,256,104,588,186,398,151,282,117,131,80,1742,301,810,205,38,47,157,75,172,87,245,139,320,165,324,138,203,127,18,46,13,42,0,40,31,52,59,49,1757,339,14682,662,11768,590,9088,539,7518,513,196,96,548,166,438,173,195,95,193,88,2284,324,1150,206,156,105,223,105,334,127,267,130,154,84,396,122,130,76,10,42,31,48,97,62,48,46,80,59,2914,391
5,North Center,24989,838,12517,660,11358,623,10217,583,9019,544,90,55,422,143,249,105,277,118,160,83,942,213,562,165,25,45,114,73,71,51,26,43,144,114,199,85,30,50,0,43,0,43,58,63,17,47,94,61,1159,220,12472,551,10573,511,8471,476,7188,451,187,79,351,107,264,106,305,141,176,104,1832,245,1048,189,120,64,216,89,109,55,123,75,216,126,270,86,89,58,0,43,27,47,29,48,25,45,100,55,1899,303
6,Lake View,80597,1494,39976,1260,36722,1186,32340,1124,27306,1051,525,145,1496,303,1235,298,894,232,884,230,3786,491,1920,373,175,90,487,159,375,115,394,146,435,152,596,171,163,112,0,66,52,85,72,78,53,74,256,120,3254,502,40621,1282,36384,1246,29280,1163,24257,1074,664,177,1357,257,1302,275,763,188,937,288,5697,518,2740,370,133,93,945,210,936,230,417,138,526,151,1407,276,402,141,22,67,97,76,176,101,380,155,330,155,4237,484
7,Lincoln Park,51274,1305,24739,1006,22024,940,18996,881,15640,783,353,130,797,243,1003,282,654,197,549,152,2506,393,994,262,72,76,305,128,287,115,420,180,428,143,522,143,100,91,10,52,24,61,86,68,117,72,185,74,2715,391,26535,989,22295,944,17074,836,14404,781,202,88,819,190,629,175,486,184,534,156,4027,450,1847,292,108,79,379,124,509,145,503,172,681,201,1194,216,291,116,10,50,80,66,276,130,143,76,394,111,4240,440
8,Near North Side,62636,1564,28784,1189,25159,1143,22065,1049,18526,961,608,226,962,277,918,260,437,169,614,256,2322,411,1059,251,112,82,260,136,262,134,334,164,295,145,772,248,127,103,14,56,13,55,158,117,141,112,319,153,3625,537,33852,1205,27278,1166,22720,1068,18580,995,600,192,822,212,913,287,760,220,1045,297,3370,475,1487,311,113,76,533,188,382,137,359,157,496,191,1188,239,313,137,24,57,114,87,234,113,162,88,341,127,6574,639
9,Edison Park,7476,435,3588,295,3180,272,2791,241,2359,235,80,56,132,76,21,28,123,78,76,82,323,149,157,94,11,27,41,54,41,47,48,53,25,32,66,56,28,31,0,25,0,25,0,25,0,25,38,52,408,151,3888,299,3088,297,2225,280,1972,268,15,26,139,79,43,37,24,36,32,31,674,156,478,133,0,25,48,43,69,48,16,29,63,51,189,95,68,63,0,25,0,25,9,26,56,48,56,62,800,172
10,Norwood Park,23179,916,11737,595,9961,551,8628,502,7289,510,146,98,388,143,339,140,208,93,258,106,1108,286,537,186,0,39,34,46,215,112,163,114,159,104,225,109,69,64,0,39,19,45,26,56,50,69,61,56,1776,308,11442,562,8565,550,6073,488,5367,481,64,52,115,81,204,87,179,87,144,92,2117,318,1200,250,93,82,294,130,290,140,79,54,161,77,375,142,158,82,9,41,23,41,87,84,21,40,77,55,2877,387
