Sex by Occupation and Median Earnings for the Full-time, Year-round Civilian Population
---------------------------------------------------------------------------------------
Universe: Full-time, Year-round Civilian Employed Population 16 Years and Over With Earnings

B24022001 Total:
B24022002  Male:
B24022003   Management, business, science, and arts occupations:
B24022004    Management, business, and financial occupations:
B24022005     Management occupations
B24022006     Business and financial operations occupations
B24022007    Computer, engineering, and science occupations:
B24022008     Computer and mathematical occupations
B24022009     Architecture and engineering occupations
B24022010     Life, physical, and social science occupations
B24022011    Education, legal, community service, arts, and media occupations:
B24022012     Community and social service occupations
B24022013     Legal occupations
B24022014     Education, training, and library occupations
B24022015     Arts, design, entertainment, sports, and media occupations
B24022016    Healthcare practitioners and technical occupations:
B24022017     Health diagnosing and treating practitioners and other technical occupations
B24022018     Health technologists and technicians
B24022019   Service occupations:
B24022020    Healthcare support occupations
B24022021    Protective service occupations:
B24022022     Fire fighting and prevention, and other protective service workers including supervisors
B24022023     Law enforcement workers including supervisors
B24022024    Food preparation and serving related occupations
B24022025    Building and grounds cleaning and maintenance occupations
B24022026    Personal care and service occupations
B24022027   Sales and office occupations:
B24022028    Sales and related occupations
B24022029    Office and administrative support occupations
B24022030   Natural resources, construction, and maintenance occupations:
B24022031    Farming, fishing, and forestry occupations
B24022032    Construction and extraction occupations
B24022033    Installation, maintenance, and repair occupations
B24022034   Production, transportation, and material moving occupations:
B24022035    Production occupations
B24022036    Transportation occupations
B24022037    Material moving occupations
B24022038  Female:
B24022039   Management, business, science, and arts occupations:
B24022040    Management, business, and financial occupations:
B24022041     Management occupations
B24022042     Business and financial operations occupations
B24022043    Computer, engineering, and science occupations:
B24022044     Computer and mathematical occupations
B24022045     Architecture and engineering occupations
B24022046     Life, physical, and social science occupations
B24022047    Education, legal, community service, arts, and media occupations:
B24022048     Community and social service occupations
B24022049     Legal occupations
B24022050     Education, training, and library occupations
B24022051     Arts, design, entertainment, sports, and media occupations
B24022052    Healthcare practitioners and technical occupations:
B24022053     Health diagnosing and treating practitioners and other technical occupations
B24022054     Health technologists and technicians
B24022055   Service occupations:
B24022056    Healthcare support occupations
B24022057    Protective service occupations:
B24022058     Fire fighting and prevention, and other protective service workers including supervisors
B24022059     Law enforcement workers including supervisors
B24022060    Food preparation and serving related occupations
B24022061    Building and grounds cleaning and maintenance occupations
B24022062    Personal care and service occupations
B24022063   Sales and office occupations:
B24022064    Sales and related occupations
B24022065    Office and administrative support occupations
B24022066   Natural resources, construction, and maintenance occupations:
B24022067    Farming, fishing, and forestry occupations
B24022068    Construction and extraction occupations
B24022069    Installation, maintenance, and repair occupations
B24022070   Production, transportation, and material moving occupations:
B24022071    Production occupations
B24022072    Transportation occupations
B24022073    Material moving occupations
