Detailed Occupation for the Full-time, Year-round Civilian Employed Female Population
-------------------------------------------------------------------------------------
Universe: Full-time, Year-round Civilian Employed Female Population 16 Years and Over

B24126001 Total:
B24126002  Chief executives
B24126003  General and operations managers
B24126004  Legislators
B24126005  Advertising and promotions managers
B24126006  Marketing and sales managers
B24126007  Public relations and fundraising managers
B24126008  Administrative services managers
B24126009  Computer and information systems managers
B24126010  Financial managers
B24126011  Compensation and benefits managers
B24126012  Human resources managers
B24126013  Training and development managers
B24126014  Industrial production managers
B24126015  Purchasing managers
B24126016  Transportation, storage, and distribution managers
B24126017  Farmers, ranchers, and other agricultural managers
B24126018  Construction managers
B24126019  Education administrators
B24126020  Architectural and engineering managers
B24126021  Food service managers
B24126022  Funeral service managers
B24126023  Gaming managers
B24126024  Lodging managers
B24126025  Medical and health services managers
B24126026  Natural sciences managers
B24126027  Postmasters and mail superintendents
B24126028  Property, real estate, and community association managers
B24126029  Social and community service managers
B24126030  Emergency management directors
B24126031  Managers, all other
B24126032  Agents and business managers of artists, performers, and athletes
B24126033  Buyers and purchasing agents, farm products
B24126034  Wholesale and retail buyers, except farm products
B24126035  Purchasing agents, except wholesale, retail, and farm products
B24126036  Claims adjusters, appraisers, examiners, and investigators
B24126037  Compliance officers
B24126038  Cost estimators
B24126039  Human resources workers
B24126040  Compensation, benefits, and job analysis specialists
B24126041  Training and development specialists
B24126042  Logisticians
B24126043  Management analysts
B24126044  Meeting, convention, and event planners
B24126045  Fundraisers
B24126046  Market research analysts and marketing specialists
B24126047  Business operations specialists, all other
B24126048  Accountants and auditors
B24126049  Appraisers and assessors of real estate
B24126050  Budget analysts
B24126051  Credit analysts
B24126052  Financial analysts
B24126053  Personal financial advisors
B24126054  Insurance underwriters
B24126055  Financial examiners
B24126056  Credit counselors and loan officers
B24126057  Tax examiners and collectors, and revenue agents
B24126058  Tax preparers
B24126059  Financial specialists, all other
B24126060  Computer and information research scientists
B24126061  Computer systems analysts
B24126062  Information security analysts
B24126063  Computer programmers
B24126064  Software developers, applications and systems software
B24126065  Web developers
B24126066  Computer support specialists
B24126067  Database administrators
B24126068  Network and computer systems administrators
B24126069  Computer network architects
B24126070  Computer occupations, all other
B24126071  Actuaries
B24126072  Mathematicians
B24126073  Operations research analysts
B24126074  Statisticians
B24126075  Miscellaneous mathematical science occupations
B24126076  Architects, except naval
B24126077  Surveyors, cartographers, and photogrammetrists
B24126078  Aerospace engineers
B24126079  Agricultural engineers
B24126080  Biomedical engineers
B24126081  Chemical engineers
B24126082  Civil engineers
B24126083  Computer hardware engineers
B24126084  Electrical and electronics engineers
B24126085  Environmental engineers
B24126086  Industrial engineers, including health and safety
B24126087  Marine engineers and naval architects
B24126088  Materials engineers
B24126089  Mechanical engineers
B24126090  Mining and geological engineers, including mining safety engineers
B24126091  Nuclear engineers
B24126092  Petroleum engineers
B24126093  Engineers, all other
B24126094  Drafters
B24126095  Engineering technicians, except drafters
B24126096  Surveying and mapping technicians
B24126097  Agricultural and food scientists
B24126098  Biological scientists
B24126099  Conservation scientists and foresters
B24126100  Medical scientists
B24126101  Life scientists, all other
B24126102  Astronomers and physicists
B24126103  Atmospheric and space scientists
B24126104  Chemists and materials scientists
B24126105  Environmental scientists and geoscientists
B24126106  Physical scientists, all other
B24126107  Economists
B24126108  Survey researchers
B24126109  Psychologists
B24126110  Urban and regional planners
B24126111  Miscellaneous social scientists and related workers, including sociologists
B24126112  Agricultural and food science technicians
B24126113  Biological technicians
B24126114  Chemical technicians
B24126115  Geological and petroleum technicians
B24126116  Nuclear technicians
B24126117  Social science research assistants
B24126118  Miscellaneous life, physical, and social science technicians
B24126119  Counselors
B24126120  Social workers
B24126121  Probation officers and correctional treatment specialists
B24126122  Social and human service assistants
B24126123  Miscellaneous community and social service specialists, including health educators and community health workers
B24126124  Clergy
B24126125  Directors, religious activities and education
B24126126  Religious workers, all other
B24126127  Lawyers
B24126128  Judicial law clerks
B24126129  Judges, magistrates, and other judicial workers
B24126130  Paralegals and legal assistants
B24126131  Miscellaneous legal support workers
B24126132  Postsecondary teachers
B24126133  Preschool and kindergarten teachers
B24126134  Elementary and middle school teachers
B24126135  Secondary school teachers
B24126136  Special education teachers
B24126137  Other teachers and instructors
B24126138  Archivists, curators, and museum technicians
B24126139  Librarians
B24126140  Library technicians
B24126141  Teacher assistants
B24126142  Other education, training, and library workers, except teacher assistants
B24126143  Artists and related workers
B24126144  Designers
B24126145  Actors
B24126146  Producers and directors
B24126147  Athletes, coaches, umpires, and related workers
B24126148  Dancers and choreographers
B24126149  Musicians, singers, and related workers
B24126150  Entertainers and performers, sports and related workers, all other
B24126151  Announcers
B24126152  News analysts, reporters and correspondents
B24126153  Public relations specialists
B24126154  Editors
B24126155  Technical writers
B24126156  Writers and authors
B24126157  Miscellaneous media and communication workers
B24126158  Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators
B24126159  Photographers
B24126160  Television, video, and motion picture camera operators and editors
B24126161  Chiropractors
B24126162  Dentists
B24126163  Dietitians and nutritionists
B24126164  Optometrists
B24126165  Pharmacists
B24126166  Physicians and surgeons
B24126167  Physician assistants
B24126168  Podiatrists
B24126169  Audiologists
B24126170  Occupational therapists
B24126171  Physical therapists
B24126172  Radiation therapists
B24126173  Recreational therapists
B24126174  Respiratory therapists
B24126175  Speech-language pathologists
B24126176  Miscellaneous therapists, including exercise physiologists
B24126177  Veterinarians
B24126178  Registered nurses
B24126179  Nurse anesthetists
B24126180  Nurse midwives
B24126181  Nurse practitioners
B24126182  Health diagnosing and treating practitioners, all other
B24126183  Clinical laboratory technologists and technicians
B24126184  Dental hygienists
B24126185  Diagnostic related technologists and technicians
B24126186  Emergency medical technicians and paramedics
B24126187  Health practitioner support technologists and technicians
B24126188  Licensed practical and licensed vocational nurses
B24126189  Medical records and health information technicians
B24126190  Opticians, dispensing
B24126191  Miscellaneous health technologists and technicians
B24126192  Other healthcare practitioners and technical occupations
B24126193  Nursing, psychiatric, and home health aides
B24126194  Occupational therapy assistants and aides
B24126195  Physical therapist assistants and aides
B24126196  Massage therapists
