area_id,area_name,b25032b001,b25032b001_moe,b25032b002,b25032b002_moe,b25032b003,b25032b003_moe,b25032b004,b25032b004_moe,b25032b005,b25032b005_moe,b25032b006,b25032b006_moe,b25032b007,b25032b007_moe,b25032b008,b25032b008_moe,b25032b009,b25032b009_moe,b25032b010,b25032b010_moe,b25032b011,b25032b011_moe
1,Rogers Park,6709,521,195,119,391,132,100,74,882,229,1907,344,775,211,1265,259,1194,240,0,48,0,48
2,West Ridge,2759,401,310,165,186,123,227,140,604,191,742,216,258,118,273,132,159,104,0,51,0,51
3,Uptown,5644,511,16,48,74,63,83,85,213,143,636,208,500,178,813,239,3309,426,0,48,0,48
4,Lincoln Square,722,206,103,67,0,40,36,57,128,94,264,140,107,72,40,52,44,69,0,40,0,40
5,North Center,271,116,9,43,12,44,23,49,57,65,101,74,10,44,50,77,9,44,0,43,0,43
6,Lake View,1863,345,76,74,33,68,113,90,91,90,140,98,97,80,320,208,968,248,0,66,25,74
7,Lincoln Park,1316,257,13,52,52,66,97,81,166,112,129,102,136,110,205,115,511,156,7,51,0,51
8,Near North Side,3727,393,94,73,143,83,38,75,179,108,221,122,258,141,397,174,2385,357,12,57,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,52,74,0,39,0,39,0,39,13,41,0,39,0,39,39,72,0,39,0,39,0,39
11,Jefferson Park,104,73,16,34,32,47,56,59,0,29,0,29,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,69,70,69,70,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,90,51,19,30,0,27,31,43,7,27,13,30,9,29,0,27,11,28,0,27,0,27
14,Albany Park,698,184,63,59,0,45,19,46,220,121,247,116,84,55,65,77,0,45,0,45,0,45
15,Portage Park,372,157,31,66,0,47,20,48,157,110,102,80,27,63,35,72,0,47,0,47,0,47
16,Irving Park,635,180,105,75,9,48,48,58,138,89,172,123,73,78,90,79,0,47,0,47,0,47
17,Dunning,114,82,29,53,16,44,25,53,30,60,0,40,0,40,0,40,6,40,8,41,0,40
18,Montclare,234,76,91,43,0,23,0,23,0,23,25,44,12,26,12,25,94,54,0,23,0,23
19,Belmont Cragin,1225,261,271,122,0,52,238,115,491,185,31,69,81,98,10,54,74,69,29,70,0,52
20,Hermosa,88,59,0,29,0,29,0,29,51,48,24,35,0,29,13,35,0,29,0,29,0,29
21,Avondale,542,180,0,38,6,38,215,114,179,112,27,47,43,62,33,44,0,38,0,38,39,72
22,Logan Square,2033,293,94,73,13,57,232,107,563,179,385,140,227,98,110,80,404,149,0,57,5,57
23,Humboldt Park,7386,412,1595,239,36,59,2515,339,1904,298,506,171,288,127,189,101,353,114,0,51,0,51
24,West Town,2912,321,200,106,298,120,542,159,653,164,557,186,55,69,68,69,522,143,0,62,17,68
25,Austin,28353,609,6524,409,409,139,9128,564,5812,529,2790,362,1016,219,1667,276,945,188,15,65,47,97
26,West Garfield Park,5584,269,661,140,97,60,2338,235,1247,193,427,115,115,66,285,107,400,108,0,35,14,39
27,East Garfield Park,6509,281,992,181,232,92,1696,230,1612,225,640,154,337,110,413,119,586,115,1,37,0,38
28,Near West Side,7335,377,523,139,909,167,561,142,1019,185,822,178,269,103,590,131,2635,285,0,52,7,52
29,North Lawndale,10085,388,1299,210,304,84,2633,279,3356,317,1172,203,495,140,434,131,359,104,33,58,0,43
30,South Lawndale,821,150,113,70,9,49,121,66,227,103,60,63,43,60,90,66,158,78,0,48,0,48
31,Lower West Side,646,168,62,92,0,42,78,60,131,78,168,89,0,42,14,45,193,107,0,42,0,42
32,Loop,1683,410,0,30,56,60,14,35,0,30,18,39,0,30,147,125,1448,409,0,30,0,30
33,Near South Side,3474,427,68,67,339,120,0,24,120,141,0,24,44,34,437,153,2466,398,0,24,0,24
34,Armour Square,819,107,26,35,109,47,12,30,11,29,117,55,41,41,40,36,463,104,0,27,0,27
35,Douglas,7355,319,430,121,528,117,169,76,375,112,178,67,377,103,876,155,4392,305,0,35,30,59
36,Oakland,2560,157,241,91,58,38,133,70,223,95,487,107,313,91,55,37,1050,175,0,19,0,19
37,Fuller Park,1068,110,237,66,35,20,302,93,114,64,20,19,12,25,33,53,290,70,25,39,0,16
38,Grand Boulevard,9165,338,846,186,526,126,663,143,2323,268,1991,240,453,136,397,114,1950,177,16,42,0,43
39,Kenwood,6723,357,394,106,533,126,198,91,672,162,1038,204,391,127,633,133,2864,304,0,31,0,31
40,Washington Park,4080,213,315,100,154,67,258,84,950,167,1113,171,280,96,345,99,654,102,11,34,0,27
41,Hyde Park,5139,344,155,84,357,94,18,40,453,146,825,194,264,109,1092,222,1975,270,0,38,0,38
42,Woodlawn,9229,354,748,162,386,113,1460,219,2536,297,1379,224,393,131,655,163,1672,198,0,36,0,36
43,South Shore,20799,604,2857,284,624,165,1786,289,4043,443,4334,463,1432,262,2371,318,3334,344,18,47,0,44
44,Chatham,13793,429,4699,321,702,176,1356,245,3085,403,2317,315,806,193,494,150,315,110,19,46,0,37
45,Avalon Park,3755,224,2683,222,179,99,353,129,289,95,155,91,22,24,54,56,20,22,0,19,0,19
46,South Chicago,8294,408,3087,277,260,118,1488,264,1664,307,799,175,264,93,161,84,548,138,0,37,23,50
47,Burnside,1036,98,679,92,23,38,143,90,16,19,6,12,0,11,8,12,150,55,11,20,0,11
48,Calumet Heights,5261,175,4249,198,131,78,314,117,399,113,73,49,42,42,8,29,5,26,24,45,16,35
49,Roseland,15076,389,9385,353,1045,170,1836,275,1086,233,1056,235,273,120,101,74,276,116,18,47,0,41
50,Pullman,2496,145,891,104,965,139,138,66,309,100,9,20,10,22,21,33,153,57,0,19,0,19
51,South Deering,3574,166,1319,160,1578,167,268,112,133,100,87,53,47,41,8,26,126,72,0,25,8,26
52,East Side,267,111,48,36,0,29,145,88,74,67,0,29,0,29,0,29,0,29,0,29,0,29
53,West Pullman,8882,349,6671,322,197,88,1298,248,320,123,126,98,45,48,48,53,177,84,0,39,0,39
54,Riverdale,2273,167,477,140,999,175,86,70,142,90,255,103,215,89,17,29,82,80,0,16,0,16
55,Hegewisch,354,182,140,117,0,19,58,87,107,112,12,24,20,36,0,19,17,28,0,19,0,19
56,Garfield Ridge,715,125,601,113,25,47,0,42,20,46,53,64,16,47,0,42,0,42,0,42,0,42
57,Archer Heights,57,57,24,44,0,27,0,27,22,44,11,31,0,27,0,27,0,27,0,27,0,27
58,Brighton Park,218,114,28,52,0,43,39,56,32,61,37,53,22,54,22,56,38,73,0,43,0,43
59,McKinley Park,141,86,0,25,20,39,21,31,53,64,25,44,12,32,10,27,0,25,0,25,0,25
60,Bridgeport,302,91,13,37,83,58,56,61,27,38,0,37,6,36,38,44,79,56,0,37,0,37
61,New City,3440,266,1169,170,14,47,1222,204,663,161,164,94,24,49,102,68,82,62,0,47,0,47
62,West Elsdon,159,94,32,48,9,29,43,61,0,27,75,66,0,27,0,27,0,27,0,27,0,27
63,Gage Park,712,140,178,76,0,41,172,92,104,83,163,83,57,57,0,41,38,46,0,41,0,41
64,Clearing,42,43,9,33,0,31,6,32,0,31,27,41,0,31,0,31,0,31,0,31,0,31
65,West Lawn,534,132,60,67,8,32,14,34,36,51,65,64,90,54,162,96,99,70,0,34,0,34
66,Chicago Lawn,9422,434,3614,284,9,49,2080,298,1586,275,1179,227,483,155,220,101,251,103,0,49,0,49
67,West Englewood,9988,343,5694,307,210,89,2461,282,905,190,215,93,94,76,85,72,296,96,16,51,12,50
68,Englewood,9564,386,2456,259,374,105,3110,313,1350,218,670,167,306,101,343,109,944,158,11,39,0,36
