area_id,area_name,b25034001,b25034001_moe,b25034002,b25034002_moe,b25034003,b25034003_moe,b25034004,b25034004_moe,b25034005,b25034005_moe,b25034006,b25034006_moe,b25034007,b25034007_moe,b25034008,b25034008_moe,b25034009,b25034009_moe,b25034010,b25034010_moe
1,Rogers Park,27912,242,5,46,1187,226,284,115,513,145,1965,314,2945,401,2977,413,2180,337,15856,632
2,West Ridge,27639,218,6,52,1037,237,205,97,718,200,1770,274,3412,426,6154,530,2737,393,11600,601
3,Uptown,32444,292,57,80,1933,292,1045,228,921,245,2484,339,3595,420,2576,355,1853,296,17980,703
4,Lincoln Square,19499,250,0,40,1153,202,303,116,243,111,754,181,1686,275,2730,324,1693,288,10937,474
5,North Center,16442,185,47,74,2697,270,705,134,249,89,346,114,357,97,796,170,742,167,10503,398
6,Lake View,57951,375,48,70,5478,418,3655,365,2102,281,6162,554,7692,588,5639,513,2965,344,24210,821
7,Lincoln Park,35919,325,10,52,2815,312,3165,326,3260,315,6111,499,3043,369,1517,274,1414,293,14584,656
8,Near North Side,61054,474,230,129,13705,679,6982,655,7902,638,8625,672,8905,637,4599,496,1762,383,8344,655
9,Edison Park,4935,79,0,25,148,75,98,67,58,46,343,125,688,156,1578,174,716,154,1306,187
10,Norwood Park,15620,126,0,39,355,150,243,110,643,193,1230,238,2345,316,4911,386,2536,280,3357,332
11,Jefferson Park,10952,111,0,29,324,115,296,118,292,118,817,200,943,211,2466,269,985,215,4829,333
12,Forest Glen,7134,94,0,29,237,111,76,74,184,91,471,147,616,132,2448,269,1469,201,1633,206
13,North Park,6970,128,0,27,280,106,676,149,253,129,322,122,831,187,1204,196,1038,197,2366,246
14,Albany Park,18213,181,12,47,859,214,526,165,639,183,481,162,1131,226,1310,264,1725,281,11530,473
15,Portage Park,24837,196,33,56,572,179,507,174,524,166,1168,239,1713,288,2900,372,2791,355,14629,563
16,Irving Park,22525,210,0,47,1571,258,469,139,232,127,751,192,1488,244,1600,270,1412,270,15002,501
17,Dunning,16145,141,0,40,768,151,1183,177,915,205,1008,205,1292,225,3866,317,2565,286,4548,359
18,Montclare,4848,82,0,23,690,155,80,51,217,118,220,109,472,149,861,172,600,162,1708,232
19,Belmont Cragin,24148,153,31,58,593,139,775,220,417,138,951,218,2164,340,3179,383,2935,367,13103,551
20,Hermosa,7922,110,0,29,43,42,164,95,132,77,225,97,422,136,923,214,1020,214,4993,320
21,Avondale,15282,213,0,38,865,184,242,117,201,92,318,107,631,179,564,159,813,190,11648,423
22,Logan Square,32764,309,9,58,2983,270,1111,192,572,142,790,159,1071,198,1085,180,1299,218,23844,530
23,Humboldt Park,20482,256,0,51,612,147,481,137,385,126,751,175,1001,238,1377,240,2183,330,13692,496
24,West Town,41319,404,88,86,7179,462,3707,357,1150,219,1460,246,1798,272,1754,258,2682,345,21501,646
25,Austin,38606,336,64,79,866,191,622,189,661,173,1780,275,2662,350,3967,405,5792,488,22192,706
26,West Garfield Park,8018,159,0,35,171,75,188,80,138,67,167,84,221,93,389,106,722,149,6022,249
27,East Garfield Park,8974,163,0,38,894,169,862,167,183,91,389,121,383,110,317,96,367,118,5579,293
28,Near West Side,29058,344,187,121,9673,447,3176,338,2714,313,2012,261,1408,239,849,168,1115,224,7924,479
29,North Lawndale,15066,214,40,56,1140,190,582,151,268,93,261,105,530,137,719,160,1108,211,10418,379
30,South Lawndale,20747,245,13,51,171,98,341,131,155,74,247,102,956,186,1271,233,2585,339,15008,470
31,Lower West Side,14323,209,16,45,504,124,335,117,247,114,318,107,391,129,659,160,677,145,11176,335
32,Loop,17582,400,215,132,6356,537,1037,224,2669,451,1885,336,1176,231,397,128,312,161,3535,337
33,Near South Side,13642,270,193,193,8415,496,1504,264,303,165,334,125,555,155,496,216,124,80,1718,359
34,Armour Square,5739,143,11,28,937,188,680,145,586,152,703,176,264,106,442,133,271,106,1845,220
35,Douglas,10766,196,0,35,1023,176,622,130,654,135,1198,195,2588,268,2446,246,728,136,1507,201
36,Oakland,3077,119,0,19,1462,155,78,39,100,50,607,138,211,86,166,76,92,57,361,108
37,Fuller Park,1562,57,0,16,20,19,39,28,87,65,153,79,328,90,188,69,63,38,684,110
38,Grand Boulevard,12233,256,22,49,2246,254,715,162,770,155,1039,183,1116,199,799,164,843,178,4683,346
39,Kenwood,10635,181,7,32,740,134,488,135,707,169,1958,270,1040,225,1412,250,786,192,3497,313
40,Washington Park,5627,162,0,27,426,126,347,102,311,102,496,135,661,148,442,108,656,155,2288,223
41,Hyde Park,14824,193,0,38,166,86,607,156,372,123,664,149,1814,237,1403,239,1225,222,8573,381
42,Woodlawn,13994,192,0,36,961,192,901,181,744,148,1075,187,1645,253,1400,231,1424,221,5844,376
43,South Shore,28629,277,0,44,919,210,741,210,1145,247,1384,277,3722,411,3761,428,3861,454,13096,654
44,Chatham,17044,198,0,37,352,119,442,159,357,156,597,180,2297,290,3504,396,2649,338,6846,479
45,Avalon Park,4406,107,0,19,205,98,140,92,104,82,83,46,443,153,900,175,677,163,1854,212
46,South Chicago,14460,200,5,36,342,152,302,101,671,200,820,208,848,162,1879,271,1491,262,8102,418
47,Burnside,1264,54,0,11,233,88,101,72,0,11,50,34,110,62,124,79,154,81,492,127
48,Calumet Heights,6151,78,0,27,113,92,32,32,32,40,279,111,810,155,2591,244,791,169,1503,207
49,Roseland,18311,200,0,41,742,211,253,115,287,123,560,154,2191,268,3440,350,3681,326,7157,444
50,Pullman,3518,63,0,19,6,19,22,30,81,54,293,109,742,142,566,123,365,108,1443,169
51,South Deering,5912,81,0,25,52,45,19,29,113,94,372,120,1076,219,1515,247,999,219,1766,223
52,East Side,7876,92,0,29,36,41,116,69,164,83,459,116,834,167,1473,235,1445,241,3349,270
53,West Pullman,11697,139,0,39,212,99,72,62,311,115,992,201,2444,258,2726,286,1345,228,3595,328
54,Riverdale,3344,51,0,16,150,109,74,61,70,64,245,117,599,163,290,116,1423,209,493,128
55,Hegewisch,4045,123,0,19,245,123,242,98,110,52,383,148,838,155,645,199,284,151,1298,237
56,Garfield Ridge,12732,172,0,42,344,136,439,136,369,126,894,209,2474,309,5434,371,1346,213,1432,249
57,Archer Heights,4212,73,0,27,17,28,263,100,94,51,336,101,578,126,761,137,613,130,1550,191
58,Brighton Park,13810,186,12,47,421,134,203,94,156,89,369,119,780,163,1139,200,1395,244,9335,383
59,McKinley Park,5709,101,0,25,475,133,167,78,86,53,200,91,234,85,349,109,304,108,3894,224
60,Bridgeport,14074,195,28,35,1476,224,679,143,334,105,531,125,476,123,762,180,706,177,9082,389
61,New City,15885,203,0,47,554,121,301,106,230,95,384,98,812,169,695,150,1323,210,11586,361
62,West Elsdon,5340,95,0,27,233,95,131,76,94,62,712,158,988,188,1506,210,755,147,921,195
63,Gage Park,10432,129,0,41,86,71,248,85,256,114,345,117,560,152,1486,225,1459,236,5992,349
64,Clearing,9174,53,0,31,355,135,509,167,595,156,812,173,2387,309,2475,289,1014,205,1027,214
65,West Lawn,9729,110,0,34,457,121,173,86,366,128,675,202,1258,253,3923,321,1552,276,1325,210
