area_id,area_name,b25072001,b25072001_moe,b25072002,b25072002_moe,b25072003,b25072003_moe,b25072004,b25072004_moe,b25072005,b25072005_moe,b25072006,b25072006_moe,b25072007,b25072007_moe,b25072008,b25072008_moe,b25072009,b25072009_moe,b25072010,b25072010_moe,b25072011,b25072011_moe,b25072012,b25072012_moe,b25072013,b25072013_moe,b25072014,b25072014_moe,b25072015,b25072015_moe,b25072016,b25072016_moe,b25072017,b25072017_moe,b25072018,b25072018_moe,b25072019,b25072019_moe,b25072020,b25072020_moe,b25072021,b25072021_moe,b25072022,b25072022_moe,b25072023,b25072023_moe,b25072024,b25072024_moe,b25072025,b25072025_moe,b25072026,b25072026_moe,b25072027,b25072027_moe,b25072028,b25072028_moe,b25072029,b25072029_moe
1,Rogers Park,16986,651,1706,290,103,87,246,130,95,87,168,113,1013,217,81,70,4956,480,1003,260,849,218,606,190,253,118,2132,326,113,81,8759,610,2043,342,801,215,719,200,773,224,3927,450,496,195,1565,246,213,115,233,110,309,119,187,98,538,158,85,78
2,West Ridge,12088,626,839,235,174,115,45,75,98,84,42,67,404,177,76,80,3077,452,342,150,434,179,245,149,322,172,1595,337,139,115,6585,566,1386,293,612,201,593,192,371,159,3290,449,333,143,1587,292,286,134,44,55,180,96,68,65,850,231,159,101
3,Uptown,19951,640,1627,272,132,84,181,94,197,96,229,101,873,212,15,48,6098,522,1751,309,1130,253,811,204,422,146,1721,324,263,139,9480,620,2409,371,803,214,1129,270,919,247,3731,465,489,189,2746,362,267,147,239,136,549,186,400,153,1096,282,195,100
4,Lincoln Square,10602,509,514,154,21,41,108,74,108,83,24,42,244,111,9,41,4360,396,1731,290,909,216,425,139,272,104,995,201,28,44,4908,424,1414,256,514,148,501,165,348,132,1948,318,183,96,820,207,104,72,78,72,67,61,52,54,495,179,24,44
5,North Center,6966,392,504,135,94,69,39,53,18,45,47,48,302,115,4,42,3524,332,1708,250,630,164,269,115,232,95,651,175,34,58,2501,303,919,194,305,112,277,96,175,84,716,175,109,81,437,100,19,47,56,54,109,64,38,52,195,99,20,48
6,Lake View,32881,782,5936,506,648,177,820,199,691,197,465,154,3023,370,289,148,15829,747,5405,509,3207,367,2164,343,1416,284,3230,416,407,174,8742,624,2923,389,1043,223,1101,291,677,180,2640,390,358,163,2374,283,413,131,94,84,519,155,200,100,1074,229,74,80
7,Lincoln Park,17532,621,4023,402,476,183,442,147,530,176,263,125,2021,292,291,128,8065,549,3039,401,1780,321,837,197,492,149,1642,270,275,124,4108,438,1481,292,443,147,504,163,206,91,1335,271,139,87,1336,221,143,85,91,72,243,116,143,97,663,167,53,62
8,Near North Side,27993,973,2922,407,293,140,112,83,262,132,268,131,1595,317,392,168,13833,873,3494,503,2364,426,1945,407,1240,311,3906,566,884,303,8485,674,3011,444,1081,256,793,208,502,162,2314,403,784,242,2753,342,423,151,187,104,406,161,352,137,1131,269,254,143
9,Edison Park,932,170,13,28,0,25,0,25,13,28,0,25,0,25,0,25,338,104,181,98,69,62,27,36,0,25,61,60,0,25,458,159,154,100,89,79,66,50,38,39,111,76,0,25,123,57,20,27,8,27,15,29,8,24,51,37,21,29
10,Norwood Park,3022,325,72,69,0,39,0,39,10,40,0,39,62,68,0,39,770,238,260,125,59,80,107,99,15,43,140,108,189,131,1277,252,487,141,169,118,69,62,107,90,333,132,112,79,903,170,23,43,18,45,45,53,98,84,606,143,113,70
