area_id,area_name,b25074001,b25074001_moe,b25074002,b25074002_moe,b25074003,b25074003_moe,b25074004,b25074004_moe,b25074005,b25074005_moe,b25074006,b25074006_moe,b25074007,b25074007_moe,b25074008,b25074008_moe,b25074009,b25074009_moe,b25074010,b25074010_moe,b25074011,b25074011_moe,b25074012,b25074012_moe,b25074013,b25074013_moe,b25074014,b25074014_moe,b25074015,b25074015_moe,b25074016,b25074016_moe,b25074017,b25074017_moe,b25074018,b25074018_moe,b25074019,b25074019_moe,b25074020,b25074020_moe,b25074021,b25074021_moe,b25074022,b25074022_moe,b25074023,b25074023_moe,b25074024,b25074024_moe,b25074025,b25074025_moe,b25074026,b25074026_moe,b25074027,b25074027_moe,b25074028,b25074028_moe,b25074029,b25074029_moe,b25074030,b25074030_moe,b25074031,b25074031_moe,b25074032,b25074032_moe,b25074033,b25074033_moe,b25074034,b25074034_moe,b25074035,b25074035_moe,b25074036,b25074036_moe,b25074037,b25074037_moe,b25074038,b25074038_moe,b25074039,b25074039_moe,b25074040,b25074040_moe,b25074041,b25074041_moe,b25074042,b25074042_moe,b25074043,b25074043_moe,b25074044,b25074044_moe,b25074045,b25074045_moe,b25074046,b25074046_moe,b25074047,b25074047_moe,b25074048,b25074048_moe,b25074049,b25074049_moe,b25074050,b25074050_moe
1,Rogers Park,16986,651,2771,391,22,58,88,91,198,122,105,86,1727,309,631,211,3247,413,129,94,134,93,50,64,135,98,2734,386,65,73,3840,442,37,60,111,68,426,166,609,196,2646,380,11,49,2690,368,196,104,967,233,673,186,339,144,472,176,43,54,2477,374,1242,278,655,203,361,129,188,104,31,58,0,48,894,225,718,202,150,91,21,52,5,47,0,48,0,48,1067,256,1018,250,24,59,0,48,0,48,0,48,25,53
2,West Ridge,12088,626,1568,313,12,53,0,51,52,63,29,58,1147,282,328,134,2036,354,27,56,0,51,27,57,22,53,1960,352,0,51,2842,412,58,88,57,77,77,75,311,164,2227,369,112,86,2457,401,196,133,538,197,638,215,396,169,689,225,0,51,1507,297,549,184,411,168,305,130,45,56,116,103,81,94,842,230,629,191,99,103,17,56,0,51,0,51,97,100,836,237,717,219,30,60,0,51,0,51,0,51,89,95
3,Uptown,19951,640,4979,490,93,111,143,105,647,210,465,179,2825,421,806,232,3547,445,211,130,168,112,268,146,325,150,2524,388,51,56,3239,411,158,98,275,137,552,181,675,216,1553,290,26,51,2233,317,333,125,737,215,589,171,216,98,349,157,9,47,2617,368,1187,273,556,163,441,142,275,109,124,87,34,71,1655,300,1140,256,240,111,179,108,14,50,46,70,36,74,1681,309,1437,278,234,139,10,49,0,48,0,48,0,48
4,Lincoln Square,10602,509,976,253,0,40,0,40,0,40,0,40,855,244,121,73,1267,244,8,41,0,40,0,40,10,42,1214,242,35,56,1580,277,0,40,0,40,126,94,334,119,1077,242,43,57,1784,308,128,89,526,170,452,153,212,101,440,148,26,51,2505,339,1066,256,810,182,438,139,115,83,63,75,13,42,1364,248,993,221,250,101,85,71,3,40,33,65,0,40,1126,232,1075,231,23,43,0,40,22,51,0,40,6,40
5,North Center,6966,392,544,155,0,43,22,47,31,50,31,54,350,137,110,90,433,129,40,58,8,43,13,46,3,42,369,116,0,43,752,184,13,47,0,43,58,56,60,59,615,177,6,42,1049,214,74,73,136,84,242,97,161,86,426,137,10,44,1593,252,564,175,504,139,214,102,184,82,104,71,23,50,861,175,483,135,235,106,104,60,21,43,0,43,18,43,1734,241,1566,229,125,81,11,42,32,50,0,43,0,43
6,Lake View,32881,782,3646,430,24,70,35,70,177,100,105,87,2414,359,891,251,2878,402,80,76,30,70,279,144,102,88,2376,371,11,67,4277,487,131,109,40,72,522,242,466,144,3058,387,60,76,4844,489,297,140,872,210,1374,279,892,233,1347,261,62,81,6236,523,1594,304,1889,290,1328,262,728,189,667,185,30,69,4093,454,2060,329,1180,223,507,182,296,138,50,74,0,66,6907,541,5203,485,1118,225,288,118,169,112,55,77,74,79
7,Lincoln Park,17532,621,2525,337,0,51,68,61,260,131,86,69,1602,277,509,163,1806,313,71,81,33,54,92,67,78,79,1487,292,45,73,1889,304,64,64,84,77,109,90,151,95,1425,260,56,65,1960,311,160,118,413,159,469,171,277,102,617,169,24,55,2492,340,540,156,726,209,593,166,325,140,289,112,19,52,2298,345,1131,268,584,174,373,131,66,71,82,66,62,73,4562,453,3173,410,848,205,218,100,121,90,159,120,43,61
8,Near North Side,27993,973,4581,543,69,80,57,66,235,145,242,116,2408,401,1570,374,2185,371,166,104,54,75,162,97,152,91,1596,353,55,67,2516,462,142,84,51,70,19,56,146,105,1992,434,166,116,2571,400,94,83,168,99,242,107,269,105,1622,342,176,108,5521,619,486,191,1416,337,1468,354,1001,274,984,244,166,104,3481,460,1001,269,1034,250,774,240,311,151,331,145,30,62,7138,676,5263,599,964,288,506,188,241,142,13,57,151,118
9,Edison Park,932,170,38,37,0,25,8,27,0,25,0,25,30,33,0,25,29,32,0,25,0,25,0,25,0,25,19,30,10,27,147,79,0,25,8,24,0,25,11,26,117,71,11,26,116,65,0,25,13,29,27,31,19,29,57,59,0,25,195,91,79,67,87,75,13,24,16,31,0,25,0,25,299,127,203,100,50,61,46,45,0,25,0,25,0,25,108,90,73,80,0,25,35,42,0,25,0,25,0,25
10,Norwood Park,3022,325,208,111,0,39,0,39,0,39,0,39,131,98,77,62,341,117,0,39,0,39,0,39,0,39,327,115,14,44,750,220,10,38,0,39,0,39,81,80,512,176,147,110,523,173,51,53,21,42,140,96,139,100,151,105,21,43,483,170,192,95,207,133,23,49,0,39,20,50,41,48,363,144,251,116,18,45,68,68,0,39,0,39,26,58,354,158,266,138,0,39,0,39,0,39,0,39,88,95
