area_id,area_name,b25099001,b25099001_moe,b25099002,b25099002_moe,b25099003,b25099003_moe
1,Rogers Park,1074713,92182,1108894,92194,671860,364472
2,West Ridge,974595,78223,1082981,96228,700045,149011
3,Uptown,779916,87114,819730,102577,566632,153064
4,Lincoln Square,1088010,99882,1259482,107461,741447,189078
5,North Center,1880784,148561,2070528,154861,967613,333162
6,Lake View,4727455,275311,5081431,271211,2881497,704086
7,Lincoln Park,2793274,176042,2936325,177346,2123603,518042
8,Near North Side,2103219,181642,2211924,267181,1740927,327091
9,Edison Park,268116,23311,314009,29195,153704,60798
10,Norwood Park,615544,45892,718264,60078,418802,102461
11,Jefferson Park,445298,58365,558790,58577,262447,58358
12,Forest Glen,413892,39448,474954,46593,245049,48534
13,North Park,326234,28926,336512,55202,220420,60333
14,Albany Park,913092,71351,963100,92684,675880,288095
15,Portage Park,938765,75483,1093664,98912,634089,197852
16,Irving Park,1199303,102268,1355954,110090,892106,139519
17,Dunning,761982,43067,871983,59391,536631,69520
18,Montclare,117708,21678,131439,16317,74370,21981
19,Belmont Cragin,934289,62667,1029809,79327,645553,176405
20,Hermosa,362007,39253,389020,47874,297661,101424
21,Avondale,652262,73829,679736,80468,428447,160460
22,Logan Square,2302423,147014,2529976,162548,1288925,284296
23,Humboldt Park,770924,81030,848150,92387,510892,159732
24,West Town,3151867,192446,3577410,196929,1753244,540238
25,Austin,1258736,104911,1348925,136305,964804,251976
26,West Garfield Park,490887,103866,559392,87803,320073,129772
27,East Garfield Park,440400,136444,580572,161809,355623,152841
28,Near West Side,1532292,169806,1639861,228008,1172009,399745
29,North Lawndale,632805,124051,695448,131279,498516,196983
30,South Lawndale,847489,67106,882678,87216,676792,191770
31,Lower West Side,655019,86954,780759,101810,395562,81848
32,Loop,496277,119251,457177,148924,437565,119591
33,Near South Side,210458,42069,204002,42135,252770,120281
34,Armour Square,201462,33915,280251,81649,142652,36414
35,Douglas,475657,147909,640532,227903,297426,72390
36,Oakland,102321,16197,103478,34996,76587,34692
37,Fuller Park,69223,21434,81250,15093,25069,23968
38,Grand Boulevard,728248,83229,784587,134272,506220,268556
39,Kenwood,677669,86590,719337,80482,572722,226745
40,Washington Park,389390,78526,408533,77073,275873,135795
41,Hyde Park,1201806,122019,1308670,173986,1134699,331152
42,Woodlawn,367409,94563,521658,103003,245605,143810
43,South Shore,865405,110634,888458,152809,698750,246503
44,Chatham,542463,68194,631019,103071,444746,105671
45,Avalon Park,109929,18720,138403,29578,63347,12904
46,South Chicago,487870,81829,590670,137888,408614,118349
47,Burnside,34184,20077,34158,24055,37604,48803
48,Calumet Heights,333593,34876,376728,30535,235906,45956
49,Roseland,681727,53966,805123,84539,551502,90246
50,Pullman,160342,22734,178667,28416,107517,43218
51,South Deering,182772,17026,191165,26634,153475,45599
52,East Side,316718,29291,323960,37456,276730,94030
53,West Pullman,423192,35005,458994,35838,322800,69672
54,Riverdale,88756,40081,94195,50422,80387,30419
55,Hegewisch,104206,22271,146678,26771,80804,31906
56,Garfield Ridge,640638,63405,737207,99833,496304,103428
57,Archer Heights,257751,22570,283183,30313,193180,68630
58,Brighton Park,503161,62736,573526,72616,490010,176672
59,McKinley Park,265487,40006,299909,36620,186524,34341
60,Bridgeport,661029,54648,765770,69159,408772,96608
61,New City,842290,110008,985698,114267,606014,187781
62,West Elsdon,213507,33816,264933,30437,143980,31782
63,Gage Park,425503,55851,437733,89047,337294,98978
64,Clearing,437790,32082,499922,42138,259277,49393
65,West Lawn,324273,22192,335028,42972,267216,57688
66,Chicago Lawn,504715,48275,551057,64726,402341,102922
67,West Englewood,671902,92449,746265,112139,636767,162573
68,Englewood,422227,53851,451255,119272,348250,162918
69,Greater Grand Crossing,586641,112271,684275,137633,466100,102177
70,Ashburn,585469,31490,639633,47558,385261,90129
71,Auburn Gresham,710001,65985,808010,93865,501331,103909
72,Beverly,689956,34582,759978,49865,478693,81830
73,Washington Heights,401417,28713,436000,49859,309515,47709
74,Mount Greenwood,356474,19452,397788,26055,243749,44314
75,Morgan Park,460611,39338,553199,52520,263476,43327
76,O'Hare,179551,25399,216828,36354,98548,24967
77,Edgewater,1207660,79962,1316879,93920,820913,190552
