area_id,area_name,b25101001,b25101001_moe,b25101002,b25101002_moe,b25101003,b25101003_moe,b25101004,b25101004_moe,b25101005,b25101005_moe,b25101006,b25101006_moe,b25101007,b25101007_moe,b25101008,b25101008_moe,b25101009,b25101009_moe,b25101010,b25101010_moe,b25101011,b25101011_moe,b25101012,b25101012_moe,b25101013,b25101013_moe,b25101014,b25101014_moe,b25101015,b25101015_moe,b25101016,b25101016_moe,b25101017,b25101017_moe,b25101018,b25101018_moe,b25101019,b25101019_moe,b25101020,b25101020_moe,b25101021,b25101021_moe,b25101022,b25101022_moe,b25101023,b25101023_moe,b25101024,b25101024_moe,b25101025,b25101025_moe,b25101026,b25101026_moe,b25101027,b25101027_moe,b25101028,b25101028_moe,b25101029,b25101029_moe,b25101030,b25101030_moe,b25101031,b25101031_moe,b25101032,b25101032_moe,b25101033,b25101033_moe,b25101034,b25101034_moe,b25101035,b25101035_moe,b25101036,b25101036_moe,b25101037,b25101037_moe,b25101038,b25101038_moe,b25101039,b25101039_moe,b25101040,b25101040_moe,b25101041,b25101041_moe,b25101042,b25101042_moe,b25101043,b25101043_moe,b25101044,b25101044_moe,b25101045,b25101045_moe
1,Rogers Park,6995,461,5901,436,241,128,0,48,0,48,241,128,392,130,0,48,38,54,354,129,505,132,0,48,74,54,431,125,1366,267,165,111,454,152,747,193,3387,376,1620,276,1277,244,490,137,10,48,1094,214,281,126,20,47,0,48,261,124,96,69,0,48,56,54,40,62,105,60,91,57,14,48,0,48,183,99,163,99,20,49,0,48,402,124,402,124,0,48,0,48,27,52
2,West Ridge,12314,533,8193,513,560,188,0,51,0,51,560,188,665,187,0,51,20,53,645,186,959,238,0,51,114,76,845,226,1910,301,170,88,358,127,1382,277,4063,386,1592,266,1296,235,1175,253,36,56,4121,373,777,194,25,62,96,83,656,179,695,185,163,83,275,136,257,124,611,157,348,121,236,100,27,58,778,196,649,181,113,83,16,56,1244,225,1220,221,24,56,0,51,16,52
3,Uptown,9490,491,7956,480,427,141,0,48,0,48,427,141,267,119,0,48,0,48,267,119,635,184,9,48,92,73,534,171,1344,246,89,63,445,160,810,194,5245,448,2253,296,2229,310,763,210,38,56,1534,237,219,99,26,50,55,61,138,85,180,86,13,49,47,56,120,75,142,82,88,74,44,56,10,48,196,97,153,88,22,51,21,55,771,197,731,190,40,77,0,48,26,53
4,Lincoln Square,7020,447,5577,432,266,138,0,40,0,40,266,138,364,144,0,40,0,40,364,144,243,97,0,40,0,40,243,97,973,201,53,54,310,105,610,169,3731,357,1589,231,1324,239,818,176,0,40,1443,221,151,83,0,40,39,48,112,77,326,109,96,78,126,68,104,63,263,117,138,91,121,80,4,39,269,101,250,99,19,43,0,40,434,107,434,107,0,40,0,40,0,40
5,North Center,7758,369,6338,354,129,67,0,43,0,43,129,67,281,129,0,43,0,43,281,129,210,94,7,43,6,41,197,92,639,143,51,62,88,58,500,125,5069,330,2130,238,1659,223,1280,224,10,42,1420,209,145,80,7,43,5,42,133,79,318,128,21,43,34,49,263,131,151,83,61,50,84,76,6,42,252,87,207,79,45,55,0,43,529,118,529,118,0,43,0,43,25,48
6,Lake View,19687,707,15973,688,337,116,0,66,0,66,337,116,411,165,9,67,19,67,383,164,777,181,16,70,64,79,697,175,1844,307,26,69,351,137,1467,276,12564,601,5840,452,4203,406,2521,324,40,75,3714,340,387,127,22,73,0,66,365,122,352,116,57,79,116,82,179,91,474,139,250,108,92,88,132,93,546,148,209,103,257,111,80,82,1895,267,1772,264,115,85,8,67,60,89
7,Lincoln Park,14662,578,11336,548,232,88,0,51,0,51,232,88,365,119,0,51,0,51,365,119,368,128,0,51,37,67,331,119,1264,253,68,73,152,91,1044,232,9066,506,4341,416,2855,319,1870,255,41,60,3326,314,196,84,12,53,0,51,184,81,276,103,18,53,52,63,206,91,195,101,40,65,55,60,100,87,401,115,195,80,79,60,127,84,2188,264,1967,249,189,98,32,55,70,62
8,Near North Side,22765,857,15960,799,608,194,0,54,0,54,608,194,686,195,0,54,14,56,672,194,659,198,17,56,51,78,591,187,1835,294,56,89,244,107,1535,272,12046,726,5374,516,3953,480,2719,386,126,95,6805,542,580,176,0,54,23,58,557,173,548,158,38,69,40,64,470,148,568,171,91,78,162,105,315,125,807,214,387,153,267,138,153,92,4137,448,3540,424,307,112,290,149,165,116
9,Edison Park,3676,182,2416,196,74,48,0,25,0,25,74,48,134,75,0,25,0,25,134,75,114,64,0,25,0,25,114,64,375,113,11,26,99,52,265,98,1719,183,799,160,676,153,244,109,0,25,1260,166,157,63,0,25,21,30,136,59,281,99,79,55,90,44,112,85,165,77,110,69,40,36,15,24,173,71,164,69,9,26,0,25,470,125,460,125,10,27,0,25,14,27
10,Norwood Park,11624,364,7131,382,244,91,0,39,0,39,244,91,442,140,0,39,36,51,406,134,653,177,11,41,64,55,578,173,1288,218,103,67,236,97,949,194,4504,376,1806,288,1480,245,1218,234,0,39,4493,352,826,179,40,47,65,53,721,171,749,147,241,85,375,105,133,66,541,148,374,105,167,110,0,39,755,174,633,165,112,71,10,40,1563,223,1563,223,0,39,0,39,59,52
11,Jefferson Park,6535,336,4227,320,240,121,0,29,0,29,240,121,322,117,0,29,26,39,296,114,314,98,37,39,22,35,255,91,796,187,99,63,119,71,578,165,2555,284,884,197,993,194,678,171,0,29,2308,243,485,145,10,33,46,61,429,140,506,136,127,78,196,94,183,85,338,112,217,83,121,74,0,29,362,116,341,111,21,44,0,29,610,149,610,149,0,29,0,29,7,29
