area_id,area_name,b26001001,b26001001_moe
1,Rogers Park,2930,533
2,West Ridge,1463,304
3,Uptown,2873,597
4,Lincoln Square,600,214
5,North Center,104,117
6,Lake View,474,161
7,Lincoln Park,3470,517
8,Near North Side,1784,365
9,Edison Park,5,19
10,Norwood Park,603,175
11,Jefferson Park,27,25
12,Forest Glen,28,46
13,North Park,622,140
14,Albany Park,1122,251
15,Portage Park,177,79
16,Irving Park,552,175
17,Dunning,157,58
18,Montclare,129,55
19,Belmont Cragin,300,126
20,Hermosa,22,32
21,Avondale,53,33
22,Logan Square,477,130
23,Humboldt Park,245,109
24,West Town,579,167
25,Austin,1363,361
26,West Garfield Park,208,86
27,East Garfield Park,655,287
28,Near West Side,3896,684
29,North Lawndale,778,253
30,South Lawndale,8463,521
31,Lower West Side,123,54
32,Loop,2832,789
33,Near South Side,196,102
34,Armour Square,7,20
35,Douglas,2610,444
36,Oakland,11,20
37,Fuller Park,14,30
38,Grand Boulevard,279,137
39,Kenwood,328,145
40,Washington Park,90,45
41,Hyde Park,2748,668
42,Woodlawn,1056,225
43,South Shore,833,236
44,Chatham,24,37
45,Avalon Park,5,11
46,South Chicago,124,68
47,Burnside,0,11
48,Calumet Heights,5,26
49,Roseland,697,230
50,Pullman,0,19
51,South Deering,40,34
52,East Side,10,24
53,West Pullman,99,64
54,Riverdale,50,55
55,Hegewisch,20,26
56,Garfield Ridge,101,104
57,Archer Heights,10,18
58,Brighton Park,98,67
59,McKinley Park,38,23
60,Bridgeport,34,33
61,New City,219,98
62,West Elsdon,11,21
63,Gage Park,48,38
64,Clearing,10,28
65,West Lawn,15,34
66,Chicago Lawn,222,88
67,West Englewood,251,121
68,Englewood,140,76
69,Greater Grand Crossing,468,155
70,Ashburn,496,190
71,Auburn Gresham,73,64
72,Beverly,23,25
73,Washington Heights,217,104
74,Mount Greenwood,568,146
75,Morgan Park,401,178
76,O'Hare,13,39
77,Edgewater,2605,450
