area_id,area_name,b27003001,b27003001_moe,b27003002,b27003002_moe,b27003003,b27003003_moe,b27003004,b27003004_moe,b27003005,b27003005_moe,b27003006,b27003006_moe,b27003007,b27003007_moe,b27003008,b27003008_moe,b27003009,b27003009_moe,b27003010,b27003010_moe,b27003011,b27003011_moe,b27003012,b27003012_moe,b27003013,b27003013_moe,b27003014,b27003014_moe,b27003015,b27003015_moe,b27003016,b27003016_moe,b27003017,b27003017_moe,b27003018,b27003018_moe,b27003019,b27003019_moe,b27003020,b27003020_moe,b27003021,b27003021_moe,b27003022,b27003022_moe,b27003023,b27003023_moe,b27003024,b27003024_moe,b27003025,b27003025_moe,b27003026,b27003026_moe,b27003027,b27003027_moe,b27003028,b27003028_moe,b27003029,b27003029_moe,b27003030,b27003030_moe,b27003031,b27003031_moe,b27003032,b27003032_moe,b27003033,b27003033_moe,b27003034,b27003034_moe,b27003035,b27003035_moe,b27003036,b27003036_moe,b27003037,b27003037_moe,b27003038,b27003038_moe,b27003039,b27003039_moe,b27003040,b27003040_moe,b27003041,b27003041_moe,b27003042,b27003042_moe,b27003043,b27003043_moe,b27003044,b27003044_moe,b27003045,b27003045_moe,b27003046,b27003046_moe,b27003047,b27003047_moe,b27003048,b27003048_moe,b27003049,b27003049_moe,b27003050,b27003050_moe,b27003051,b27003051_moe,b27003052,b27003052_moe,b27003053,b27003053_moe,b27003054,b27003054_moe,b27003055,b27003055_moe,b27003056,b27003056_moe,b27003057,b27003057_moe
1,Rogers Park,56493,2171,28398,1311,2566,399,1635,360,931,221,3153,509,2030,460,1123,257,3870,607,304,144,3566,581,6330,647,528,200,5802,633,4657,501,284,145,4373,482,4059,466,565,187,3494,441,2224,314,600,166,1624,281,988,207,945,202,43,66,551,166,514,161,37,62,28095,1411,2322,413,1181,298,1141,285,3395,495,1979,374,1416,381,4535,728,486,177,4049,706,5515,545,674,207,4841,485,3788,472,616,225,3172,425,3597,430,517,199,3080,402,2795,402,548,158,2247,371,1191,217,996,207,195,94,957,240,957,240,0,48
2,West Ridge,72744,2584,35480,1555,3435,527,1729,381,1706,395,5747,651,2949,544,2798,442,3872,692,386,167,3486,679,5150,638,669,229,4481,607,4898,506,576,185,4322,496,4630,517,538,200,4092,491,4123,456,908,240,3215,403,2184,363,1850,300,334,194,1441,234,1381,228,60,75,37264,1544,3580,596,2114,452,1466,413,6274,716,3035,590,3239,521,2765,412,312,134,2453,397,5199,580,1165,293,4034,530,4942,442,1006,247,3936,415,5056,500,513,177,4543,477,4282,454,797,231,3485,419,2804,432,2438,360,366,235,2362,342,2219,321,143,129
3,Uptown,53670,1701,28324,1220,1582,333,614,226,968,264,2119,417,678,235,1441,366,2243,387,254,130,1989,377,7637,706,300,154,7337,690,5192,566,465,172,4727,543,4693,566,1017,293,3676,489,3030,411,1047,270,1983,320,1112,241,1017,231,95,74,716,191,688,187,28,52,25346,1095,1444,331,670,254,774,223,1416,334,753,226,663,243,2280,419,228,110,2052,402,6756,573,509,189,6247,550,4427,427,500,191,3927,388,3224,395,586,163,2638,375,2533,381,589,220,1944,323,1643,313,1430,290,213,143,1623,313,1580,309,43,65
4,Lincoln Square,38116,1327,18919,850,1700,331,620,284,1080,232,1474,302,449,187,1025,250,1042,262,36,50,1006,258,5293,453,141,85,5152,448,3528,376,228,107,3300,370,2288,319,200,164,2088,280,2022,265,207,101,1815,258,1145,210,1092,205,53,61,427,132,427,132,0,40,19197,880,1457,276,364,148,1093,241,1687,381,903,341,784,187,1238,243,117,82,1121,238,5421,449,231,113,5190,441,3298,349,253,118,3045,334,2233,310,242,113,1991,291,2096,257,387,139,1709,227,1072,241,999,239,73,53,695,167,687,167,8,37
5,North Center,33402,1096,16644,751,1757,257,50,51,1707,256,1482,240,81,56,1401,238,1082,362,38,54,1044,362,4781,440,50,49,4731,438,3461,313,86,60,3375,309,1847,251,99,68,1748,247,1175,192,68,53,1107,190,772,164,733,161,39,52,287,86,287,86,0,43,16758,773,1694,306,149,99,1545,292,1310,293,139,97,1171,278,1130,293,70,76,1060,287,4896,407,47,48,4849,406,2962,290,105,68,2857,287,1899,237,93,77,1806,226,1425,226,164,112,1261,198,814,165,778,161,36,53,628,170,628,170,0,43
6,Lake View,96425,1729,47189,1391,2672,366,345,165,2327,334,1957,323,307,170,1650,286,5983,814,56,74,5927,814,17280,988,293,143,16987,977,8402,567,279,138,8123,559,5183,468,277,126,4906,453,2861,364,426,151,2435,327,1717,244,1620,238,97,78,1134,201,1113,199,21,73,49236,1438,3055,366,205,114,2850,349,2117,305,320,141,1797,282,8085,789,140,110,7945,782,19649,1014,121,95,19528,1015,6152,501,229,118,5923,491,3489,333,238,111,3251,316,3012,324,288,127,2724,306,1760,255,1688,253,72,77,1917,260,1849,254,68,82
7,Lincoln Park,64028,1704,31324,1161,2011,283,97,79,1914,280,2591,376,128,80,2463,373,4951,674,50,61,4901,671,9342,731,122,93,9220,729,4683,432,151,90,4532,427,2729,308,172,89,2557,298,2636,296,273,129,2363,270,1522,221,1406,215,116,71,859,197,859,197,0,51,32704,1205,1664,240,89,78,1575,233,2605,484,230,119,2375,476,6574,755,54,68,6520,754,9348,651,108,72,9240,649,4508,402,168,87,4340,399,3222,323,208,96,3014,316,2645,279,388,131,2257,253,1353,227,1265,223,88,68,785,161,785,161,0,51
8,Near North Side,80315,1814,36801,1353,1502,316,353,191,1149,269,1430,321,552,245,878,212,3176,621,56,66,3120,620,11663,898,56,68,11607,895,4741,543,58,65,4683,543,4355,474,197,109,4158,461,4578,485,506,192,4072,454,3504,412,3237,398,267,125,1852,276,1813,273,39,70,43514,1395,1199,284,163,118,1036,268,1761,462,764,337,997,353,4574,633,161,95,4413,627,13749,896,455,142,13294,894,4641,468,208,101,4433,458,5178,549,208,102,4970,546,5535,530,482,176,5053,506,3986,407,3821,401,165,98,2891,375,2833,360,58,89
9,Edison Park,11135,498,5169,358,185,77,30,40,155,70,868,170,39,42,829,176,133,70,18,36,115,65,800,184,51,62,749,180,933,233,22,39,911,223,900,149,37,34,863,150,717,142,137,97,580,122,273,88,264,87,9,27,360,97,360,97,0,25,5966,353,271,90,35,37,236,86,942,202,51,57,891,192,494,165,0,25,494,165,640,142,42,50,598,139,771,126,18,26,753,124,1239,154,62,56,1177,160,575,143,117,81,458,113,455,106,428,108,27,34,579,129,568,128,11,27
10,Norwood Park,36933,1214,17999,779,1495,368,434,256,1061,286,2483,348,458,180,2025,343,1444,267,185,122,1259,260,2003,420,46,56,1957,417,2709,306,173,92,2536,298,2587,299,124,72,2463,298,2598,275,320,133,2278,249,1423,207,1399,206,24,43,1257,203,1241,203,16,40,18934,822,1266,289,228,141,1038,261,2192,369,252,117,1940,357,1089,271,85,65,1004,270,2101,316,168,97,1933,316,2592,303,102,90,2490,304,2746,306,115,75,2631,301,2688,281,204,98,2484,279,1638,208,1548,207,90,59,2622,272,2622,272,0,39
