area_id,area_name,b99051001,b99051001_moe,b99051002,b99051002_moe,b99051003,b99051003_moe,b99051004,b99051004_moe,b99051005,b99051005_moe,b99051006,b99051006_moe,b99051007,b99051007_moe
1,Rogers Park,57559,3,40862,3,851,3,40011,3,16697,3,551,3,16146,3
2,West Ridge,73705,4,40418,4,1085,4,39333,4,33287,4,1292,4,31995,4
3,Uptown,54995,3,41235,3,841,3,40394,3,13760,3,319,3,13441,3
4,Lincoln Square,38622,3,28237,3,448,3,27789,3,10385,3,336,3,10049,3
5,North Center,33418,4,29603,4,321,4,29282,4,3815,4,198,4,3617,4
6,Lake View,96539,6,84969,6,908,6,84061,6,11570,6,380,6,11190,6
7,Lincoln Park,64631,4,58029,4,1278,4,56751,4,6602,4,210,4,6392,4
8,Near North Side,80516,4,66360,4,1138,4,65222,4,14156,4,573,4,13583,4
9,Edison Park,11135,2,9685,2,195,2,9490,2,1450,2,74,2,1376,2
10,Norwood Park,37429,3,29119,3,555,3,28564,3,8310,3,336,3,7974,3
11,Jefferson Park,26771,2,19146,2,264,2,18882,2,7625,2,281,2,7344,2
12,Forest Glen,18542,2,15153,2,224,2,14929,2,3389,2,127,2,3262,2
13,North Park,18739,2,11467,2,428,2,11039,2,7272,2,427,2,6845,2
14,Albany Park,53897,3,29049,3,644,3,28405,3,24848,3,1176,3,23672,3
15,Portage Park,63619,4,43122,4,988,4,42134,4,20497,4,1201,4,19296,4
16,Irving Park,56513,4,38503,4,878,4,37625,4,18010,4,742,4,17268,4
17,Dunning,42115,3,27118,3,487,3,26631,3,14997,3,497,3,14500,3
18,Montclare,12401,1,8024,1,256,1,7768,1,4377,1,91,1,4286,1
19,Belmont Cragin,77885,4,47746,4,1568,4,46178,4,30139,4,1130,4,29009,4
20,Hermosa,25068,2,16183,2,592,2,15591,2,8885,2,421,2,8464,2
21,Avondale,41542,3,24994,3,282,3,24712,3,16548,3,265,3,16283,3
22,Logan Square,73786,5,57987,5,951,5,57036,5,15799,5,596,5,15203,5
23,Humboldt Park,54351,4,44702,4,1233,4,43469,4,9649,4,692,4,8957,4
24,West Town,84087,6,70576,6,1663,6,68913,6,13511,6,505,6,13006,6
25,Austin,98162,5,94213,5,3353,5,90860,5,3949,5,159,5,3790,5
26,West Garfield Park,19377,3,19329,3,484,3,18845,3,48,3,5,3,43,3
27,East Garfield Park,21316,3,20865,3,609,3,20256,3,451,3,0,3,451,3
28,Near West Side,54151,4,45784,4,1397,4,44387,4,8367,4,393,4,7974,4
29,North Lawndale,36074,4,35169,4,1290,4,33879,4,905,4,40,4,865,4
30,South Lawndale,70557,4,39626,4,1106,4,38520,4,30931,4,1436,4,29495,4
31,Lower West Side,36577,3,21100,3,206,3,20894,3,15477,3,273,3,15204,3
32,Loop,26363,2,21180,2,613,2,20567,2,5183,2,110,2,5073,2
33,Near South Side,20245,2,16305,2,212,2,16093,2,3940,2,188,2,3752,2
34,Armour Square,13710,2,6443,2,305,2,6138,2,7267,2,293,2,6974,2
35,Douglas,19111,3,15917,3,388,3,15529,3,3194,3,130,3,3064,3
36,Oakland,6260,2,5925,2,259,2,5666,2,335,2,23,2,312,2
37,Fuller Park,2924,1,2765,1,176,1,2589,1,159,1,0,1,159,1
38,Grand Boulevard,23151,4,22552,4,480,4,22072,4,599,4,31,4,568,4
39,Kenwood,18180,3,16021,3,407,3,15614,3,2159,3,98,3,2061,3
40,Washington Park,11146,2,11033,2,379,2,10654,2,113,2,9,2,104,2
41,Hyde Park,26541,3,21999,3,524,3,21475,3,4542,3,153,3,4389,3
42,Woodlawn,24445,3,23310,3,760,3,22550,3,1135,3,86,3,1049,3
43,South Shore,47526,4,46069,4,1180,4,44889,4,1457,4,61,4,1396,4
44,Chatham,33244,3,32991,3,900,3,32091,3,253,3,8,3,245,3
45,Avalon Park,9617,1,9448,1,280,1,9168,1,169,1,0,1,169,1
46,South Chicago,29458,3,25819,3,613,3,25206,3,3639,3,87,3,3552,3
47,Burnside,3508,1,3408,1,42,1,3366,1,100,1,0,1,100,1
48,Calumet Heights,14382,2,13627,2,470,2,13157,2,755,2,44,2,711,2
49,Roseland,45285,4,44578,4,1546,4,43032,4,707,4,21,4,686,4
50,Pullman,7262,2,7016,2,138,2,6878,2,246,2,29,2,217,2
51,South Deering,16445,2,14142,2,348,2,13794,2,2303,2,74,2,2229,2
52,East Side,23517,2,16183,2,353,2,15830,2,7334,2,350,2,6984,2
53,West Pullman,30810,3,29933,3,1309,3,28624,3,877,3,0,3,877,3
54,Riverdale,6820,1,6766,1,119,1,6647,1,54,1,0,1,54,1
55,Hegewisch,10168,1,9056,1,356,1,8700,1,1112,1,15,1,1097,1
56,Garfield Ridge,33940,3,26243,3,592,3,25651,3,7697,3,323,3,7374,3
57,Archer Heights,13434,2,7814,2,302,2,7512,2,5620,2,217,2,5403,2
58,Brighton Park,44148,3,24932,3,898,3,24034,3,19216,3,1050,3,18166,3
59,McKinley Park,16434,2,10418,2,302,2,10116,2,6016,2,191,2,5825,2
60,Bridgeport,32430,3,21360,3,273,3,21087,3,11070,3,378,3,10692,3
61,New City,42107,4,30086,4,1481,4,28605,4,12021,4,454,4,11567,4
62,West Elsdon,18980,2,11440,2,414,2,11026,2,7540,2,270,2,7270,2
63,Gage Park,39492,3,21343,3,533,3,20810,3,18149,3,597,3,17552,3
64,Clearing,22716,3,17727,3,313,3,17414,3,4989,3,155,3,4834,3
65,West Lawn,32950,2,21032,2,668,2,20364,2,11918,2,574,2,11344,2
