area_id,area_name,b99234001,b99234001_moe,b99234002,b99234002_moe,b99234003,b99234003_moe,b99234004,b99234004_moe,b99234005,b99234005_moe
1,Rogers Park,47141,3,34328,3,2245,3,32083,3,12813,3
2,West Ridge,56255,4,35691,4,2184,4,33507,4,20564,4
3,Uptown,48942,3,34888,3,1935,3,32953,3,14054,3
4,Lincoln Square,32805,3,25325,3,1316,3,24009,3,7480,3
5,North Center,27490,4,22397,4,960,4,21437,4,5093,4
6,Lake View,87172,6,74622,6,3095,6,71527,6,12550,6
7,Lincoln Park,56260,4,45708,4,2634,4,43074,4,10552,4
8,Near North Side,74967,4,57015,4,2832,4,54183,4,17952,4
9,Edison Park,9143,2,6476,2,262,2,6214,2,2667,2
10,Norwood Park,30529,3,19490,3,1003,3,18487,3,11039,3
11,Jefferson Park,21485,2,14611,2,770,2,13841,2,6874,2
12,Forest Glen,14512,2,10108,2,703,2,9405,2,4404,2
13,North Park,15132,2,9692,2,757,2,8935,2,5440,2
14,Albany Park,41969,3,30224,3,2040,3,28184,3,11745,3
15,Portage Park,50617,4,34807,4,2603,4,32204,4,15810,4
16,Irving Park,44477,4,31992,4,2181,4,29811,4,12485,4
17,Dunning,35366,3,23520,3,1179,3,22341,3,11846,3
18,Montclare,9753,1,5979,1,355,1,5624,1,3774,1
19,Belmont Cragin,57340,4,37443,4,2569,4,34874,4,19897,4
20,Hermosa,18641,2,12414,2,862,2,11552,2,6227,2
21,Avondale,32859,3,23286,3,1652,3,21634,3,9573,3
22,Logan Square,60603,5,45002,5,2505,5,42497,5,15601,5
23,Humboldt Park,40301,4,19947,4,2056,4,17891,4,20354,4
24,West Town,72135,6,56656,6,3190,6,53466,6,15479,6
25,Austin,74967,5,38172,5,3849,5,34323,5,36795,5
26,West Garfield Park,13454,3,5812,3,509,3,5303,3,7642,3
27,East Garfield Park,14871,3,6850,3,363,3,6487,3,8021,3
28,Near West Side,46974,4,34837,4,2683,4,32154,4,12137,4
29,North Lawndale,25441,4,10816,4,1225,4,9591,4,14625,4
30,South Lawndale,52898,4,29115,4,3391,4,25724,4,23783,4
31,Lower West Side,28268,3,20082,3,980,3,19102,3,8186,3
32,Loop,24854,2,19513,2,959,2,18554,2,5341,2
33,Near South Side,17809,2,14089,2,749,2,13340,2,3720,2
34,Armour Square,11651,2,6588,2,566,2,6022,2,5063,2
35,Douglas,16342,3,9675,3,774,3,8901,3,6667,3
36,Oakland,4540,2,2530,2,173,2,2357,2,2010,2
37,Fuller Park,2268,1,942,1,72,1,870,1,1326,1
38,Grand Boulevard,17427,4,10462,4,959,4,9503,4,6965,4
39,Kenwood,14800,3,9221,3,553,3,8668,3,5579,3
40,Washington Park,7803,2,4108,2,467,2,3641,2,3695,2
41,Hyde Park,23380,3,16829,3,1286,3,15543,3,6551,3
42,Woodlawn,19241,3,10923,3,1447,3,9476,3,8318,3
43,South Shore,37930,4,21734,4,1946,4,19788,4,16196,4
44,Chatham,25950,3,13460,3,1202,3,12258,3,12490,3
45,Avalon Park,7933,1,4271,1,301,1,3970,1,3662,1
46,South Chicago,21969,3,11083,3,1061,3,10022,3,10886,3
47,Burnside,2613,1,1267,1,127,1,1140,1,1346,1
48,Calumet Heights,11740,2,6151,2,328,2,5823,2,5589,2
49,Roseland,36034,4,17294,4,2280,4,15014,4,18740,4
50,Pullman,5749,2,3533,2,363,2,3170,2,2216,2
51,South Deering,12586,2,6902,2,558,2,6344,2,5684,2
52,East Side,16750,2,10175,2,729,2,9446,2,6575,2
53,West Pullman,22937,3,11948,3,1310,3,10638,3,10989,3
54,Riverdale,4070,1,1945,1,158,1,1787,1,2125,1
55,Hegewisch,7535,1,4418,1,252,1,4166,1,3117,1
56,Garfield Ridge,26939,3,17370,3,906,3,16464,3,9569,3
57,Archer Heights,9775,2,6227,2,450,2,5777,2,3548,2
58,Brighton Park,31346,3,19827,3,1152,3,18675,3,11519,3
59,McKinley Park,12322,2,8186,2,489,2,7697,2,4136,2
60,Bridgeport,26557,3,18368,3,859,3,17509,3,8189,3
61,New City,29856,4,17227,4,1453,4,15774,4,12629,4
62,West Elsdon,14088,2,8902,2,768,2,8134,2,5186,2
63,Gage Park,27915,3,17000,3,971,3,16029,3,10915,3
64,Clearing,17681,3,12398,3,464,3,11934,3,5283,3
65,West Lawn,23746,2,14635,2,953,2,13682,2,9111,2
66,Chicago Lawn,38442,3,21327,3,1378,3,19949,3,17115,3
67,West Englewood,26689,4,11385,4,922,4,10463,4,15304,4
68,Englewood,21231,3,8427,3,917,3,7510,3,12804,3
69,Greater Grand Crossing,25053,3,12942,3,1560,3,11382,3,12111,3
70,Ashburn,32824,3,20709,3,1289,3,19420,3,12115,3
71,Auburn Gresham,38212,4,18789,4,1854,4,16935,4,19423,4
72,Beverly,16020,3,11047,3,602,3,10445,3,4973,3
73,Washington Heights,21070,3,10908,3,1470,3,9438,3,10162,3
74,Mount Greenwood,14217,2,9985,2,603,2,9382,2,4232,2
75,Morgan Park,17856,3,10468,3,921,3,9547,3,7388,3
76,O'Hare,11267,3,7968,3,470,3,7498,3,3299,3
77,Edgewater,49414,4,34929,4,2026,4,32903,4,14485,4
