area_id,area_name,c25095001,c25095001_moe,c25095002,c25095002_moe,c25095003,c25095003_moe,c25095004,c25095004_moe,c25095005,c25095005_moe,c25095006,c25095006_moe,c25095007,c25095007_moe,c25095008,c25095008_moe,c25095009,c25095009_moe,c25095010,c25095010_moe,c25095011,c25095011_moe,c25095012,c25095012_moe,c25095013,c25095013_moe,c25095014,c25095014_moe,c25095015,c25095015_moe,c25095016,c25095016_moe,c25095017,c25095017_moe,c25095018,c25095018_moe,c25095019,c25095019_moe,c25095020,c25095020_moe,c25095021,c25095021_moe,c25095022,c25095022_moe,c25095023,c25095023_moe,c25095024,c25095024_moe,c25095025,c25095025_moe,c25095026,c25095026_moe,c25095027,c25095027_moe,c25095028,c25095028_moe,c25095029,c25095029_moe
1,Rogers Park,6995,461,291,149,0,48,254,148,37,52,268,102,20,47,248,100,0,48,488,143,94,62,394,136,0,48,610,141,179,70,431,125,0,48,1549,279,802,208,747,193,0,48,1031,206,792,189,239,92,0,48,2758,338,2507,324,251,108,0,48
2,West Ridge,12314,533,305,98,0,51,253,92,52,58,1084,259,121,90,963,244,0,51,1360,253,458,147,902,214,0,51,1570,289,698,171,872,226,0,51,2688,341,1290,240,1398,276,0,51,1784,288,1025,214,759,205,0,51,3523,376,3107,345,416,160,0,51
3,Uptown,9490,491,218,110,0,48,154,99,64,61,492,146,81,67,411,137,0,48,447,140,60,59,387,135,0,48,777,199,233,100,544,172,0,48,1540,256,709,181,831,196,0,48,1644,283,1174,227,470,177,0,48,4372,403,4079,397,293,112,0,48
4,Lincoln Square,7020,447,229,129,0,40,229,129,0,40,188,95,39,48,149,91,0,40,690,170,222,93,468,155,0,40,506,149,259,117,247,97,0,40,1242,220,632,148,610,169,0,40,1011,193,629,153,382,120,0,40,3154,322,2718,306,436,126,0,40
5,North Center,7758,369,94,59,0,43,59,54,35,47,215,89,12,42,203,88,0,43,599,176,55,51,544,180,0,43,361,121,158,81,203,92,0,43,891,166,391,112,500,125,0,43,877,179,382,115,495,144,0,43,4721,308,3936,279,785,176,0,43
6,Lake View,19687,707,357,128,0,66,257,106,100,95,467,133,22,73,445,131,0,66,763,194,201,96,562,176,0,66,1251,225,422,137,829,191,0,66,2390,329,843,189,1547,279,0,66,2358,330,1417,270,941,203,0,66,12101,573,10513,540,1588,259,0,66
7,Lincoln Park,14662,578,259,97,0,51,148,79,111,69,280,95,12,53,268,93,0,51,641,154,70,66,571,147,0,51,563,161,132,87,431,140,0,51,1665,278,494,134,1171,244,0,51,1518,264,875,212,643,162,0,51,9736,512,8477,501,1259,207,0,51
8,Near North Side,22765,857,711,224,0,54,420,177,291,142,768,195,23,58,745,193,0,54,1234,245,92,78,1142,238,0,54,1227,252,321,123,906,220,0,54,2642,361,954,230,1688,284,0,54,2686,429,1300,310,1386,299,0,54,13497,746,11874,703,1623,303,0,54
9,Edison Park,3676,182,78,44,0,25,64,44,14,27,167,63,21,30,146,59,0,25,415,118,169,68,246,112,0,25,279,101,150,76,129,66,0,25,548,125,283,90,265,98,0,25,588,148,463,127,125,80,0,25,1601,190,1482,196,119,67,0,25
10,Norwood Park,11624,364,357,113,0,39,298,104,59,52,772,168,105,64,667,162,0,39,1191,209,652,139,539,149,0,39,1194,225,616,156,578,173,0,39,2043,271,1084,202,959,194,0,39,2024,269,1329,216,695,176,0,39,4043,367,3520,331,523,172,0,39
11,Jefferson Park,6535,336,174,79,0,29,167,79,7,29,558,172,56,63,502,167,0,29,828,171,349,120,479,136,0,29,652,148,397,121,255,91,0,29,1158,222,580,147,578,165,0,29,997,203,494,150,503,147,0,29,2168,284,1993,269,175,93,0,29
